;target;prediction_target_1;metric_1
conference_de#c-9605590-3026126;conference_en#c-8407213-4753042;conference_en#c-8407213-4753042;0.29493604197106627
conference_de#c-4615338-8666561;conference_en#c-0685358-3873350;conference_en#c-0685358-3873350;0.24753618043080594
conference_de#c-8237344-7989230;conference_en#c-5450625-9274279;conference_en#c-5450625-9274279;0.20137279864833935
conference_de#op-2359998-9048620;conference_en#op-9582772-9300745;conference_en#op-9582772-9300745;0.3678493436953668
conference_de#op-4809969-8849082;conference_en#op-6756703-0827437;conference_en#op-6756703-0827437;0.15642484540589816
conference_de#c-6776566-6732274;conference_en#c-9472960-6540943;conference_en#c-9472960-6540943;0.3973509386672771
conference_de#ent-4663562-1593340;conference_en#ent-0091160-7920486;conference_en#ent-4155068-8609429;0.4577785036533664
conference_de#op-3103572-2221087;conference_en#op-9508659-7431073;conference_en#op-9508659-7431073;0.27698108365313107
conference_de#c-2365620-6793184;conference_en#c-4101654-3843816;conference_en#c-4101654-3843816;0.16340431453714038
conference_de#c-6828546-9901709;conference_en#c-3013589-3595599;conference_en#c-3013589-3595599;0.1699470594495066
conference_de#c-2493179-8478854;conference_en#c-1969456-2437164;conference_en#c-1969456-2437164;0.16512420493116958
conference_de#ent-6425295-0748069;conference_en#ent-2561708-2897004;conference_en#ent-2561708-2897004;0.2522475617468382
conference_de#ent-4771576-9028029;conference_en#ent-9588809-0668690;conference_en#ent-0091160-7920486;0.31683228036452216
conference_de#ent-6593972-9853022;conference_en#ent-8795223-5286845;conference_en#ent-8795223-5286845;0.5410906377660595
conference_de#c-5694210-3113803;conference_en#c-4444483-2447834;conference_en#c-4444483-2447834;0.1782465270183675
conference_de#c-8071281-1290388;conference_en#c-3647168-6413616;conference_en#c-3647168-6413616;0.24967559764412772
conference_de#op-3660173-8702227;conference_en#op-5224922-0021686;conference_en#op-5224922-0021686;0.2510146137920216
conference_de#c-7357618-1642646;conference_en#c-8428656-6505560;conference_en#c-8428656-6505560;0.1835804394296743
conference_de#op-6068254-8048160;conference_en#op-4656648-2702541;conference_en#op-4656648-2702541;0.3443728728977263
conference_de#c-9185334-5782431;conference_en#c-0361407-5806327;conference_en#c-0361407-5806327;0.4155516084986339
conference_de#ent-9741712-1074484;conference_en#ent-5398835-6557322;conference_en#ent-6191643-0859158;0.41933273328264115
conference_de#ent-0456757-4338876;conference_en#ent-2881096-9762712;conference_en#ent-2881096-9762712;0.3730901206830098
conference_de#ent-6952853-8144557;conference_en#ent-8321268-9659544;conference_en#ent-8321268-9659544;0.35180264736863964
conference_de#c-6041715-6986615;conference_en#c-1481587-3387008;conference_en#c-1481587-3387008;0.205279897797955
conference_de#c-4756237-0913680;conference_en#c-2446635-7449628;conference_en#c-2446635-7449628;0.5680548235645426
conference_de#op-5642484-4870984;conference_en#op-8498965-3154119;conference_en#op-8498965-3154119;0.3965027978563782
