;target;prediction_target_1;metric_1
cmt_de#c-9804348-4921383;cmt_en#c-9519178-7885109;cmt_en#c-9519178-7885109;0.3173886072677263
cmt_de#op-5317809-8410933;cmt_en#op-5714477-9488711;cmt_en#op-5714477-9488711;0.13444643287523608
cmt_de#op-6570223-6428235;cmt_en#op-1997920-3046898;cmt_en#op-1997920-3046898;0.39280777564715824
cmt_de#op-3728281-3703353;cmt_en#op-4999283-7971326;cmt_en#op-4999283-7971326;0.40770396636710904
cmt_de#c-2276280-7516043;cmt_en#c-3387453-2881212;cmt_en#c-3387453-2881212;0.35576691593610527
cmt_de#op-7391170-1595630;cmt_en#op-9305729-7081388;cmt_en#op-9305729-7081388;0.3569287768907769
cmt_de#c-1105419-5848060;cmt_en#c-5994448-5980560;cmt_en#c-5994448-5980560;0.45428159267272883
cmt_de#op-5944487-2995547;cmt_en#op-2352672-2684910;cmt_en#op-2352672-2684910;0.4946227704195355
cmt_de#op-1108172-2047481;cmt_en#op-6746253-0545056;cmt_en#op-6746253-0545056;0.3611163356170688
cmt_de#ent-7649389-3921230;cmt_en#ent-7669016-6331082;cmt_en#ent-7669016-6331082;0.09808461093406962
cmt_de#op-5367618-4635788;cmt_en#op-0491014-8723432;cmt_en#op-0491014-8723432;0.3640800770508949
cmt_de#op-4385319-7522274;cmt_en#op-1288474-9125864;cmt_en#op-1288474-9125864;0.2842339524519494
cmt_de#op-2707356-6407444;cmt_en#op-3715253-7341884;cmt_en#op-3715253-7341884;0.19647981292422972
cmt_de#ent-2502906-5126965;cmt_en#ent-4692979-9121254;cmt_en#ent-4692979-9121254;0.21210801747027133
cmt_de#op-9668399-9499203;cmt_en#op-3673731-3704063;cmt_en#op-3673731-3704063;0.24552103323006919
cmt_de#op-2406368-4587748;cmt_en#op-0455003-6077543;cmt_en#op-0455003-6077543;0.5741181899372692
