;target;prediction_target_1;metric_1
conference_en#c-5450625-9274279;confOf_de#c-2472530-7442299;confOf_de#c-2472530-7442299;0.18343405883162722
conference_en#ent-4516568-5595755;confOf_de#ent-7472904-1496645;confOf_de#ent-7472904-1496645;0.740028621741154
conference_en#c-8279198-9011918;confOf_de#c-3756950-6271891;confOf_de#c-3756950-6271891;0.22050586835806857
conference_en#c-7255821-5359025;confOf_de#c-6031375-0881001;confOf_de#c-6031375-0881001;0.6625892778500976
conference_en#c-2446635-7449628;confOf_de#c-8403504-7828299;confOf_de#c-8403504-7828299;0.37782187627887437
conference_en#c-8376732-6542959;confOf_de#c-7620981-0130792;confOf_de#c-7620981-0130792;0.574525108469522
conference_en#c-3746645-9598977;confOf_de#c-0553488-4726167;confOf_de#c-0553488-4726167;0.2650082719432628
conference_en#c-5732310-8306083;confOf_de#c-5598437-4596711;confOf_de#c-5598437-4596711;0.2178305648565807
conference_en#c-4444483-2447834;confOf_de#c-8182861-6425712;confOf_de#c-8182861-6425712;0.2607580816249535
conference_en#c-0975007-5643450;confOf_de#c-4345951-5264002;confOf_de#c-4345951-5264002;0.30479059550662646
conference_en#ent-9588809-0668690;confOf_de#ent-9875824-2357826;confOf_de#ent-9875824-2357826;0.6367972811046296
