;target;prediction_target_1;metric_1
confOf_de#ent-0611468-9782860;confOf_en#ent-1772794-8603573;confOf_en#ent-1772794-8603573;0.38544799672252067
confOf_de#c-2005207-6803071;confOf_en#c-9180975-7931356;confOf_en#c-6603806-5996118;0.5104755360814035
confOf_de#op-5548380-9195122;confOf_en#op-7718872-4722905;confOf_en#op-7718872-4722905;0.5321474845902614
confOf_de#op-5847282-2267282;confOf_en#op-4178089-9091832;confOf_en#op-4178089-9091832;0.34246433857617564
confOf_de#ent-9378447-8956054;confOf_en#ent-1700978-0800293;confOf_en#ent-1700978-0800293;0.5473592737484977
confOf_de#ent-1987350-8650340;confOf_en#ent-8881801-2437397;confOf_en#ent-8881801-2437397;0.4129927481388001
confOf_de#ent-7472904-1496645;confOf_en#ent-4532930-2199897;confOf_en#ent-4532930-2199897;0.2961166476351672
confOf_de#c-0126412-6208972;confOf_en#c-9402184-3168847;confOf_en#c-9402184-3168847;0.39568451386281184
confOf_de#c-4702748-1915950;confOf_en#c-3868234-1876752;confOf_en#c-3868234-1876752;0.45289228962884265
confOf_de#ent-6095931-1291276;confOf_en#ent-6379747-8396882;confOf_en#ent-6379747-8396882;0.32203385145951413
confOf_de#ent-5550018-6700451;confOf_en#ent-3724946-8160347;confOf_en#ent-2941342-5653153;0.40644295417408205
confOf_de#c-0505747-2615706;confOf_en#c-0319363-2610594;confOf_en#c-0319363-2610594;0.6157547301385717
confOf_de#c-2022407-5202362;confOf_en#c-1546212-3884536;confOf_en#c-1546212-3884536;0.3253674627395706
confOf_de#ent-9176086-3549112;confOf_en#ent-0251198-5994761;owl#Ontology;0.8737307801832367
confOf_de#ent-4883389-8000129;confOf_en#ent-2941342-5653153;confOf_en#ent-2941342-5653153;0.29369213892663193
confOf_de#ent-3531218-9750426;confOf_en#ent-9012565-8739542;confOf_en#ent-9012565-8739542;0.5090448163347978
confOf_de#c-9531197-4911923;confOf_en#c-6062393-2520649;confOf_en#c-6062393-2520649;0.3088475711052886
confOf_de#ent-4079155-2412723;confOf_en#ent-5229701-3075709;confOf_en#ent-5229701-3075709;0.3947639420931082
confOf_de#c-3286368-6722233;confOf_en#c-5904090-2937490;confOf_en#c-5904090-2937490;0.41381291137914467
confOf_de#ent-2160031-2946829;confOf_en#ent-3180463-1145375;confOf_en#ent-3180463-1145375;0.3982580176665134
confOf_de#ent-1324673-6996465;confOf_en#ent-2971893-5806604;confOf_en#ent-9012565-8739542;0.5998910343033856
confOf_de#op-5694068-8845542;confOf_en#op-7502401-8040051;confOf_en#op-7502401-8040051;0.4082476817693226
confOf_de#ent-9875824-2357826;confOf_en#ent-8227140-2506031;confOf_en#ent-8227140-2506031;0.29233425877482516
confOf_de#ent-4553206-2103816;confOf_en#ent-5063643-6711325;being;0.8761719167229853
confOf_de#c-5598437-4596711;confOf_en#c-1804480-3618243;confOf_en#c-1804480-3618243;0.5075981762641825
confOf_de#c-0211430-8010097;confOf_en#c-9051277-7292388;confOf_en#c-9051277-7292388;0.34927747166413536
confOf_de#op-1761269-0805727;confOf_en#op-4917934-2826750;confOf_en#op-4917934-2826750;0.3201195167938437
confOf_de#op-6302277-5481695;confOf_en#op-4096845-6623331;confOf_en#op-4096845-6623331;0.3568245242824013
confOf_de#ent-0303881-5975791;confOf_en#ent-1716167-5904495;confOf_en#ent-1716167-5904495;0.32144931136165955
confOf_de#ent-9393618-3251719;confOf_en#ent-9519410-6347395;confOf_en#ent-9519410-6347395;0.5415938177332126
confOf_de#ent-0835076-0487700;confOf_en#ent-5730464-5416292;confOf_en#ent-8881801-2437397;0.5460376413122516
confOf_de#op-9873670-8357831;confOf_en#op-1921350-5090826;confOf_en#op-1921350-5090826;0.5183771848741705
confOf_de#c-0064824-4442977;confOf_en#c-6604321-4337835;confOf_en#c-6604321-4337835;0.36000817367499194
confOf_de#c-4532133-5374065;confOf_en#c-5404723-6232359;confOf_en#c-5404723-6232359;0.39363477786859696
confOf_de#op-7917558-9062341;confOf_en#op-3802438-8167706;confOf_en#op-3802438-8167706;0.32767656203200474
confOf_de#c-8959319-1033837;confOf_en#c-4184138-3261067;confOf_en#c-4184138-3261067;0.41789197424038843
confOf_de#c-1165971-3665910;confOf_en#c-5851222-7607068;confOf_en#c-5851222-7607068;0.5363550650683199
confOf_de#c-8168019-5837036;confOf_en#c-6603806-5996118;confOf_en#c-6603806-5996118;0.4586485521730334
confOf_de#ent-3284867-9260202;confOf_en#ent-6734221-5873053;confOf_en#ent-6734221-5873053;0.476229370950897
confOf_de#ent-8169889-1545004;confOf_en#ent-9275375-3973324;confOf_en#ent-9275375-3973324;0.36527274467008364
confOf_de#c-6031375-0881001;confOf_en#c-2402287-2880350;confOf_en#c-2402287-2880350;0.2577241093083724
confOf_de#c-2472530-7442299;confOf_en#c-8729640-0951717;confOf_en#c-8729640-0951717;0.3247656697941242
confOf_de#c-2683474-6183904;confOf_en#c-6922761-6569068;confOf_en#c-6922761-6569068;0.5203800221539396
