;target;prediction_target_1;metric_1
iasted_de#c-9911197-2821528;iasted_en#c-9362556-8487981;iasted_en#c-9362556-8487981;0.5065513387283609
iasted_de#op-9413835-6271383;iasted_en#op-3952168-3896732;iasted_en#op-3952168-3896732;0.5130467900706576
iasted_de#op-6084854-8177491;iasted_en#op-2551551-7258727;iasted_en#op-2551551-7258727;0.33444837368943436
iasted_de#c-8179403-0452179;iasted_en#c-5074238-7594931;iasted_en#c-0043803-8472799;1.0232247964061019
iasted_de#c-9031594-4043807;iasted_en#c-2395432-1675191;iasted_en#c-2395432-1675191;0.6039129523976454
iasted_de#c-1251407-2550325;iasted_en#c-5688901-6766233;iasted_en#c-5688901-6766233;0.5243984437590107
iasted_de#c-2460382-4400595;iasted_en#c-5810296-5194443;iasted_en#c-5810296-5194443;0.5628045731142874
iasted_de#c-9446232-8225502;iasted_en#c-0235524-1676194;iasted_en#c-0235524-1676194;0.48583858493491305
iasted_de#op-7053159-9119879;iasted_en#op-5551010-0533591;iasted_en#op-5551010-0533591;0.45237006751733394
iasted_de#c-8622413-8169447;iasted_en#c-6477155-7340247;iasted_en#c-2297379-6540044;0.5095486737278183
iasted_de#c-5741973-6764656;iasted_en#c-9123004-2171579;iasted_en#c-9123004-2171579;0.7640960521618961
iasted_de#c-5666659-9715348;iasted_en#c-0579327-2823478;iasted_en#c-0579327-2823478;0.46179340969485444
iasted_de#op-9745870-2817977;iasted_en#op-1657852-5105987;iasted_en#op-1657852-5105987;0.29639569114678127
iasted_de#c-8149245-9898096;iasted_en#c-6928152-7381829;iasted_en#c-6928152-7381829;0.5889347993643334
iasted_de#ent-8278334-1384889;iasted_en#ent-0709927-2922893;iasted_en#ent-2268143-8537869;0.35304663951534054
iasted_de#op-2187218-0667961;iasted_en#op-9347375-6118171;iasted_en#op-9347375-6118171;0.6567511871290509
iasted_de#c-2689809-9740493;iasted_en#c-0347561-8984406;iasted_en#c-0347561-8984406;0.5801843559086655
iasted_de#c-2379893-4624688;iasted_en#c-2396070-5020573;iasted_en#c-2396070-5020573;0.38688779721454736
iasted_de#c-7617819-9406298;iasted_en#c-4043564-4710049;iasted_en#c-4043564-4710049;0.5190277974422225
iasted_de#c-8276198-4462254;iasted_en#c-1915235-7447973;iasted_en#c-1476405-6307065;0.46883140088632486
iasted_de#op-1454375-2517846;iasted_en#op-7676471-2591482;iasted_en#op-7676471-2591482;0.3445901013235881
iasted_de#c-4015742-9338748;iasted_en#c-2174181-3520068;iasted_en#c-2174181-3520068;0.5717377002846377
iasted_de#ent-6399187-3902154;iasted_en#ent-6120875-2823827;iasted_en#ent-6120875-2823827;0.4787671308940221
iasted_de#c-8049164-4059381;iasted_en#c-4162004-2124556;_:B931b2457X2D0301X2D4794X2D8ae0X2D5873ccbf3ba9;0.8767862214518782
iasted_de#op-5817020-0959926;iasted_en#op-1301961-3228494;iasted_en#op-1301961-3228494;0.37075013503705373
iasted_de#c-8274838-7479397;iasted_en#c-5985478-2794400;iasted_en#c-5985478-2794400;0.5163369853313409
iasted_de#op-4035584-0471414;iasted_en#op-1296071-2287446;iasted_en#op-1296071-2287446;0.4123816125915268
iasted_de#c-8347400-2963000;iasted_en#c-9602441-1001976;iasted_en#c-9602441-1001976;0.36666164245085764
iasted_de#c-4218528-6837752;iasted_en#c-3336428-2571907;iasted_en#c-3336428-2571907;0.37169023464509304
iasted_de#op-5330135-5051039;iasted_en#op-6395108-7018915;iasted_en#op-6395108-7018915;0.6448508148208387
iasted_de#c-1203716-4790361;iasted_en#c-1215775-9702989;iasted_en#c-8492013-9025860;0.5849254036528803
iasted_de#c-9753371-0023373;iasted_en#c-6174362-9247294;iasted_en#c-6174362-9247294;0.34668367740317657
iasted_de#c-9618449-6854324;iasted_en#c-9164726-0071093;iasted_en#c-9164726-0071093;0.45962743051079824
iasted_de#op-2957250-8524669;iasted_en#op-1877374-3703970;iasted_en#op-1877374-3703970;0.4717638959548222
iasted_de#c-5938213-2144206;iasted_en#c-3433144-4931823;iasted_en#c-3433144-4931823;0.61533088175574
iasted_de#c-5941456-0754106;iasted_en#c-7163848-4992275;iasted_en#c-7163848-4992275;0.36584556577790944
iasted_de#c-7796633-5689885;iasted_en#c-2390779-9889151;iasted_en#c-9362556-8487981;0.5642784679305006
iasted_de#c-7566504-2413752;iasted_en#c-0810403-3160253;iasted_en#c-0810403-3160253;0.46830162001150233
iasted_de#c-2728663-8403537;iasted_en#c-5071843-9957942;iasted_en#c-5071843-9957942;0.6819308831739395
iasted_de#op-3968071-1939489;iasted_en#op-2094694-9885925;iasted_en#op-2094694-9885925;0.44889010688369085
iasted_de#c-3890760-5660053;iasted_en#c-2737904-9363523;iasted_en#c-2737904-9363523;0.5329260441645622
iasted_de#op-7507979-4687368;iasted_en#op-5949915-0266078;iasted_en#op-5949915-0266078;0.3790169204412647
iasted_de#c-4008371-0412669;iasted_en#c-2201470-4672121;iasted_en#c-2201470-4672121;0.5354876568740095
iasted_de#c-5213747-2247399;iasted_en#c-2847659-1887400;iasted_en#c-9205213-3099363;0.43576922377766925
iasted_de#c-0389652-1406971;iasted_en#c-9258778-1383131;iasted_en#c-9258778-1383131;0.44192895179836245
iasted_de#op-8662311-1736946;iasted_en#op-9266015-7047005;iasted_en#op-9266015-7047005;0.4304210238594148
iasted_de#c-8505008-8246705;iasted_en#c-7705854-6281452;iasted_en#c-7705854-6281452;0.3863760165559337
iasted_de#c-1608626-3325967;iasted_en#c-6088495-8861567;iasted_en#c-6088495-8861567;0.41139435901633076
iasted_de#c-4215000-1206559;iasted_en#c-5693345-0089883;iasted_en#c-5693345-0089883;0.7608698863253498
iasted_de#c-4586889-4487451;iasted_en#c-7459754-5987217;iasted_en#c-3199643-5367907;0.4169172526136415
iasted_de#op-8851494-9501826;iasted_en#op-9679978-8775089;iasted_en#op-9679978-8775089;0.47157841221080005
iasted_de#op-0368918-3051572;iasted_en#op-8316675-9596933;iasted_en#op-8316675-9596933;0.5456650551072648
iasted_de#c-8364485-6441116;iasted_en#c-9325916-8938991;iasted_en#c-9325916-8938991;0.5760329316486198
iasted_de#c-0065047-2762975;iasted_en#c-6206306-4799431;iasted_en#c-6206306-4799431;0.3486739050214219
iasted_de#c-0170380-7547728;iasted_en#c-2231352-6188872;iasted_en#c-2231352-6188872;0.4694472587345051
iasted_de#c-7725383-4489342;iasted_en#c-3209052-7566386;iasted_en#c-9169874-5166910;0.3199214901274037
iasted_de#c-5119860-9323326;iasted_en#c-9677685-8341994;iasted_en#c-9677685-8341994;0.4199633043242032
iasted_de#c-7072937-2081505;iasted_en#c-5042951-8302750;iasted_en#c-5042951-8302750;0.5589969045989328
iasted_de#c-9643924-4787097;iasted_en#c-8492013-9025860;iasted_en#c-8492013-9025860;0.3416009883241023
iasted_de#c-2025982-1800230;iasted_en#c-5588553-6263947;iasted_en#c-5588553-6263947;0.6931717730808215
iasted_de#c-2105240-1270743;iasted_en#c-8969069-8654695;iasted_en#c-0235524-1676194;0.5404825707295766
iasted_de#c-9125541-4267173;iasted_en#c-3300599-6865154;iasted_en#c-3300599-6865154;0.3582859544142937
iasted_de#c-0731520-9303209;iasted_en#c-8600112-6635929;iasted_en#c-8600112-6635929;0.6408560502653271
iasted_de#c-9781262-9151263;iasted_en#c-8587941-4778765;iasted_en#c-8587941-4778765;0.39184821566459804
iasted_de#c-9950849-1341485;iasted_en#c-8542206-4079455;iasted_en#c-7289258-8213427;0.5922611914413598
iasted_de#c-4206593-2836909;iasted_en#c-0531925-8203664;iasted_en#c-9530580-6482208;0.7315307927277568
iasted_de#op-2157010-5763383;iasted_en#op-3835473-5069161;iasted_en#op-3835473-5069161;0.38672353326432374
iasted_de#op-5772423-8634155;iasted_en#op-2931757-0516502;iasted_en#op-2931757-0516502;0.3843002894493704
iasted_de#c-9988758-2403409;iasted_en#c-2467529-3634240;iasted_en#c-2467529-3634240;0.606773030844803
iasted_de#c-4201911-2867499;iasted_en#c-3686523-4526492;iasted_en#c-3686523-4526492;0.3922055066525893
iasted_de#c-0966930-6725732;iasted_en#c-0043803-8472799;iasted_en#c-0043803-8472799;0.9499307163846801
iasted_de#c-0305213-3839941;iasted_en#c-9104564-7791606;iasted_en#c-8492013-9025860;0.44501168375760436
iasted_de#c-1956806-4029581;iasted_en#c-8423769-0880844;iasted_en#c-8423769-0880844;0.4738608614194276
iasted_de#c-4247837-9825706;iasted_en#c-0887025-3124194;iasted_en#c-0887025-3124194;0.4156763009588475
iasted_de#c-0982291-0590167;iasted_en#c-2235022-8613665;iasted_en#c-2235022-8613665;0.6655576943897797
iasted_de#c-4253545-1698296;iasted_en#c-3478123-7266885;iasted_en#c-3478123-7266885;0.3324926982066552
iasted_de#c-6948336-1635271;iasted_en#c-3148550-8048516;iasted_en#c-3148550-8048516;0.5067173334989457
iasted_de#c-2348143-6399550;iasted_en#c-1801050-0460418;iasted_en#c-1801050-0460418;0.41460327006828934
iasted_de#op-4538616-4065861;iasted_en#op-7611549-5965933;iasted_en#op-7611549-5965933;0.30428544065813523
iasted_de#c-0856538-4139817;iasted_en#c-7402508-2992097;iasted_en#c-7402508-2992097;0.6262594713623937
iasted_de#c-7008944-0865693;iasted_en#c-8950037-9879125;iasted_en#c-1476405-6307065;0.4891427935210877
iasted_de#c-9155229-8622485;iasted_en#c-0507566-2089493;iasted_en#c-0507566-2089493;0.4225104081358136
iasted_de#op-2810644-4957549;iasted_en#op-3273484-0242238;iasted_en#op-3273484-0242238;0.2835366517706993
iasted_de#c-1912201-3885408;iasted_en#c-4700670-6960019;iasted_en#c-4700670-6960019;0.34113054395613235
iasted_de#c-5556791-9047127;iasted_en#c-6440895-5517624;iasted_en#c-6440895-5517624;0.518550889437037
iasted_de#op-1773392-2427816;iasted_en#op-4286880-7828101;iasted_en#op-4286880-7828101;0.4758276240041324
iasted_de#c-6307752-0231379;iasted_en#c-8718316-8931937;iasted_en#c-8718316-8931937;0.5322413946102365
iasted_de#c-9964978-6784653;iasted_en#c-4646685-6576496;iasted_en#c-4646685-6576496;0.6639642834425513
iasted_de#op-5663507-9050383;iasted_en#op-1925199-5689484;iasted_en#op-1925199-5689484;0.5888987000491428
iasted_de#op-7939528-0555862;iasted_en#op-2375314-8429528;iasted_en#op-2375314-8429528;0.3874944795353972
iasted_de#c-7015078-1054586;iasted_en#c-2475930-4019930;iasted_en#c-2475930-4019930;0.43449990468332095
iasted_de#c-8446306-7619564;iasted_en#c-9205213-3099363;iasted_en#c-2847659-1887400;0.40772360627591603
iasted_de#c-2743144-1626551;iasted_en#c-0999620-6234504;iasted_en#c-0999620-6234504;0.38429935170334295
iasted_de#c-1162284-7187790;iasted_en#c-6625125-6317753;iasted_en#c-6625125-6317753;0.3926606230466276
iasted_de#c-4988226-0381774;iasted_en#c-1224734-0734636;iasted_en#c-1224734-0734636;0.5136739253763359
iasted_de#c-0554570-2228769;iasted_en#c-4813826-7779652;iasted_en#c-6321088-6874200;0.618948461835669
iasted_de#c-2487727-5021582;iasted_en#c-9860394-8122747;iasted_en#c-9860394-8122747;0.5481833268535757
iasted_de#c-2111145-0530504;iasted_en#c-6701443-6917880;iasted_en#c-6701443-6917880;0.482145663817584
iasted_de#c-4372827-9130845;iasted_en#c-6599880-2928575;iasted_en#c-6599880-2928575;0.5196800427096442
iasted_de#c-5378301-4545252;iasted_en#c-8365044-0502126;iasted_en#c-8365044-0502126;0.7835009514681661
iasted_de#c-2903473-8446322;iasted_en#c-9193120-6084737;iasted_en#c-5588553-6263947;0.7483294844701306
iasted_de#c-1177929-5267388;iasted_en#c-4237692-1364753;iasted_en#c-4237692-1364753;0.5322658149493382
iasted_de#op-2432499-5656304;iasted_en#op-6081690-8054157;iasted_en#op-6081690-8054157;0.315657043506706
iasted_de#c-3744417-6906470;iasted_en#c-5056757-1847493;iasted_en#c-5056757-1847493;0.5533579072492582
iasted_de#c-4782495-1252245;iasted_en#c-3326309-1255096;iasted_en#c-3326309-1255096;0.46572097535655116
iasted_de#c-9107649-3489441;iasted_en#c-4103718-6937056;iasted_en#c-8492013-9025860;0.35927240892117174
iasted_de#c-8671213-0734462;iasted_en#c-8889798-1079873;iasted_en#c-8889798-1079873;0.5874616960046063
iasted_de#c-2591394-6848392;iasted_en#c-3859730-3648319;iasted_en#c-3859730-3648319;0.6715934415462151
iasted_de#ent-0397845-0990807;iasted_en#ent-2268143-8537869;iasted_en#ent-2268143-8537869;0.3437330380884354
iasted_de#c-1690340-2711385;iasted_en#c-3048174-0754573;iasted_en#c-9362556-8487981;0.5528772493641696
iasted_de#c-4266988-7486085;iasted_en#c-7217600-9512624;iasted_en#c-7217600-9512624;0.8652364141943644
iasted_de#c-8814095-4641936;iasted_en#c-5834904-0037516;iasted_en#c-5834904-0037516;0.5045191935023331
iasted_de#c-7691932-8500632;iasted_en#c-5235449-0739105;iasted_en#c-5235449-0739105;0.5654306166597064
iasted_de#c-8705188-3974676;iasted_en#c-4610399-1117516;iasted_en#c-4610399-1117516;0.48279402587910214
iasted_de#c-0051089-2041033;iasted_en#c-1280963-6659499;iasted_en#c-1280963-6659499;0.49295795220078137
iasted_de#c-9478697-2269714;iasted_en#c-4037244-8450135;iasted_en#c-4037244-8450135;0.5494365667696739
iasted_de#op-9361239-3780580;iasted_en#op-1416989-2591607;iasted_en#op-1416989-2591607;0.4383317767101373
iasted_de#c-1991592-6900399;iasted_en#c-3199643-5367907;iasted_en#c-3199643-5367907;0.4128196391098011
iasted_de#c-6367410-5109600;iasted_en#c-0121520-3873813;iasted_en#c-1801050-0460418;0.45955747192468405
iasted_de#c-1988002-0717362;iasted_en#c-2419712-7655134;iasted_en#c-2419712-7655134;0.35615869931405486
iasted_de#c-9023900-0560679;iasted_en#c-1768813-5901538;iasted_en#c-1768813-5901538;0.4728793765646417
iasted_de#c-5344597-0067791;iasted_en#c-3040603-0556543;iasted_en#c-4237692-1364753;0.6492064922160258
