;target;prediction_target_1;metric_1
iasted_de#op-6084854-8177491;iasted_en#op-2551551-7258727;iasted_en#op-2551551-7258727;0.15978068239125404
iasted_de#c-2460382-4400595;iasted_en#c-5810296-5194443;iasted_en#c-5810296-5194443;0.45408047256050327
iasted_de#c-6860527-3090201;iasted_en#c-6845272-4951822;iasted_en#c-6845272-4951822;0.32391242295924433
iasted_de#c-7617819-9406298;iasted_en#c-4043564-4710049;iasted_en#c-4043564-4710049;0.31599547992689025
iasted_de#op-4035584-0471414;iasted_en#op-1296071-2287446;iasted_en#op-1296071-2287446;0.21434554346210322
iasted_de#c-8347400-2963000;iasted_en#c-9602441-1001976;iasted_en#c-9602441-1001976;0.2664870963909611
iasted_de#c-9618449-6854324;iasted_en#c-9164726-0071093;iasted_en#c-9164726-0071093;0.1901843013714255
iasted_de#c-0389652-1406971;iasted_en#c-9258778-1383131;iasted_en#c-9258778-1383131;0.25839467009443573
iasted_de#op-0368918-3051572;iasted_en#op-8316675-9596933;iasted_en#op-8316675-9596933;0.27263557931104626
iasted_de#c-0065047-2762975;iasted_en#c-6206306-4799431;iasted_en#c-6206306-4799431;0.2214183397716334
iasted_de#c-9988758-2403409;iasted_en#c-2467529-3634240;iasted_en#c-2467529-3634240;0.309780832101831
iasted_de#c-4201911-2867499;iasted_en#c-3686523-4526492;iasted_en#c-3686523-4526492;0.2584218320508772
iasted_de#c-0982291-0590167;iasted_en#c-2235022-8613665;iasted_en#c-2235022-8613665;0.2985929988331437
iasted_de#c-2348143-6399550;iasted_en#c-1801050-0460418;iasted_en#c-1801050-0460418;0.3007244290207103
iasted_de#op-2810644-4957549;iasted_en#op-3273484-0242238;iasted_en#op-3273484-0242238;0.20583579692162413
iasted_de#c-1912201-3885408;iasted_en#c-4700670-6960019;iasted_en#c-4700670-6960019;0.19020948263815182
iasted_de#c-5556791-9047127;iasted_en#c-6440895-5517624;iasted_en#c-6440895-5517624;0.28804118798369105
iasted_de#op-5663507-9050383;iasted_en#op-1925199-5689484;iasted_en#op-1925199-5689484;0.435124618251784
iasted_de#c-6062149-5112025;iasted_en#c-7464317-0926432;iasted_en#c-7464317-0926432;0.2982185304296598
iasted_de#c-2743144-1626551;iasted_en#c-0999620-6234504;iasted_en#c-0999620-6234504;0.3236880585009648
iasted_de#c-8912383-1070978;iasted_en#c-1651781-8710944;iasted_en#c-1651781-8710944;0.19337039635678943
iasted_de#c-2487727-5021582;iasted_en#c-9860394-8122747;iasted_en#c-9860394-8122747;0.3473418570150181
iasted_de#c-5378301-4545252;iasted_en#c-8365044-0502126;iasted_en#c-8365044-0502126;0.44481585035616933
iasted_de#c-4266988-7486085;iasted_en#c-7217600-9512624;iasted_en#c-7217600-9512624;0.44636390380017366
iasted_de#op-7349937-0587048;iasted_en#op-5395177-6138398;iasted_en#op-5395177-6138398;0.45376473957968655
iasted_de#c-5559277-7310963;iasted_en#c-0289821-9990873;iasted_en#c-0289821-9990873;0.2884550911919306
iasted_de#c-6367410-5109600;iasted_en#c-0121520-3873813;iasted_en#c-0121520-3873813;0.34118396864725486
iasted_de#c-9023900-0560679;iasted_en#c-1768813-5901538;iasted_en#c-1768813-5901538;0.45201242418493603
iasted_de#c-5921217-1214579;iasted_en#c-6699217-8827140;iasted_en#c-6699217-8827140;0.36234626371061734
iasted_de#c-0961139-4726609;iasted_en#c-1476405-6307065;iasted_en#c-1476405-6307065;0.36855977766036213
iasted_de#op-4889945-8277647;iasted_en#op-3965265-4296618;iasted_en#op-3965265-4296618;0.5734294725885305
iasted_de#op-2127093-3806866;iasted_en#op-0698539-0922439;iasted_en#op-0698539-0922439;0.44113846304905746
iasted_de#c-4406694-4801619;iasted_en#c-9799943-5219462;iasted_en#c-1768813-5901538;0.507613536595826
iasted_de#c-6456542-4680337;iasted_en#c-7587641-3301519;iasted_en#c-7587641-3301519;0.21043939749571078
iasted_de#c-5379764-4238098;iasted_en#c-0201298-3231355;iasted_en#c-0201298-3231355;0.23293056641647034
iasted_de#c-7447258-0430386;iasted_en#c-1378568-8785028;iasted_en#c-1378568-8785028;0.3024164728456375
