;target;prediction_target_1;metric_1
cmt_de#c-2036030-6478102;conference_en#c-2974852-3474918;conference_en#c-2974852-3474918;0.4218180259678984
cmt_de#c-2276280-7516043;conference_en#c-4401355-0431935;conference_en#c-4401355-0431935;0.6699767974360183
cmt_de#c-3386094-8929437;conference_en#c-9312690-4124149;conference_en#c-9312690-4124149;0.38190443499027066
cmt_de#c-5403940-4193578;conference_en#c-8170886-3522509;conference_en#c-8170886-3522509;0.5028474435968127
cmt_de#c-6476451-2581059;conference_en#c-3013589-3595599;conference_en#c-3013589-3595599;0.3484522509842743
cmt_de#c-7221579-7498183;conference_en#c-2446635-7449628;conference_en#c-2446635-7449628;0.7486129691333975
cmt_de#c-7511748-5827387;conference_en#c-0975007-5643450;conference_en#c-0975007-5643450;0.4245283844830059
cmt_de#c-7914897-1988765;conference_en#c-4444483-2447834;conference_en#c-4444483-2447834;0.6077459619335707
cmt_de#c-8450582-0542304;conference_en#c-0513615-7095489;conference_en#c-0513615-7095489;0.3631906115108063
cmt_de#c-8450582-0542304;conference_en#c-1432286-4789153;conference_en#c-0513615-7095489;0.3631906115108063
cmt_de#c-9804348-4921383;conference_en#c-6525918-2089133;conference_en#c-6525918-2089133;0.41612063449119807
cmt_de#ent-4152612-5306614;conference_en#ent-4516568-5595755;_:Bf4dbe000X2Dbd2bX2D425fX2D97deX2Dbb45f5791a58;0.7798722565319521
cmt_de#op-8350630-9441009;conference_en#op-3595853-4712760;conference_en#op-3595853-4712760;0.9481749897606624
