;target;prediction_target_1;metric_1
iasted_de#c-9964978-6784653;sigkdd_en#c-3661201-8652994;sigkdd_en#c-8570424-4038182;1.1459459804750654
iasted_de#c-8671213-0734462;sigkdd_en#c-3800373-8198658;sigkdd_en#c-4402529-2023643;0.8322193619548052
iasted_de#c-5119860-9323326;sigkdd_en#c-1350325-0780321;sigkdd_en#c-1350325-0780321;0.139452136942004
iasted_de#c-5938213-2144206;sigkdd_en#c-4402529-2023643;sigkdd_en#c-4402529-2023643;0.6942379263429658
iasted_de#c-6456542-4680337;sigkdd_en#c-4834530-8825541;sigkdd_en#c-4834530-8825541;0.14491927543910543
iasted_de#c-2581999-3385666;sigkdd_en#c-9975477-9791635;sigkdd_en#c-9975477-9791635;0.8525021106213432
iasted_de#c-8935754-6759043;sigkdd_en#c-9932783-9574589;presents;0.8930920365892965
iasted_de#c-2379893-4624688;sigkdd_en#c-6792972-5439604;sigkdd_en#c-6792972-5439604;0.26098973411935905
iasted_de#c-4423435-9668662;sigkdd_en#c-4561947-0725440;sigkdd_en#c-4561947-0725440;0.23490880226123853
iasted_de#c-1912201-3885408;sigkdd_en#c-8570424-4038182;sigkdd_en#c-8570424-4038182;0.15087892035467956
