;target;prediction_target_1;metric_1
cmt_de#op-2369093-6627419;cmt_en#op-2674759-3900303;cmt_en#op-2674759-3900303;0.496297821990857
cmt_de#c-9804348-4921383;cmt_en#c-9519178-7885109;cmt_en#c-9519178-7885109;0.49286763795747246
cmt_de#op-1511461-8135444;cmt_en#op-0261939-6958814;cmt_en#op-1581958-6116705;0.5152015380722744
cmt_de#ent-4152612-5306614;cmt_en#ent-1648737-1451089;enter;0.7393591186769697
cmt_de#ent-3421629-9074086;cmt_en#ent-7385850-0767179;cmt_en#ent-7385850-0767179;0.44341786094313296
cmt_de#op-4119782-8661590;cmt_en#op-3343741-2145006;cmt_en#op-3343741-2145006;0.5612688491618956
cmt_de#c-6476451-2581059;cmt_en#c-1611583-0668331;cmt_en#c-1611583-0668331;0.7230441523239842
cmt_de#op-1671215-9946432;cmt_en#op-4815057-3921498;cmt_en#op-6688605-5254034;0.45294649913667157
cmt_de#op-1333090-2653926;cmt_en#op-0644404-7231162;cmt_en#op-0261939-6958814;0.8635991966127096
cmt_de#c-0277212-8406046;cmt_en#c-5409377-9286012;cmt_en#c-5409377-9286012;0.37574111607562827
cmt_de#op-6999775-8658617;cmt_en#op-2649033-9712859;cmt_en#op-2649033-9712859;0.37773967223893024
cmt_de#c-3386094-8929437;cmt_en#c-8693270-2767092;cmt_en#c-8693270-2767092;0.36270878768146003
cmt_de#c-5403940-4193578;cmt_en#c-1819859-8467443;cmt_en#c-1819859-8467443;0.6259515485519102
cmt_de#c-2636048-9047841;cmt_en#c-3017177-8896532;cmt_en#c-3017177-8896532;0.5984379897829382
cmt_de#c-7914897-1988765;cmt_en#c-3027646-3365825;cmt_en#c-3027646-3365825;0.5706764631607314
cmt_de#op-3382350-0510939;cmt_en#op-7452997-4133095;cmt_en#op-7452997-4133095;0.5014765963412721
cmt_de#op-4513167-2261392;cmt_en#op-4204612-8254155;cmt_en#op-1997920-3046898;0.5046967802411374
cmt_de#c-5062955-9564132;cmt_en#c-8707801-9291338;cmt_en#c-8707801-9291338;0.2858379568442675
cmt_de#c-7606498-1774261;cmt_en#c-6062733-3218604;cmt_en#c-2079829-2275666;0.6632819938375606
cmt_de#c-2310106-7377133;cmt_en#c-3959626-1362323;cmt_en#c-3959626-1362323;0.6737370073272368
cmt_de#c-1092336-2330592;cmt_en#c-8313706-4430806;cmt_en#c-8313706-4430806;0.3197460335055569
cmt_de#op-5317809-8410933;cmt_en#op-5714477-9488711;cmt_en#op-5714477-9488711;0.40451729389917856
cmt_de#op-6570223-6428235;cmt_en#op-1997920-3046898;cmt_en#op-1997920-3046898;0.47174200188617843
cmt_de#op-5588430-7223994;cmt_en#op-4706944-2787728;cmt_en#op-4706944-2787728;0.3649070083591725
cmt_de#op-4369028-9162599;cmt_en#op-4850171-5907708;cmt_en#op-4850171-5907708;0.3518312954536174
cmt_de#op-7066350-8155982;cmt_en#op-7758730-0930874;cmt_en#op-7758730-0930874;0.3675842006144024
cmt_de#op-6662152-2690641;cmt_en#op-1415642-7736735;cmt_en#op-1415642-7736735;0.6186513064565909
cmt_de#op-3728281-3703353;cmt_en#op-4999283-7971326;cmt_en#op-2352672-2684910;0.5803635713670513
cmt_de#op-2899154-8812515;cmt_en#op-1599762-7967134;cmt_en#op-1599762-7967134;0.3643901746528914
cmt_de#ent-3493763-1822072;cmt_en#ent-1830157-2457934;cmt_en#ent-1830157-2457934;0.31848781596430936
cmt_de#c-2036030-6478102;cmt_en#c-6029021-0998116;cmt_en#c-6029021-0998116;0.43918722742271044
cmt_de#op-8860290-4901047;cmt_en#op-9779608-5108867;cmt_en#op-9779608-5108867;0.2915965129064553
cmt_de#op-8743766-4367043;cmt_en#op-6688605-5254034;cmt_en#op-1288474-9125864;0.443644154059021
cmt_de#op-4243914-3706839;cmt_en#op-8503855-9022324;cmt_en#op-8503855-9022324;0.46659001437123143
cmt_de#op-7391170-1595630;cmt_en#op-9305729-7081388;cmt_en#op-1288474-9125864;0.47905757708444774
cmt_de#c-1105419-5848060;cmt_en#c-5994448-5980560;cmt_en#c-3959626-1362323;0.6607007640387038
