;target;prediction_target_1;metric_1
iasted_de#c-9911197-2821528;iasted_en#c-9362556-8487981;iasted_en#c-9362556-8487981;0.5195557063711553
iasted_de#c-2460382-4400595;iasted_en#c-5810296-5194443;iasted_en#c-5810296-5194443;0.40137558885867375
iasted_de#c-6860527-3090201;iasted_en#c-6845272-4951822;iasted_en#c-6845272-4951822;0.3479101894858618
iasted_de#op-9745870-2817977;iasted_en#op-1657852-5105987;iasted_en#op-1657852-5105987;0.20977907050621666
iasted_de#op-6751872-1328733;iasted_en#op-5062506-9744171;iasted_en#op-5062506-9744171;0.3348521528522711
iasted_de#c-4015742-9338748;iasted_en#c-2174181-3520068;iasted_en#c-2174181-3520068;0.4179028939981271
iasted_de#ent-6399187-3902154;iasted_en#ent-6120875-2823827;iasted_en#ent-6120875-2823827;0.2795065366541446
iasted_de#op-5330135-5051039;iasted_en#op-6395108-7018915;iasted_en#op-6395108-7018915;0.43375061286861016
iasted_de#c-1203716-4790361;iasted_en#c-1215775-9702989;iasted_en#c-1215775-9702989;0.4385377776277976
iasted_de#c-9753371-0023373;iasted_en#c-6174362-9247294;iasted_en#c-6174362-9247294;0.20146746064003748
iasted_de#op-6213207-7376977;iasted_en#op-2639233-5068303;iasted_en#op-2639233-5068303;0.24880670745822492
iasted_de#c-3890760-5660053;iasted_en#c-2737904-9363523;iasted_en#c-2737904-9363523;0.2812483154072415
iasted_de#op-7507979-4687368;iasted_en#op-5949915-0266078;iasted_en#op-5949915-0266078;0.3609991098577998
iasted_de#c-5213747-2247399;iasted_en#c-2847659-1887400;iasted_en#c-2847659-1887400;0.39818705033518353
iasted_de#c-0065047-2762975;iasted_en#c-6206306-4799431;iasted_en#c-6206306-4799431;0.17200157020581255
iasted_de#c-0170380-7547728;iasted_en#c-2231352-6188872;iasted_en#c-2231352-6188872;0.3663504892152267
iasted_de#c-7072937-2081505;iasted_en#c-5042951-8302750;iasted_en#c-5042951-8302750;0.33850927715859397
iasted_de#c-9781262-9151263;iasted_en#c-8587941-4778765;iasted_en#c-8587941-4778765;0.3080354281641729
iasted_de#c-9988758-2403409;iasted_en#c-2467529-3634240;iasted_en#c-2467529-3634240;0.33419530843451417
iasted_de#op-7735928-0966441;iasted_en#op-4864199-4462640;iasted_en#op-4864199-4462640;0.3094440473274068
iasted_de#c-0305213-3839941;iasted_en#c-9104564-7791606;iasted_en#c-9104564-7791606;0.389531357660615
iasted_de#op-1773392-2427816;iasted_en#op-4286880-7828101;iasted_en#op-4286880-7828101;0.3580010558988279
iasted_de#c-8446306-7619564;iasted_en#c-9205213-3099363;iasted_en#c-9205213-3099363;0.34769581499812063
iasted_de#c-0554570-2228769;iasted_en#c-4813826-7779652;iasted_en#c-4813826-7779652;0.4252396790931149
iasted_de#c-2487727-5021582;iasted_en#c-9860394-8122747;iasted_en#c-9860394-8122747;0.4294641976990009
iasted_de#c-3744417-6906470;iasted_en#c-5056757-1847493;iasted_en#c-5056757-1847493;0.27029094839022993
iasted_de#c-2591394-6848392;iasted_en#c-3859730-3648319;iasted_en#c-3859730-3648319;0.412778430437067
iasted_de#ent-0397845-0990807;iasted_en#ent-2268143-8537869;iasted_en#ent-2268143-8537869;0.30313125258546425
iasted_de#c-4846591-8081427;iasted_en#c-6321088-6874200;iasted_en#c-6321088-6874200;0.40431989465607
iasted_de#c-0961139-4726609;iasted_en#c-1476405-6307065;iasted_en#c-1476405-6307065;0.2692273795244575
iasted_de#op-4889945-8277647;iasted_en#op-3965265-4296618;iasted_en#op-3965265-4296618;0.4962904237848711
iasted_de#c-6484726-2814972;iasted_en#c-5538650-5614171;iasted_en#c-5538650-5614171;0.3333300990862857
iasted_de#c-3257334-3396006;iasted_en#c-6696592-0636720;iasted_en#c-6696592-0636720;0.3692997122638011
