;target;prediction_target_1;metric_1
cmt_de#op-7761501-2770581;confOf_en#op-6734207-8272486;confOf_en#op-6734207-8272486;0.3753527266728067
cmt_de#c-7606498-1774261;confOf_en#c-8897779-7605019;confOf_en#c-8897779-7605019;0.5288170525675957
cmt_de#c-8082317-4346619;confOf_en#c-7155976-8510258;confOf_en#c-7155976-8510258;0.4166200411117633
cmt_de#c-2600954-3812137;confOf_en#c-5904090-2937490;confOf_en#c-5904090-2937490;0.246387559066099
cmt_de#ent-7525433-8535515;confOf_en#ent-4646280-6521925;confOf_en#ent-4646280-6521925;0.30768542457745646
cmt_de#c-7221579-7498183;confOf_en#c-4888780-4443103;confOf_en#c-4888780-4443103;0.7891651585958892
cmt_de#c-1253837-4887221;confOf_en#c-6834280-4912416;confOf_en#c-6834280-4912416;0.283854893711606
cmt_de#op-9131907-0871491;confOf_en#op-6508666-4665772;confOf_en#op-6508666-4665772;0.3798783391689885
cmt_de#op-3382350-0510939;confOf_en#op-1921350-5090826;confOf_en#op-1921350-5090826;0.2806490031348083
cmt_de#c-7914897-1988765;confOf_en#c-5307218-6000981;confOf_en#c-5307218-6000981;0.31647129438525584
cmt_de#c-4872876-3932965;confOf_en#c-4940510-7116222;confOf_en#c-8729640-0951717;0.6915712348050174
cmt_de#op-3286624-6409948;confOf_en#op-8176347-7547891;confOf_en#op-8176347-7547891;0.34751961910648815
cmt_de#c-9804348-4921383;confOf_en#c-6922761-6569068;confOf_en#c-6922761-6569068;0.24238097697785493
cmt_de#c-0277212-8406046;confOf_en#c-1804480-3618243;confOf_en#c-1804480-3618243;0.24465623132989694
