;target;prediction_target_1;metric_1
confOf_de#c-4973711-7358267;confOf_en#c-7155976-8510258;confOf_en#c-7155976-8510258;0.3632417822820762
confOf_de#ent-0611468-9782860;confOf_en#ent-1772794-8603573;confOf_en#ent-1772794-8603573;0.46381778307818095
confOf_de#c-8118103-3976495;confOf_en#c-0499297-8084322;confOf_en#c-0499297-8084322;0.3594727337344496
confOf_de#c-2005207-6803071;confOf_en#c-9180975-7931356;confOf_en#c-6603806-5996118;0.5563004476806348
confOf_de#op-5548380-9195122;confOf_en#op-7718872-4722905;confOf_en#op-7718872-4722905;0.5358620987525394
confOf_de#op-5847282-2267282;confOf_en#op-4178089-9091832;confOf_en#op-4178089-9091832;0.30427073579454167
confOf_de#c-4861385-1103485;confOf_en#c-3826751-4914269;confOf_en#c-6603806-5996118;0.4281642532086222
confOf_de#ent-5642216-9536112;confOf_en#ent-8617792-4471683;confOf_en#ent-8617792-4471683;0.6679064376512085
confOf_de#c-3716617-5099119;confOf_en#c-6109887-5999898;confOf_en#c-6109887-5999898;0.4490073557257735
confOf_de#ent-1987350-8650340;confOf_en#ent-8881801-2437397;confOf_en#ent-6734221-5873053;0.60806808331842
confOf_de#c-9260969-5532672;confOf_en#c-4918829-3001709;confOf_en#c-4918829-3001709;0.4005033924876487
confOf_de#c-0652717-7598825;confOf_en#c-3748486-8385244;confOf_en#c-3748486-8385244;0.5577663884880947
confOf_de#c-0126412-6208972;confOf_en#c-9402184-3168847;confOf_en#c-9402184-3168847;0.5423239834796466
confOf_de#c-4702748-1915950;confOf_en#c-3868234-1876752;confOf_en#c-3868234-1876752;0.454050416532585
confOf_de#c-4439571-8274936;confOf_en#c-4940510-7116222;confOf_en#c-4940510-7116222;0.6753010053273373
confOf_de#ent-3116369-8783570;confOf_en#ent-4532610-9643499;confOf_en#ent-4532610-9643499;0.4583288686590103
confOf_de#ent-5550018-6700451;confOf_en#ent-3724946-8160347;confOf_en#ent-3724946-8160347;0.452943711947811
confOf_de#c-0505747-2615706;confOf_en#c-0319363-2610594;confOf_en#c-0319363-2610594;0.5120625805438656
confOf_de#ent-5742004-8000728;confOf_en#ent-4646280-6521925;confOf_en#ent-4646280-6521925;0.5427178825797091
confOf_de#ent-9176086-3549112;confOf_en#ent-0251198-5994761;owl#TransitiveProperty;0.80432685830469
confOf_de#ent-4883389-8000129;confOf_en#ent-2941342-5653153;confOf_en#ent-2941342-5653153;0.5304168271872121
confOf_de#ent-3531218-9750426;confOf_en#ent-9012565-8739542;confOf_en#ent-9012565-8739542;0.4989868951631412
confOf_de#c-9531197-4911923;confOf_en#c-6062393-2520649;confOf_en#c-6062393-2520649;0.45974695223510154
confOf_de#ent-4079155-2412723;confOf_en#ent-5229701-3075709;confOf_en#ent-5229701-3075709;0.4586615046221793
confOf_de#c-2463275-9197848;confOf_en#c-9890668-1988204;confOf_en#c-9890668-1988204;0.6271318481478155
