;target;prediction_target_1;metric_1
conference_de#c-2365620-6793184;iasted_en#c-2174181-3520068;iasted_en#c-2174181-3520068;0.4613662136925702
conference_de#c-2731220-6600456;iasted_en#c-0887025-3124194;iasted_en#c-0887025-3124194;0.39958413250600294
conference_de#c-2807153-3693543;iasted_en#c-2396070-5020573;iasted_en#c-2396070-5020573;0.41207139104498647
conference_de#c-2852856-4092117;iasted_en#c-7587641-3301519;iasted_en#c-7587641-3301519;0.5105311994158467
conference_de#c-6041715-6986615;iasted_en#c-1873801-1221522;iasted_en#c-1873801-1221522;0.49649611678274036
conference_de#c-7096317-3412127;iasted_en#c-7464317-0926432;iasted_en#c-7464317-0926432;0.6760375223863639
conference_de#op-5642484-4870984;iasted_en#op-1301961-3228494;iasted_en#op-1301961-3228494;0.8219412727384343
conference_de#c-2883309-0508630;iasted_en#c-4700670-6960019;iasted_en#c-4700670-6960019;0.40018791522100305
conference_de#c-1450635-6067268;iasted_en#c-6088495-8861567;iasted_en#c-2980826-1784096;0.7777748284936553
conference_de#c-6508590-8109709;iasted_en#c-4646685-6576496;iasted_en#c-4646685-6576496;0.5830494013884235
conference_de#c-9365621-4628022;iasted_en#c-2980826-1784096;iasted_en#c-2980826-1784096;0.5545372957818985
conference_de#c-7521012-9493261;iasted_en#c-0201298-3231355;iasted_en#c-0201298-3231355;0.3953653121401059
