;target;prediction_target_1;metric_1
cmt_de#op-7761501-2770581;confOf_en#op-6734207-8272486;confOf_en#op-6734207-8272486;0.4277838599983543
cmt_de#ent-7525433-8535515;confOf_en#ent-4646280-6521925;confOf_en#ent-4646280-6521925;0.35357144595185164
cmt_de#c-7221579-7498183;confOf_en#c-4888780-4443103;confOf_en#c-4888780-4443103;0.8583294547998297
cmt_de#c-1253837-4887221;confOf_en#c-6834280-4912416;confOf_en#c-6834280-4912416;0.21853856023919005
cmt_de#op-9131907-0871491;confOf_en#op-6508666-4665772;confOf_en#op-6508666-4665772;0.432843272194954
cmt_de#op-3382350-0510939;confOf_en#op-1921350-5090826;confOf_en#op-1921350-5090826;0.3041805569147014
cmt_de#c-7914897-1988765;confOf_en#c-5307218-6000981;confOf_en#c-5307218-6000981;0.19180040249751096
cmt_de#c-4872876-3932965;confOf_en#c-4940510-7116222;confOf_en#c-4940510-7116222;0.553863967397795
cmt_de#op-3286624-6409948;confOf_en#op-8176347-7547891;confOf_en#op-8176347-7547891;0.3953821806278837
cmt_de#c-9804348-4921383;confOf_en#c-6922761-6569068;confOf_en#c-6922761-6569068;0.14999998763200786
cmt_de#ent-4152612-5306614;confOf_en#ent-4532930-2199897;confOf_en#ent-4532930-2199897;0.9666758150359642
