;target;prediction_target_1;metric_1
cmt_de#c-7914897-1988765;conference_en#c-4444483-2447834;conference_en#c-4444483-2447834;0.40998004441361513
cmt_de#c-6476451-2581059;conference_en#c-3013589-3595599;conference_en#c-3013589-3595599;0.3327778559697046
cmt_de#c-7511748-5827387;conference_en#c-0975007-5643450;conference_en#c-0975007-5643450;0.5606801772069537
cmt_de#c-3386094-8929437;conference_en#c-9312690-4124149;conference_en#c-9312690-4124149;0.47826155126241343
cmt_de#op-7181260-5606687;conference_en#op-8925105-7780939;conference_en#op-8925105-7780939;0.6368336287845209
cmt_de#c-3554876-1135672;conference_en#c-7121259-3662514;conference_en#c-7121259-3662514;0.45515402085219087
cmt_de#c-2276280-7516043;conference_en#c-4401355-0431935;conference_en#c-4401355-0431935;0.6315528163826118
cmt_de#c-7221579-7498183;conference_en#c-2446635-7449628;conference_en#c-2446635-7449628;0.6358735575772935
cmt_de#c-8450582-0542304;conference_en#c-1432286-4789153;conference_en#c-1432286-4789153;0.20238583585338565
cmt_de#op-8350630-9441009;conference_en#op-3595853-4712760;conference_en#op-3595853-4712760;0.5717952394715534
