;target;prediction_target_1;metric_1
iasted_de#op-9413835-6271383;iasted_en#op-3952168-3896732;iasted_en#op-3952168-3896732;0.4545204968597735
iasted_de#op-6084854-8177491;iasted_en#op-2551551-7258727;iasted_en#op-2551551-7258727;0.2329018467973831
iasted_de#c-8179403-0452179;iasted_en#c-5074238-7594931;iasted_en#c-0043803-8472799;0.7108529960339404
iasted_de#c-1251407-2550325;iasted_en#c-5688901-6766233;iasted_en#c-5688901-6766233;0.40472835751357383
iasted_de#c-5741973-6764656;iasted_en#c-9123004-2171579;iasted_en#c-9123004-2171579;0.6958530255656536
iasted_de#c-5666659-9715348;iasted_en#c-0579327-2823478;iasted_en#c-0579327-2823478;0.3346454202088039
iasted_de#ent-8278334-1384889;iasted_en#ent-0709927-2922893;iasted_en#ent-0709927-2922893;0.4457952313630185
iasted_de#op-6751872-1328733;iasted_en#op-5062506-9744171;iasted_en#op-5062506-9744171;0.3953671682426776
iasted_de#op-1454375-2517846;iasted_en#op-7676471-2591482;iasted_en#op-7676471-2591482;0.3368065690970274
iasted_de#c-5250081-8006537;iasted_en#c-8723910-5601078;iasted_en#c-8723910-5601078;0.3324875980251496
iasted_de#c-4015742-9338748;iasted_en#c-2174181-3520068;iasted_en#c-2174181-3520068;0.4180755691806001
iasted_de#op-5817020-0959926;iasted_en#op-1301961-3228494;iasted_en#op-1301961-3228494;0.3681765035172195
iasted_de#c-8274838-7479397;iasted_en#c-5985478-2794400;iasted_en#c-5985478-2794400;0.38733344018029825
iasted_de#op-4035584-0471414;iasted_en#op-1296071-2287446;iasted_en#op-1296071-2287446;0.31834831355566084
iasted_de#c-9753371-0023373;iasted_en#c-6174362-9247294;iasted_en#c-6174362-9247294;0.359267292780961
iasted_de#op-6213207-7376977;iasted_en#op-2639233-5068303;iasted_en#op-2639233-5068303;0.34200265853355405
iasted_de#c-7796633-5689885;iasted_en#c-2390779-9889151;iasted_en#c-2390779-9889151;0.6272539625569131
iasted_de#c-2728663-8403537;iasted_en#c-5071843-9957942;iasted_en#c-5071843-9957942;0.5676894408145695
iasted_de#c-3890760-5660053;iasted_en#c-2737904-9363523;iasted_en#c-2737904-9363523;0.45526315454393634
iasted_de#op-7507979-4687368;iasted_en#op-5949915-0266078;iasted_en#op-5949915-0266078;0.5832714911280664
iasted_de#c-4008371-0412669;iasted_en#c-2201470-4672121;iasted_en#c-2201470-4672121;0.5016162674325176
iasted_de#c-5213747-2247399;iasted_en#c-2847659-1887400;iasted_en#c-2847659-1887400;0.5169297610390193
iasted_de#c-2519596-1714489;iasted_en#c-4177590-0761750;iasted_en#c-4177590-0761750;0.5543786374521639
iasted_de#c-8364485-6441116;iasted_en#c-9325916-8938991;iasted_en#c-9325916-8938991;0.4426099194480653
iasted_de#c-7725383-4489342;iasted_en#c-3209052-7566386;iasted_en#c-3209052-7566386;0.3864966386058107
iasted_de#c-5119860-9323326;iasted_en#c-9677685-8341994;iasted_en#c-9677685-8341994;0.3468110486689911
iasted_de#c-7072937-2081505;iasted_en#c-5042951-8302750;iasted_en#c-5042951-8302750;0.42761730809508536
iasted_de#c-8897962-1581638;iasted_en#c-9530580-6482208;iasted_en#c-9530580-6482208;0.3665467892074253
iasted_de#c-2025982-1800230;iasted_en#c-5588553-6263947;iasted_en#c-5588553-6263947;0.5012828197449124
iasted_de#c-9125541-4267173;iasted_en#c-3300599-6865154;iasted_en#c-3300599-6865154;0.2631587951061972
iasted_de#c-9950849-1341485;iasted_en#c-8542206-4079455;iasted_en#c-8542206-4079455;0.5082151519663738
iasted_de#c-4206593-2836909;iasted_en#c-0531925-8203664;iasted_en#c-0531925-8203664;0.5552750394239645
iasted_de#c-9988758-2403409;iasted_en#c-2467529-3634240;iasted_en#c-2467529-3634240;0.5049834387585848
iasted_de#c-0966930-6725732;iasted_en#c-0043803-8472799;iasted_en#c-0043803-8472799;0.6917354889869551
iasted_de#c-8648452-5383386;iasted_en#c-7289258-8213427;iasted_en#c-7289258-8213427;0.45633578252792223
iasted_de#c-2348143-6399550;iasted_en#c-1801050-0460418;iasted_en#c-1801050-0460418;0.4308627693615353
iasted_de#c-9155229-8622485;iasted_en#c-0507566-2089493;iasted_en#c-0507566-2089493;0.29203530728984994
iasted_de#c-5556791-9047127;iasted_en#c-6440895-5517624;iasted_en#c-6440895-5517624;0.46686766347620046
iasted_de#c-2369860-7098433;iasted_en#c-0900148-1015051;iasted_en#c-0900148-1015051;0.2596267896609086
iasted_de#c-6307752-0231379;iasted_en#c-8718316-8931937;iasted_en#c-8718316-8931937;0.2787396987877536
iasted_de#c-9964978-6784653;iasted_en#c-4646685-6576496;iasted_en#c-4646685-6576496;0.7687528351686254
iasted_de#op-5663507-9050383;iasted_en#op-1925199-5689484;iasted_en#op-1925199-5689484;0.52069014334916
iasted_de#c-7015078-1054586;iasted_en#c-2475930-4019930;iasted_en#c-2475930-4019930;0.3957578922815401
iasted_de#c-1162284-7187790;iasted_en#c-6625125-6317753;iasted_en#c-6625125-6317753;0.339094515467521
iasted_de#c-8912383-1070978;iasted_en#c-1651781-8710944;iasted_en#c-1651781-8710944;0.21898803368809874
iasted_de#c-4988226-0381774;iasted_en#c-1224734-0734636;iasted_en#c-1224734-0734636;0.3564786017777129
iasted_de#c-2487727-5021582;iasted_en#c-9860394-8122747;iasted_en#c-9860394-8122747;0.6571780622676439
iasted_de#op-4066971-7163841;iasted_en#op-8570815-5355417;iasted_en#op-8570815-5355417;0.5907182930880017
iasted_de#c-5378301-4545252;iasted_en#c-8365044-0502126;iasted_en#c-8365044-0502126;0.5344991026940502
iasted_de#c-3744417-6906470;iasted_en#c-5056757-1847493;iasted_en#c-5056757-1847493;0.3132797127926507
iasted_de#c-9107649-3489441;iasted_en#c-4103718-6937056;iasted_en#c-4103718-6937056;0.38191708676430003
iasted_de#c-8814095-4641936;iasted_en#c-5834904-0037516;iasted_en#c-5834904-0037516;0.4760150627291001
iasted_de#c-9544497-0029098;iasted_en#c-4310103-5004187;iasted_en#c-4310103-5004187;0.49569094341504694
iasted_de#op-7349937-0587048;iasted_en#op-5395177-6138398;iasted_en#op-5395177-6138398;0.45988959896473364
iasted_de#c-7691932-8500632;iasted_en#c-5235449-0739105;iasted_en#c-5235449-0739105;0.6797102473038497
iasted_de#op-5594678-1842613;iasted_en#op-1567823-7909896;iasted_en#op-1567823-7909896;0.5374533876293076
iasted_de#c-9478697-2269714;iasted_en#c-4037244-8450135;iasted_en#c-4037244-8450135;0.3741717336953632
iasted_de#op-9361239-3780580;iasted_en#op-1416989-2591607;iasted_en#op-1416989-2591607;0.5239468962122654
iasted_de#c-2581999-3385666;iasted_en#c-0995110-2084431;iasted_en#c-0995110-2084431;0.4147349886366927
iasted_de#c-3505414-4959303;iasted_en#c-6436231-2373312;iasted_en#c-6436231-2373312;0.39321085943242967
iasted_de#c-3927158-8920929;iasted_en#c-0409829-5411561;iasted_en#c-0409829-5411561;0.5264425853758538
iasted_de#c-5921217-1214579;iasted_en#c-6699217-8827140;iasted_en#c-6699217-8827140;0.4385668211070821
iasted_de#c-3282951-1733360;iasted_en#c-0863620-0869812;iasted_en#c-0863620-0869812;0.47835725642666327
iasted_de#op-2127093-3806866;iasted_en#op-0698539-0922439;iasted_en#op-0698539-0922439;0.4672025720988809
iasted_de#c-2768045-4592663;iasted_en#c-9207837-5562219;iasted_en#c-3209052-7566386;0.5927874268321318
iasted_de#c-4423435-9668662;iasted_en#c-3110153-2691987;iasted_en#c-3110153-2691987;0.35426146928834756
iasted_de#c-8935754-6759043;iasted_en#c-3390147-9518013;iasted_en#c-3390147-9518013;0.48553724491065536
iasted_de#c-4406694-4801619;iasted_en#c-9799943-5219462;iasted_en#c-2847659-1887400;0.5949325107050497
iasted_de#c-6456542-4680337;iasted_en#c-7587641-3301519;iasted_en#c-7587641-3301519;0.289369201334038
iasted_de#op-0624213-2982714;iasted_en#op-8409919-6125708;iasted_en#op-8409919-6125708;0.23557203892835202
iasted_de#c-6484726-2814972;iasted_en#c-5538650-5614171;iasted_en#c-5538650-5614171;0.3425668716287907
