;target;prediction_target_1;metric_1
cmt_de#c-7914897-1988765;sigkdd_en#c-5031073-5159430;sigkdd_en#c-5031073-5159430;0.1916672081763982
cmt_de#c-0277212-8406046;sigkdd_en#c-3705916-7930602;sigkdd_en#c-3705916-7930602;0.4022117421443829
cmt_de#c-4872876-3932965;sigkdd_en#c-4408098-5910124;sigkdd_en#c-4408098-5910124;0.31674389265150504
cmt_de#c-3386094-8929437;sigkdd_en#c-4448805-6156000;sigkdd_en#c-4448805-6156000;0.30002157985590805
cmt_de#c-5356419-0853732;sigkdd_en#c-5268789-8381535;sigkdd_en#c-5268789-8381535;0.40003069555337634
cmt_de#ent-4152612-5306614;sigkdd_en#ent-6795922-7675825;sigkdd_en#ent-6795922-7675825;0.9135414393741798
cmt_de#c-2036030-6478102;sigkdd_en#c-3661201-8652994;sigkdd_en#c-3661201-8652994;0.9794664526042434
cmt_de#c-3554876-1135672;sigkdd_en#c-5937062-8520809;sigkdd_en#c-9656043-0451863;1.0027581243168986
cmt_de#c-7606498-1774261;sigkdd_en#c-7287097-6354392;sigkdd_en#c-7287097-6354392;0.32880483439069563
cmt_de#op-5588430-7223994;sigkdd_en#op-4588680-8309474;sigkdd_en#op-4588680-8309474;0.3869263515757009
cmt_de#c-9804348-4921383;sigkdd_en#c-6792972-5439604;sigkdd_en#c-6792972-5439604;0.25265679996762586
