;target;prediction_target_1;metric_1
iasted_de#c-9911197-2821528;iasted_en#c-9362556-8487981;iasted_en#c-9362556-8487981;0.45894453108684063
iasted_de#c-1251407-2550325;iasted_en#c-5688901-6766233;iasted_en#c-5688901-6766233;0.17863756278841453
iasted_de#op-5330135-5051039;iasted_en#op-6395108-7018915;iasted_en#op-6395108-7018915;0.5105212144816618
iasted_de#c-1203716-4790361;iasted_en#c-1215775-9702989;iasted_en#c-1215775-9702989;0.5245097862742757
iasted_de#c-9753371-0023373;iasted_en#c-6174362-9247294;iasted_en#c-6174362-9247294;0.2806112679911988
iasted_de#c-9618449-6854324;iasted_en#c-9164726-0071093;iasted_en#c-9164726-0071093;0.17953054433762577
iasted_de#c-7566504-2413752;iasted_en#c-0810403-3160253;iasted_en#c-0810403-3160253;0.34607398236868814
iasted_de#c-4586889-4487451;iasted_en#c-7459754-5987217;iasted_en#c-7459754-5987217;0.3005001583677089
iasted_de#op-8851494-9501826;iasted_en#op-9679978-8775089;iasted_en#op-9679978-8775089;0.38471471048800737
iasted_de#c-8364485-6441116;iasted_en#c-9325916-8938991;iasted_en#c-9325916-8938991;0.3380808217377356
iasted_de#c-0065047-2762975;iasted_en#c-6206306-4799431;iasted_en#c-6206306-4799431;0.2793472906482766
iasted_de#c-7072937-2081505;iasted_en#c-5042951-8302750;iasted_en#c-5042951-8302750;0.3092274348663122
iasted_de#c-2105240-1270743;iasted_en#c-8969069-8654695;iasted_en#c-8969069-8654695;0.34242497468391153
iasted_de#c-9781262-9151263;iasted_en#c-8587941-4778765;iasted_en#c-8587941-4778765;0.33795015754821467
iasted_de#c-9950849-1341485;iasted_en#c-8542206-4079455;iasted_en#c-8542206-4079455;0.4299690969923912
iasted_de#op-2157010-5763383;iasted_en#op-3835473-5069161;iasted_en#op-3835473-5069161;0.27175629321306527
iasted_de#op-7735928-0966441;iasted_en#op-4864199-4462640;iasted_en#op-4864199-4462640;0.5817178114989031
iasted_de#c-0966930-6725732;iasted_en#c-0043803-8472799;iasted_en#c-0043803-8472799;0.7630911083909501
iasted_de#c-6948336-1635271;iasted_en#c-3148550-8048516;iasted_en#c-3148550-8048516;0.2908216450462036
iasted_de#c-7008944-0865693;iasted_en#c-8950037-9879125;iasted_en#c-8950037-9879125;0.3502133373527703
iasted_de#op-5663507-9050383;iasted_en#op-1925199-5689484;iasted_en#op-1925199-5689484;0.5096874700539896
iasted_de#c-7015078-1054586;iasted_en#c-2475930-4019930;iasted_en#c-2475930-4019930;0.2522834530909881
iasted_de#c-2111145-0530504;iasted_en#c-6701443-6917880;iasted_en#c-6701443-6917880;0.21365640338197278
iasted_de#c-8814095-4641936;iasted_en#c-5834904-0037516;iasted_en#c-5834904-0037516;0.25630874366304096
iasted_de#c-3423268-2368119;iasted_en#c-0434817-0369309;iasted_en#c-0434817-0369309;0.29378530945654874
iasted_de#c-7691932-8500632;iasted_en#c-5235449-0739105;iasted_en#c-5235449-0739105;0.4597973977278058
iasted_de#c-5559277-7310963;iasted_en#c-0289821-9990873;iasted_en#c-0289821-9990873;0.2662300925291381
iasted_de#op-5594678-1842613;iasted_en#op-1567823-7909896;iasted_en#op-1567823-7909896;0.3066942597258968
iasted_de#c-1991592-6900399;iasted_en#c-3199643-5367907;iasted_en#c-3199643-5367907;0.2571762028996789
iasted_de#c-6062045-8234985;iasted_en#c-5040174-4868103;iasted_en#c-5040174-4868103;0.36440094110170834
iasted_de#c-1599065-4785150;iasted_en#c-3422362-1433264;iasted_en#c-3422362-1433264;0.27078699799313594
iasted_de#c-5713028-2300648;iasted_en#c-9052783-8865030;iasted_en#c-9052783-8865030;0.45668445105117345
iasted_de#op-9749105-6170410;iasted_en#op-4770542-4818491;iasted_en#op-4770542-4818491;0.2438700336439558
iasted_de#c-3257334-3396006;iasted_en#c-6696592-0636720;iasted_en#c-6696592-0636720;0.31696372331559086
