;target;prediction_target_1;metric_1
conference_de#c-4650867-2477948;conference_en#c-8550632-1205594;conference_en#c-8550632-1205594;0.2773992929253194
conference_de#c-9605590-3026126;conference_en#c-8407213-4753042;conference_en#c-8407213-4753042;0.5360566681547443
conference_de#ent-7411600-0492184;conference_en#ent-4155068-8609429;conference_en#ent-6191643-0859158;0.4230457001795746
conference_de#c-4615338-8666561;conference_en#c-0685358-3873350;conference_en#c-0685358-3873350;0.5386725048935036
conference_de#c-2225732-5117501;conference_en#c-2523530-3328853;conference_en#c-2523530-3328853;0.27897172230166445
conference_de#op-4321693-3900519;conference_en#op-2670908-3669119;conference_en#op-2670908-3669119;0.3433353529326586
conference_de#op-1945545-2946293;conference_en#op-8925105-7780939;conference_en#op-8925105-7780939;0.28620647436284075
conference_de#c-1859458-4041433;conference_en#c-4658794-0941326;conference_en#c-4658794-0941326;0.6855641059801092
conference_de#c-1479504-0321675;conference_en#c-0949358-2763718;conference_en#c-0949358-2763718;0.521721054354659
conference_de#op-9513224-3178621;conference_en#op-6711156-0655978;conference_en#op-3874959-5523184;0.289997965738003
conference_de#ent-6301306-0729008;conference_en#ent-6624455-0139130;conference_en#ent-9588809-0668690;0.40217129096963833
conference_de#c-3560304-9366401;conference_en#c-0918067-8070827;conference_en#c-0918067-8070827;0.17846033084521112
conference_de#op-3684524-3597938;conference_en#op-4179398-9105427;conference_en#op-9417986-2023425;0.4501846496699282
conference_de#op-3608848-8208296;conference_en#op-3512255-6444844;conference_en#op-3512255-6444844;0.2577495707849892
conference_de#op-4809969-8849082;conference_en#op-6756703-0827437;conference_en#op-6756703-0827437;0.2581670358380016
conference_de#op-6034483-9201945;conference_en#op-0316178-5626069;conference_en#op-0316178-5626069;0.48904854676867976
conference_de#c-8115832-0092831;conference_en#c-5732310-8306083;conference_en#c-5732310-8306083;0.26386623847666585
conference_de#op-2585333-8630311;conference_en#op-9761886-1014523;conference_en#op-9761886-1014523;0.28524316186962506
conference_de#c-3407738-8040996;conference_en#c-4109326-8594621;conference_en#c-4109326-8594621;0.33064305681742795
conference_de#ent-3147113-3527757;conference_en#ent-6191643-0859158;important;0.4609686246801449
conference_de#op-7940821-6078131;conference_en#op-4084032-4002742;conference_en#op-4287727-6636701;0.5653352439546245
conference_de#ent-4663562-1593340;conference_en#ent-0091160-7920486;conference_en#ent-8751423-1633174;0.47420085792994554
conference_de#c-1178842-2732173;conference_en#c-8170886-3522509;conference_en#c-0361407-5806327;0.7048119032261206
conference_de#ent-7681251-4727105;conference_en#ent-8751423-1633174;conference_en#ent-8751423-1633174;0.5541798202235361
conference_de#c-6508590-8109709;conference_en#c-2974852-3474918;_:B5021584fX2Db64aX2D4733X2D9a4aX2D89983a547406;0.4916642789452501
conference_de#c-1308924-1537645;conference_en#c-5623276-9536395;_:B6b130f7dX2D7e82X2D4ef1X2Dbbb7X2Df19a4e6df5ca;0.4428913035075453
conference_de#c-2365620-6793184;conference_en#c-4101654-3843816;conference_en#c-4101654-3843816;0.3007290128614779
conference_de#op-1669973-2810125;conference_en#op-9779586-7289440;conference_en#op-9779586-7289440;0.2455298159137433
conference_de#c-2773011-0249106;conference_en#c-9232089-8351274;conference_en#c-9232089-8351274;0.5031982193002487
conference_de#c-6828546-9901709;conference_en#c-3013589-3595599;conference_en#c-3013589-3595599;0.3338991955744606
conference_de#op-1922736-2120081;conference_en#op-1900730-6434780;conference_en#op-1900730-6434780;0.48879105459240335
conference_de#op-8125573-9330488;conference_en#op-0995537-7744010;conference_en#op-0995537-7744010;0.3282815692593524
conference_de#c-2493179-8478854;conference_en#c-1969456-2437164;conference_en#c-1969456-2437164;0.3616645690485608
conference_de#c-6598246-0855085;conference_en#c-9959587-2502467;announcement;0.4353894833214272
conference_de#c-1450635-6067268;conference_en#c-9170184-4807203;conference_en#c-6270579-7841141;0.4701178640975947
conference_de#op-6312998-0325865;conference_en#op-3785683-5574395;conference_en#op-3785683-5574395;0.49139007759704845
conference_de#op-9561953-5139312;conference_en#op-9417986-2023425;conference_en#op-9417986-2023425;0.39505357623095033
conference_de#ent-4829687-0686812;conference_en#ent-9670647-6904825;number;0.35771994824590037
conference_de#ent-6425295-0748069;conference_en#ent-2561708-2897004;conference_en#ent-8321268-9659544;0.3449780492160283
conference_de#c-1859422-0439299;conference_en#c-8279198-9011918;conference_en#c-8279198-9011918;0.41673350345007554
conference_de#c-4730732-9118818;conference_en#c-3267972-8884201;conference_en#c-3267972-8884201;0.30919301111591085
conference_de#op-6576828-0504843;conference_en#op-2613736-3395689;conference_en#op-2613736-3395689;0.33550322573754193
conference_de#c-1521137-1761392;conference_en#c-5005169-5278256;conference_en#c-5005169-5278256;0.34220772227518126
conference_de#c-9365621-4628022;conference_en#c-9609595-3810460;conference_en#c-4444483-2447834;0.49061875655069126
conference_de#ent-4771576-9028029;conference_en#ent-9588809-0668690;conference_en#ent-9670647-6904825;0.36267696822354356
conference_de#c-5548459-1019906;conference_en#c-8566080-5422297;conference_en#c-8566080-5422297;0.44966384889414296
conference_de#ent-6593972-9853022;conference_en#ent-8795223-5286845;conference_en#ent-8795223-5286845;0.4741446936177947
conference_de#op-3310517-8704360;conference_en#op-1260211-6263803;conference_en#op-9508659-7431073;0.3730310815892877
conference_de#c-8573778-5851296;conference_en#c-7443688-6884776;conference_en#c-8566080-5422297;0.45935479864854284
conference_de#op-9251692-2958376;conference_en#op-4319238-3673329;conference_en#op-4656648-2702541;0.5118772237957633
conference_de#c-3040625-6424461;conference_en#c-0153241-8442178;conference_en#c-0153241-8442178;0.6765326287660028
conference_de#c-5694210-3113803;conference_en#c-4444483-2447834;conference_en#c-4444483-2447834;0.24752175797732345
conference_de#c-8071281-1290388;conference_en#c-3647168-6413616;conference_en#c-3647168-6413616;0.3286981545443343
conference_de#op-3660173-8702227;conference_en#op-5224922-0021686;conference_en#op-5224922-0021686;0.27070965127584157
conference_de#ent-7582393-1837786;conference_en#ent-2738942-8176769;conference_en#ent-2738942-8176769;0.5756058866597851
conference_de#op-1989814-5525228;conference_en#op-6070720-0445977;conference_en#op-3874959-5523184;0.3321232292588237
conference_de#c-7357618-1642646;conference_en#c-8428656-6505560;conference_en#c-8428656-6505560;0.37738230551409196
conference_de#op-6068254-8048160;conference_en#op-4656648-2702541;conference_en#op-4656648-2702541;0.3787134445219643
conference_de#op-1806324-3972847;conference_en#op-5728539-7928456;conference_en#op-5728539-7928456;0.5277816326046159
conference_de#c-0436446-0249443;conference_en#c-5790368-3331445;conference_en#c-5790368-3331445;0.4182475634736934
conference_de#c-9625814-4995879;conference_en#c-7081035-6117083;conference_en#c-7081035-6117083;0.21766776187307357
conference_de#c-9185334-5782431;conference_en#c-0361407-5806327;conference_en#c-0361407-5806327;0.8431506049920025
conference_de#c-2326730-6671120;conference_en#c-3445672-4630908;conference_en#c-5623276-9536395;0.715305461308914
conference_de#c-6600254-2450629;conference_en#c-0513615-7095489;conference_en#c-0513615-7095489;0.4982780484338146
conference_de#c-1810344-8487780;conference_en#c-1432286-4789153;conference_en#c-1432286-4789153;0.3769440288568169
conference_de#op-6793370-1481860;conference_en#op-0671654-2571930;conference_en#op-0671654-2571930;0.4531065853662152
conference_de#ent-9741712-1074484;conference_en#ent-5398835-6557322;conference_en#ent-8751423-1633174;0.4042104721220267
conference_de#op-6051861-5180291;conference_en#op-9590583-7660466;conference_en#op-9590583-7660466;0.4663983426361885
conference_de#c-5562180-9263139;conference_en#c-0777086-7016755;conference_en#c-0777086-7016755;0.3804172171630116
conference_de#ent-0456757-4338876;conference_en#ent-2881096-9762712;conference_en#ent-6624455-0139130;0.438701505694904
conference_de#c-4481836-1173835;conference_en#c-1233739-4358960;conference_en#c-3647168-6413616;0.30918531481151473
conference_de#op-4229248-7694544;conference_en#op-2225814-4312264;conference_en#op-2225814-4312264;0.38077025654905533
conference_de#ent-6952853-8144557;conference_en#ent-8321268-9659544;conference_en#ent-6191643-0859158;0.41400276834994637
conference_de#c-5236249-1093814;conference_en#c-8376732-6542959;conference_en#c-9209266-2324134;0.5324151396243072
conference_de#op-9692725-1776210;conference_en#op-6982521-4448617;conference_en#op-6982521-4448617;0.3082375526532306
conference_de#ent-6918273-8967644;conference_en#ent-5876431-4161956;conference_en#ent-8321268-9659544;0.3566984656314567
conference_de#c-1025534-8292294;conference_en#c-9466907-2262688;conference_en#c-9466907-2262688;0.30919017022092127
conference_de#c-5035120-4059294;conference_en#c-9734127-6604595;conference_en#c-9472960-6540943;0.6079005948951466
conference_de#op-0128946-6794641;conference_en#op-3486839-5603683;conference_en#op-3486839-5603683;0.34022443410884734
conference_de#op-8738966-6560487;conference_en#op-4945044-7699013;conference_en#op-9417986-2023425;0.3873370779238493
conference_de#ent-0234330-4162477;conference_en#ent-7990012-9833820;conference_en#ent-7990012-9833820;0.3501942308230081
conference_de#ent-3965541-6558239;conference_en#ent-8856556-5729357;conference_en#ent-8321268-9659544;0.3893037666974697
conference_de#c-2731220-6600456;conference_en#c-0845815-7069476;conference_en#c-0845815-7069476;0.2836453318356336
conference_de#c-6041715-6986615;conference_en#c-1481587-3387008;conference_en#c-1481587-3387008;0.5463526562662274
conference_de#c-7521012-9493261;conference_en#c-9312690-4124149;conference_en#c-9312690-4124149;0.32369520564760995
conference_de#ent-5299945-7988874;conference_en#ent-4516568-5595755;conference_en#ent-5398835-6557322;0.37985338809670316
conference_de#op-4621167-8649272;conference_en#op-3595853-4712760;conference_en#op-8925105-7780939;0.37949163307688677
conference_de#c-4756237-0913680;conference_en#c-2446635-7449628;conference_en#c-2446635-7449628;0.4860858089408062
conference_de#op-4422038-8332792;conference_en#op-4286005-1404476;conference_en#op-4286005-1404476;0.26971780689447755
conference_de#op-9352775-5356677;conference_en#op-2884928-1098675;conference_en#op-2884928-1098675;0.421860449829902
conference_de#c-0369442-7501730;conference_en#c-3746645-9598977;conference_en#c-3746645-9598977;0.39387681300426775
conference_de#c-6804730-6814876;conference_en#c-6031866-4091605;conference_en#c-8566080-5422297;0.3800006048210042
conference_de#ent-4148970-9878776;conference_en#ent-3627793-6883861;conference_en#ent-6624455-0139130;0.4431025433739785
conference_de#op-5377559-5806030;conference_en#op-4477756-7333992;conference_en#op-4477756-7333992;0.36758414586672483
conference_de#op-4737759-4638811;conference_en#op-6979143-6235556;conference_en#op-4656648-2702541;0.4495033944659563
conference_de#c-5636031-1076429;conference_en#c-9209266-2324134;conference_en#c-9209266-2324134;0.5709267779292678
conference_de#op-5642484-4870984;conference_en#op-8498965-3154119;conference_en#op-8498965-3154119;0.6201974541068704
conference_de#op-0498445-3013448;conference_en#op-7576139-1459075;conference_en#op-9761886-1014523;0.338390686399898
conference_de#op-2178632-6743715;conference_en#op-1004860-6532610;conference_en#op-4286005-1404476;0.2563471817793097
conference_de#c-9664517-5940464;conference_en#c-0762292-1185067;conference_en#c-0762292-1185067;0.6906119410623578
conference_de#c-2734491-0275940;conference_en#c-7255821-5359025;early;0.3603410175845569
conference_de#op-5214051-3470114;conference_en#op-1628229-1605527;conference_en#op-1628229-1605527;0.5343706492232322
conference_de#op-1316026-1460819;conference_en#op-5381874-6112043;conference_en#op-5381874-6112043;0.3815867903213763
conference_de#op-5497197-2593751;conference_en#op-9065704-7114218;conference_en#op-9065704-7114218;0.3004098193664708
