;target;prediction_target_1;metric_1
cmt_en#op-2611597-4191733;confOf_de#op-1722644-5121501;confOf_de#op-1722644-5121501;0.6085010558517964
cmt_en#c-2074692-1147118;confOf_de#c-4345951-5264002;confOf_de#c-4345951-5264002;0.6260669761972093
cmt_en#c-6062733-3218604;confOf_de#c-0977717-2950137;confOf_de#c-0977717-2950137;0.6741747028011982
cmt_en#c-8066557-3199962;confOf_de#c-4973711-7358267;confOf_de#c-4973711-7358267;0.2371017600364985
cmt_en#c-3355504-9442806;confOf_de#c-3286368-6722233;confOf_de#c-3286368-6722233;0.5043949924030043
cmt_en#ent-7592571-9671564;confOf_de#ent-5742004-8000728;confOf_de#ent-5742004-8000728;0.32500768025667715
cmt_en#c-3969637-3563037;confOf_de#c-8403504-7828299;confOf_de#c-8403504-7828299;1.0063377458298493
cmt_en#c-4413043-1523228;confOf_de#c-0553488-4726167;confOf_de#c-0553488-4726167;0.42748933633394814
cmt_en#op-8724798-7163354;confOf_de#op-0668174-3248392;confOf_de#op-0668174-3248392;0.5410289657123847
cmt_en#op-7452997-4133095;confOf_de#op-9873670-8357831;confOf_de#op-9873670-8357831;0.5654619344206212
cmt_en#c-3027646-3365825;confOf_de#c-8182861-6425712;confOf_de#c-8182861-6425712;0.3127740824767322
cmt_en#c-4062369-5383392;confOf_de#c-4439571-8274936;confOf_de#c-4439571-8274936;0.4193596406434118
cmt_en#op-2852745-7435295;confOf_de#op-4508989-0566286;confOf_de#op-4508989-0566286;0.3598303106189398
cmt_en#c-9519178-7885109;confOf_de#c-2683474-6183904;confOf_de#c-2683474-6183904;0.2953253590992321
cmt_en#c-5409377-9286012;confOf_de#c-5598437-4596711;confOf_de#c-5598437-4596711;0.19905782851254392
cmt_en#ent-1648737-1451089;confOf_de#ent-7472904-1496645;confOf_de#ent-7472904-1496645;1.0418501859459832
