;target;prediction_target_1;metric_1
iasted_de#c-0797283-7567336;sigkdd_en#c-1144746-3205183;sigkdd_en#c-1144746-3205183;0.6188169251219294
iasted_de#c-9964978-6784653;sigkdd_en#c-3661201-8652994;sigkdd_en#c-4448805-6156000;1.0810757575773762
iasted_de#c-8671213-0734462;sigkdd_en#c-3800373-8198658;sigkdd_en#c-4402529-2023643;0.8942440860217892
iasted_de#c-6062149-5112025;sigkdd_en#c-3967774-8138616;sigkdd_en#c-3967774-8138616;0.36316043547727334
iasted_de#c-1107430-2739895;sigkdd_en#c-6356419-4596819;sigkdd_en#c-6356419-4596819;0.40415560312361226
iasted_de#c-5119860-9323326;sigkdd_en#c-1350325-0780321;sigkdd_en#c-1350325-0780321;0.2616021012861725
iasted_de#c-5938213-2144206;sigkdd_en#c-4402529-2023643;sigkdd_en#c-4402529-2023643;0.7099281317462277
iasted_de#c-6456542-4680337;sigkdd_en#c-4834530-8825541;sigkdd_en#c-4834530-8825541;0.3405601596236566
iasted_de#c-4201911-2867499;sigkdd_en#c-1214605-4064522;sigkdd_en#c-1214605-4064522;0.5047110810775052
iasted_de#c-2581999-3385666;sigkdd_en#c-9975477-9791635;owl#DatatypeProperty;0.9729869751611429
iasted_de#c-8935754-6759043;sigkdd_en#c-9932783-9574589;sigkdd_en#c-9932783-9574589;1.0094762318658217
iasted_de#c-2379893-4624688;sigkdd_en#c-6792972-5439604;sigkdd_en#c-6792972-5439604;0.504327466175987
iasted_de#c-4423435-9668662;sigkdd_en#c-4561947-0725440;sigkdd_en#c-4561947-0725440;0.48015365484560624
iasted_de#c-1912201-3885408;sigkdd_en#c-8570424-4038182;sigkdd_en#c-8570424-4038182;0.1289673890788449
