;target;prediction_target_1;metric_1
conference_en#c-5450625-9274279;confOf_de#c-2472530-7442299;confOf_de#c-2472530-7442299;0.21824427836028665
conference_en#ent-4516568-5595755;confOf_de#ent-7472904-1496645;confOf_de#ent-7472904-1496645;0.7925589587675212
conference_en#c-8279198-9011918;confOf_de#c-3756950-6271891;confOf_de#c-3756950-6271891;0.19220400138734897
conference_en#c-7255821-5359025;confOf_de#c-6031375-0881001;confOf_de#c-6031375-0881001;0.905719263250805
conference_en#c-2446635-7449628;confOf_de#c-8403504-7828299;confOf_de#c-8403504-7828299;0.3763532665002918
conference_en#c-8376732-6542959;confOf_de#c-7620981-0130792;confOf_de#c-7620981-0130792;0.5256665686590556
conference_en#c-3746645-9598977;confOf_de#c-0553488-4726167;confOf_de#c-0553488-4726167;0.2953954238565544
conference_en#c-6525918-2089133;confOf_de#c-2683474-6183904;confOf_de#c-2683474-6183904;0.31907479162592955
conference_en#c-5732310-8306083;confOf_de#c-5598437-4596711;confOf_de#c-5598437-4596711;0.2217273382210254
conference_en#c-0949358-2763718;confOf_de#c-2463275-9197848;confOf_de#c-2463275-9197848;0.4752225424916033
conference_en#ent-9588809-0668690;confOf_de#ent-9875824-2357826;confOf_de#ent-9875824-2357826;0.7433893816394396
conference_en#ent-8856556-5729357;confOf_de#ent-0303881-5975791;confOf_de#ent-0303881-5975791;0.7896028500947603
