;target;prediction_target_1;metric_1
confOf_de#c-4973711-7358267;confOf_en#c-7155976-8510258;confOf_en#c-7155976-8510258;0.3064495071400896
confOf_de#c-8118103-3976495;confOf_en#c-0499297-8084322;confOf_en#c-0499297-8084322;0.3891068672122948
confOf_de#c-2005207-6803071;confOf_en#c-9180975-7931356;confOf_en#c-6603806-5996118;0.5797276435063893
confOf_de#op-5548380-9195122;confOf_en#op-7718872-4722905;confOf_en#op-7718872-4722905;0.5998698403082452
confOf_de#c-9260969-5532672;confOf_en#c-4918829-3001709;confOf_en#c-4918829-3001709;0.3290843030216485
confOf_de#op-4302120-7233512;confOf_en#op-8030807-5984904;confOf_en#op-8030807-5984904;0.37579980714648065
confOf_de#c-0652717-7598825;confOf_en#c-3748486-8385244;confOf_en#c-3748486-8385244;0.3253905109243526
confOf_de#c-0126412-6208972;confOf_en#c-9402184-3168847;confOf_en#c-9402184-3168847;0.3548674636223994
confOf_de#c-4439571-8274936;confOf_en#c-4940510-7116222;confOf_en#c-4940510-7116222;0.3609496348806032
confOf_de#ent-6095931-1291276;confOf_en#ent-6379747-8396882;confOf_en#ent-6379747-8396882;0.29679256625374034
confOf_de#ent-5550018-6700451;confOf_en#ent-3724946-8160347;confOf_en#ent-3724946-8160347;0.47698818113163716
confOf_de#ent-4883389-8000129;confOf_en#ent-2941342-5653153;confOf_en#ent-2941342-5653153;0.32229582542903173
confOf_de#c-1001355-3418487;confOf_en#c-9180297-9494437;confOf_en#c-9180297-9494437;0.5153011179898959
confOf_de#ent-4079155-2412723;confOf_en#ent-5229701-3075709;confOf_en#ent-5229701-3075709;0.3791822050914914
confOf_de#c-2463275-9197848;confOf_en#c-9890668-1988204;confOf_en#c-9890668-1988204;0.4662029506181575
confOf_de#c-3286368-6722233;confOf_en#c-5904090-2937490;confOf_en#c-5904090-2937490;0.44176514903101816
confOf_de#c-7709681-8293969;confOf_en#c-5701075-1274855;confOf_en#c-5701075-1274855;0.29372649839336684
confOf_de#op-5694068-8845542;confOf_en#op-7502401-8040051;confOf_en#op-7502401-8040051;0.42335326581133287
confOf_de#c-7620981-0130792;confOf_en#c-4855691-2375415;confOf_en#c-4855691-2375415;0.39252971458258257
confOf_de#ent-9875824-2357826;confOf_en#ent-8227140-2506031;confOf_en#ent-8227140-2506031;0.31249812864744847
confOf_de#c-5598437-4596711;confOf_en#c-1804480-3618243;confOf_en#c-1804480-3618243;0.2828324451979332
confOf_de#c-0211430-8010097;confOf_en#c-9051277-7292388;confOf_en#c-9051277-7292388;0.3086571531244611
confOf_de#op-1761269-0805727;confOf_en#op-4917934-2826750;confOf_en#op-4917934-2826750;0.30908882765696766
confOf_de#op-6302277-5481695;confOf_en#op-4096845-6623331;confOf_en#op-4096845-6623331;0.3429664129668669
confOf_de#ent-0303881-5975791;confOf_en#ent-1716167-5904495;confOf_en#ent-1716167-5904495;0.27666888178114213
confOf_de#ent-0835076-0487700;confOf_en#ent-5730464-5416292;confOf_en#ent-5730464-5416292;0.4993503719777712
confOf_de#c-0064824-4442977;confOf_en#c-6604321-4337835;confOf_en#c-6604321-4337835;0.31059846480138564
confOf_de#c-8959319-1033837;confOf_en#c-4184138-3261067;confOf_en#c-4184138-3261067;0.3225379698603047
confOf_de#c-8168019-5837036;confOf_en#c-6603806-5996118;confOf_en#c-6603806-5996118;0.532202935470113
confOf_de#ent-3284867-9260202;confOf_en#ent-6734221-5873053;confOf_en#ent-6734221-5873053;0.3853119238310308
confOf_de#c-2683474-6183904;confOf_en#c-6922761-6569068;confOf_en#c-6922761-6569068;0.5178108867073682
