;target;prediction_target_1;metric_1
iasted_en#c-3616860-0256541;sigkdd_de#c-1670757-7005751;sigkdd_de#c-1670757-7005751;0.4583628507516321
iasted_en#c-4646685-6576496;sigkdd_de#c-6469555-3746715;sigkdd_de#c-6140019-6453251;0.9873201694324054
iasted_en#c-8889798-1079873;sigkdd_de#c-7808089-4928984;sigkdd_de#c-7808089-4928984;1.0133472364614924
iasted_en#c-7464317-0926432;sigkdd_de#c-9302905-7296086;sigkdd_de#c-9302905-7296086;0.33927442696722465
iasted_en#c-9595802-8962494;sigkdd_de#c-3867058-2838516;sigkdd_de#c-3867058-2838516;0.4168294101686928
iasted_en#c-9677685-8341994;sigkdd_de#c-3477390-2381487;sigkdd_de#c-3477390-2381487;0.313942520341743
iasted_en#c-3433144-4931823;sigkdd_de#c-5850113-5122819;sigkdd_de#c-5850113-5122819;0.7954891917218911
iasted_en#c-7587641-3301519;sigkdd_de#c-6217268-0289211;sigkdd_de#c-6217268-0289211;0.24896405022040602
iasted_en#c-0995110-2084431;sigkdd_de#c-7783492-1910067;sigkdd_de#c-7783492-1910067;0.8718265098787087
iasted_en#c-3390147-9518013;sigkdd_de#c-7753839-9560987;sigkdd_de#c-7753839-9560987;1.0074292187480451
iasted_en#c-4700670-6960019;sigkdd_de#c-4711434-5769445;sigkdd_de#c-4711434-5769445;0.23810405786028738
