;target;prediction_target_1;metric_1
conference_de#c-8237344-7989230;confOf_en#c-8729640-0951717;confOf_en#c-8729640-0951717;0.2800308866547231
conference_de#ent-5299945-7988874;confOf_en#ent-4532930-2199897;confOf_en#ent-4532930-2199897;0.7883730476490205
conference_de#c-1859422-0439299;confOf_en#c-2124079-9413007;confOf_en#c-2124079-9413007;0.14803034077882352
conference_de#c-4756237-0913680;confOf_en#c-4888780-4443103;confOf_en#c-4888780-4443103;0.3881550861060499
conference_de#c-0369442-7501730;confOf_en#c-6834280-4912416;confOf_en#c-6834280-4912416;0.26569865974733575
conference_de#c-2807153-3693543;confOf_en#c-6922761-6569068;confOf_en#c-6922761-6569068;0.4014418173501489
conference_de#c-8115832-0092831;confOf_en#c-1804480-3618243;confOf_en#c-1804480-3618243;0.1991703951096584
conference_de#c-1479504-0321675;confOf_en#c-9890668-1988204;confOf_en#c-9890668-1988204;0.45852313382513965
conference_de#c-5694210-3113803;confOf_en#c-5307218-6000981;confOf_en#c-5307218-6000981;0.2839059325767252
conference_de#op-4737759-4638811;confOf_en#op-8030807-5984904;confOf_en#op-8030807-5984904;0.423517266263379
conference_de#c-2852856-4092117;confOf_en#c-3734266-2898610;confOf_en#c-3734266-2898610;0.3134869446040288
