;target;prediction_target_1;metric_1
conference_de#c-4650867-2477948;conference_en#c-8550632-1205594;conference_en#c-8550632-1205594;0.4293746602824677
conference_de#c-9605590-3026126;conference_en#c-8407213-4753042;conference_en#op-8255260-5370742;0.5268018609070859
conference_de#c-2225732-5117501;conference_en#c-2523530-3328853;conference_en#c-2523530-3328853;0.37136694770489354
conference_de#op-4321693-3900519;conference_en#op-2670908-3669119;conference_en#op-2670908-3669119;0.3663528103693829
conference_de#op-1945545-2946293;conference_en#op-8925105-7780939;conference_en#op-8925105-7780939;0.3550098842889984
conference_de#c-1859458-4041433;conference_en#c-4658794-0941326;conference_en#c-4658794-0941326;0.5708876738336733
conference_de#c-1479504-0321675;conference_en#c-0949358-2763718;conference_en#c-0949358-2763718;0.3450388611696784
conference_de#c-8237344-7989230;conference_en#c-5450625-9274279;conference_en#c-5450625-9274279;0.3943635583611378
conference_de#op-9513224-3178621;conference_en#op-6711156-0655978;conference_en#op-1004860-6532610;0.288060017669414
conference_de#ent-6301306-0729008;conference_en#ent-6624455-0139130;conference_en#ent-4155068-8609429;0.33946630738171873
conference_de#c-3560304-9366401;conference_en#c-0918067-8070827;conference_en#c-0918067-8070827;0.24541859669314267
conference_de#op-3684524-3597938;conference_en#op-4179398-9105427;conference_en#op-4945044-7699013;0.3285967951140928
conference_de#op-4809969-8849082;conference_en#op-6756703-0827437;conference_en#op-6756703-0827437;0.3520626754921143
conference_de#op-6034483-9201945;conference_en#op-0316178-5626069;conference_en#op-0316178-5626069;0.4781022108472796
conference_de#c-8115832-0092831;conference_en#c-5732310-8306083;conference_en#c-5732310-8306083;0.19246381575680777
conference_de#op-2585333-8630311;conference_en#op-9761886-1014523;conference_en#op-9761886-1014523;0.32595467595838584
conference_de#c-3407738-8040996;conference_en#c-4109326-8594621;conference_en#c-4109326-8594621;0.340824494544964
conference_de#ent-3147113-3527757;conference_en#ent-6191643-0859158;conference_en#ent-6624455-0139130;0.38520104786880405
conference_de#op-7940821-6078131;conference_en#op-4084032-4002742;conference_en#op-4287727-6636701;0.6475344119225759
conference_de#ent-4663562-1593340;conference_en#ent-0091160-7920486;conference_en#ent-4155068-8609429;0.3956838471725574
conference_de#c-1178842-2732173;conference_en#c-8170886-3522509;conference_en#c-8170886-3522509;0.5748982028750362
conference_de#ent-7681251-4727105;conference_en#ent-8751423-1633174;XMLSchema#date;0.49322204959521904
conference_de#c-8195847-6754106;conference_en#c-7121259-3662514;conference_en#c-7121259-3662514;0.4262597537684944
conference_de#c-1308924-1537645;conference_en#c-5623276-9536395;conference_en#c-5623276-9536395;0.43614681747689504
conference_de#c-2365620-6793184;conference_en#c-4101654-3843816;conference_en#c-4101654-3843816;0.33053101176815586
conference_de#op-7531097-2137005;conference_en#op-8255260-5370742;conference_en#op-8255260-5370742;0.43674446563970387
conference_de#c-6828546-9901709;conference_en#c-3013589-3595599;conference_en#c-3013589-3595599;0.4109023340213752
conference_de#op-1922736-2120081;conference_en#op-1900730-6434780;conference_en#op-2884928-1098675;0.5081410414166239
conference_de#op-8125573-9330488;conference_en#op-0995537-7744010;conference_en#op-0995537-7744010;0.3107314228252735
conference_de#c-2493179-8478854;conference_en#c-1969456-2437164;conference_en#c-1969456-2437164;0.40158344362155163
conference_de#c-6598246-0855085;conference_en#c-9959587-2502467;presented;0.30122640096413406
conference_de#c-1450635-6067268;conference_en#c-9170184-4807203;conference_en#c-6270579-7841141;0.5051247644169071
conference_de#op-6312998-0325865;conference_en#op-3785683-5574395;conference_en#op-3785683-5574395;0.4518093705291351
conference_de#op-9561953-5139312;conference_en#op-9417986-2023425;conference_en#op-9417986-2023425;0.4599034007052368
conference_de#ent-4829687-0686812;conference_en#ent-9670647-6904825;conference_en#ent-5876431-4161956;0.23804511304248882
conference_de#op-2922778-5582937;conference_en#op-4028676-2638300;conference_en#op-4028676-2638300;0.49639116577287445
conference_de#c-7349366-5598642;conference_en#c-4374045-8704772;conference_en#c-4374045-8704772;0.8103766776711478
conference_de#c-9365621-4628022;conference_en#c-9609595-3810460;conference_en#c-9609595-3810460;0.42485035531580817
conference_de#ent-4771576-9028029;conference_en#ent-9588809-0668690;conference_en#ent-4155068-8609429;0.3014182870067907
conference_de#c-5548459-1019906;conference_en#c-8566080-5422297;conference_en;0.2568350615815211
conference_de#ent-6593972-9853022;conference_en#ent-8795223-5286845;conference_en#ent-8795223-5286845;0.33894249564676254
conference_de#op-1069821-7365209;conference_en#op-2456802-7820267;conference_en#op-2456802-7820267;0.31893251663055106
conference_de#c-2883309-0508630;conference_en#c-3417170-2349351;conference_en#c-3417170-2349351;0.47413769461047456
conference_de#c-8573778-5851296;conference_en#c-7443688-6884776;conference_en#c-7443688-6884776;0.3128041565201602
conference_de#op-9251692-2958376;conference_en#op-4319238-3673329;conference_en#op-4945044-7699013;0.41262835168492185
conference_de#c-3040625-6424461;conference_en#c-0153241-8442178;conference_en#c-0153241-8442178;0.7073302733910798
conference_de#c-5694210-3113803;conference_en#c-4444483-2447834;conference_en#c-4444483-2447834;0.318643620480422
conference_de#c-8071281-1290388;conference_en#c-3647168-6413616;conference_en#c-3647168-6413616;0.4464022884763138
conference_de#op-3660173-8702227;conference_en#op-5224922-0021686;conference_en#op-5224922-0021686;0.2962627276028901
conference_de#op-1989814-5525228;conference_en#op-6070720-0445977;conference_en#op-3874959-5523184;0.3959908952030291
conference_de#c-2807153-3693543;conference_en#c-6525918-2089133;conference_en#c-6525918-2089133;0.3109616363108006
conference_de#c-7357618-1642646;conference_en#c-8428656-6505560;conference_en#c-8428656-6505560;0.28501885594903903
conference_de#op-6068254-8048160;conference_en#op-4656648-2702541;conference_en#op-4656648-2702541;0.40727987005423755
conference_de#c-0268486-3322572;conference_en#c-6270579-7841141;conference_en#c-6270579-7841141;0.4244307339254878
conference_de#c-0436446-0249443;conference_en#c-5790368-3331445;conference_en#c-5790368-3331445;0.3374926197185107
conference_de#c-9625814-4995879;conference_en#c-7081035-6117083;conference_en#c-7081035-6117083;0.3303470147534869
conference_de#c-9185334-5782431;conference_en#c-0361407-5806327;conference_en#c-8170886-3522509;0.589439188283768
conference_de#c-2326730-6671120;conference_en#c-3445672-4630908;conference_en#c-3445672-4630908;0.7105437783252355
conference_de#c-6600254-2450629;conference_en#c-0513615-7095489;conference_en#c-0513615-7095489;0.5654869680620886
conference_de#c-1810344-8487780;conference_en#c-1432286-4789153;conference_en#c-1432286-4789153;0.5588616205147514
conference_de#op-6793370-1481860;conference_en#op-0671654-2571930;conference_en#op-0671654-2571930;0.5300060738882566
conference_de#ent-9741712-1074484;conference_en#ent-5398835-6557322;conference_en#ent-0091160-7920486;0.38164546726262244
conference_de#op-6051861-5180291;conference_en#op-9590583-7660466;conference_en#op-9590583-7660466;0.4064547111257676
conference_de#c-5562180-9263139;conference_en#c-0777086-7016755;conference_en#c-0777086-7016755;0.3347189645551475
