;target;prediction_target_1;metric_1
conference_en#c-0513615-7095489;sigkdd_de#c-6985541-3131901;sigkdd_de#c-6985541-3131901;0.5802386670778326
conference_en#c-0153241-8442178;sigkdd_de#c-0695531-5412063;sigkdd_de#c-0695531-5412063;0.4192737961903204
conference_en#op-5728539-7928456;sigkdd_de#op-2955099-2207630;sigkdd_de#op-2955099-2207630;0.42485375609373804
conference_en#c-0975007-5643450;sigkdd_de#c-6217268-0289211;sigkdd_de#c-6217268-0289211;0.4377965526056787
conference_en#c-2974852-3474918;sigkdd_de#c-6469555-3746715;sigkdd_de#c-8468797-7679212;0.9564862951304736
conference_en#c-7121259-3662514;sigkdd_de#c-1052931-1641701;owl#AnnotationProperty;0.7248995120466883
conference_en#c-9453090-9458986;sigkdd_de#c-9302905-7296086;sigkdd_de#c-9302905-7296086;0.7166224807413192
conference_en#ent-4516568-5595755;sigkdd_de#ent-0138865-5902109;sigkdd_de#c-9302905-7296086;0.8051841267291892
conference_en#c-3746645-9598977;sigkdd_de#c-1975722-3062538;sigkdd_de#c-1975722-3062538;0.2892521178045248
conference_en#c-5005169-5278256;sigkdd_de#c-4301546-5674434;owl#AnnotationProperty;0.7350679860605902
conference_en#c-9312690-4124149;sigkdd_de#c-6140019-6453251;sigkdd_de#c-6140019-6453251;0.5457913448175848
conference_en#c-6525918-2089133;sigkdd_de#c-2769827-8195865;sigkdd_de#c-2769827-8195865;0.3286666822498224
conference_en#c-7081035-6117083;sigkdd_de#c-0094164-6634357;sigkdd_de#c-1052931-1641701;0.7745289673405134
conference_en#op-0316178-5626069;sigkdd_de#op-0836929-5233701;sigkdd_de#op-0836929-5233701;0.38930215948182495
