;target;prediction_target_1;metric_1
conference_en#ent-4516568-5595755;confOf_de#ent-7472904-1496645;confOf_de#ent-7472904-1496645;0.6779573471078915
conference_en#c-8279198-9011918;confOf_de#c-3756950-6271891;confOf_de#c-3756950-6271891;0.2013128354261353
conference_en#c-2446635-7449628;confOf_de#c-8403504-7828299;confOf_de#c-8403504-7828299;0.5152499458843041
conference_en#c-8376732-6542959;confOf_de#c-7620981-0130792;confOf_de#c-7620981-0130792;0.6267756158631483
conference_en#c-3746645-9598977;confOf_de#c-0553488-4726167;confOf_de#c-0553488-4726167;0.2881004419189847
conference_en#c-6525918-2089133;confOf_de#c-2683474-6183904;confOf_de#c-2683474-6183904;0.5584318166499374
conference_en#c-5732310-8306083;confOf_de#c-5598437-4596711;confOf_de#c-5598437-4596711;0.18814158865289649
conference_en#c-0949358-2763718;confOf_de#c-2463275-9197848;confOf_de#c-2463275-9197848;0.4442591323722575
conference_en#c-4444483-2447834;confOf_de#c-8182861-6425712;confOf_de#c-8182861-6425712;0.44830041945044685
conference_en#op-6979143-6235556;confOf_de#op-4302120-7233512;confOf_de#op-4302120-7233512;0.6979180649498415
conference_en#c-0975007-5643450;confOf_de#c-4345951-5264002;confOf_de#c-4345951-5264002;0.2779218394301579
conference_en#ent-9588809-0668690;confOf_de#ent-9875824-2357826;confOf_de#ent-9875824-2357826;0.6999197239470388
conference_en#ent-8856556-5729357;confOf_de#ent-0303881-5975791;confOf_de#ent-0303881-5975791;0.6505415741552208
