;target;prediction_target_1;metric_1
conference_de#c-2365620-6793184;iasted_en#c-2174181-3520068;iasted_en#c-2174181-3520068;0.40401616823134895
conference_de#c-2731220-6600456;iasted_en#c-0887025-3124194;iasted_en#c-0887025-3124194;0.3895636440123335
conference_de#c-2852856-4092117;iasted_en#c-7587641-3301519;iasted_en#c-7587641-3301519;0.5421229274296924
conference_de#c-7096317-3412127;iasted_en#c-7464317-0926432;iasted_en#c-7464317-0926432;0.501679229968859
conference_de#op-5642484-4870984;iasted_en#op-1301961-3228494;iasted_en#op-1301961-3228494;0.769897401205315
conference_de#c-1308924-1537645;iasted_en#c-3686523-4526492;iasted_en#c-3686523-4526492;0.4079188821403571
conference_de#c-2883309-0508630;iasted_en#c-4700670-6960019;iasted_en#c-4700670-6960019;0.3180048333608348
conference_de#c-1450635-6067268;iasted_en#c-6088495-8861567;iasted_en#c-6088495-8861567;0.8601467942018545
conference_de#c-6508590-8109709;iasted_en#c-4646685-6576496;iasted_en#c-4646685-6576496;0.43251935933335905
conference_de#c-9365621-4628022;iasted_en#c-2980826-1784096;iasted_en#c-2980826-1784096;0.45463525985873116
conference_de#c-7521012-9493261;iasted_en#c-0201298-3231355;iasted_en#c-0201298-3231355;0.38263763784325416
