;target;prediction_target_1;metric_1
cmt_de#c-0277212-8406046;sigkdd_en#c-3705916-7930602;sigkdd_en#c-3705916-7930602;0.339673155344014
cmt_de#c-4872876-3932965;sigkdd_en#c-4408098-5910124;sigkdd_en#c-4408098-5910124;0.48557140294762857
cmt_de#c-3386094-8929437;sigkdd_en#c-4448805-6156000;sigkdd_en#c-4448805-6156000;0.23464250314542578
cmt_de#ent-4152612-5306614;sigkdd_en#ent-6795922-7675825;sigkdd_en#ent-6795922-7675825;0.8337030653359678
cmt_de#c-2036030-6478102;sigkdd_en#c-3661201-8652994;sigkdd_en#c-7357680-6909888;0.9922262802547474
cmt_de#c-3554876-1135672;sigkdd_en#c-5937062-8520809;paid;0.9152041613761679
cmt_de#c-7606498-1774261;sigkdd_en#c-7287097-6354392;sigkdd_en#c-7287097-6354392;0.4349339046981225
cmt_de#c-7511748-5827387;sigkdd_en#c-4834530-8825541;sigkdd_en#c-4834530-8825541;0.6374932575559789
cmt_de#op-5588430-7223994;sigkdd_en#op-4588680-8309474;sigkdd_en#op-4588680-8309474;0.5049384395038451
cmt_de#c-9804348-4921383;sigkdd_en#c-6792972-5439604;sigkdd_en#c-6792972-5439604;0.2592321611515355
