;target;prediction_target_1;metric_1
conference_de#c-6600254-2450629;sigkdd_en#c-7357680-6909888;sigkdd_en#c-7357680-6909888;0.6403405387401226
conference_de#c-3040625-6424461;sigkdd_en#c-4512427-8358882;sigkdd_en#c-4512427-8358882;0.604807537365417
conference_de#op-1806324-3972847;sigkdd_en#op-4778648-3039012;sigkdd_en#op-4778648-3039012;0.36212987613021785
conference_de#c-2852856-4092117;sigkdd_en#c-4834530-8825541;sigkdd_en#c-4834530-8825541;0.2870725378337486
conference_de#c-6508590-8109709;sigkdd_en#c-3661201-8652994;sigkdd_en#c-1144746-3205183;1.0686785235814493
conference_de#c-5694210-3113803;sigkdd_en#c-5031073-5159430;sigkdd_en#c-5031073-5159430;0.33022269026986056
conference_de#ent-5299945-7988874;sigkdd_en#ent-6795922-7675825;sigkdd_en#ent-6795922-7675825;0.7677753983127238
conference_de#c-0369442-7501730;sigkdd_en#c-3705916-7930602;sigkdd_en#c-3705916-7930602;0.3384328602991835
conference_de#c-1521137-1761392;sigkdd_en#c-2288341-0956338;sigkdd_en#c-2288341-0956338;0.9043472651583183
conference_de#c-7521012-9493261;sigkdd_en#c-4448805-6156000;sigkdd_en#c-4448805-6156000;0.5345364022131516
conference_de#c-2807153-3693543;sigkdd_en#c-6792972-5439604;sigkdd_en#c-6792972-5439604;0.4651569422513972
conference_de#c-9625814-4995879;sigkdd_en#c-4956507-8354862;sigkdd_en#c-4956507-8354862;0.6281961325148102
