;target;prediction_target_1;metric_1
cmt_en#op-2611597-4191733;confOf_de#op-1722644-5121501;confOf_de#op-1722644-5121501;0.48153383103319386
cmt_en#c-2074692-1147118;confOf_de#c-4345951-5264002;confOf_de#c-4345951-5264002;0.6154919637635169
cmt_en#c-8066557-3199962;confOf_de#c-4973711-7358267;confOf_de#c-4973711-7358267;0.42980437424889456
cmt_en#c-3355504-9442806;confOf_de#c-3286368-6722233;confOf_de#c-3286368-6722233;0.3603789261734023
cmt_en#op-8724798-7163354;confOf_de#op-0668174-3248392;confOf_de#op-0668174-3248392;0.5200278081626594
cmt_en#c-3027646-3365825;confOf_de#c-8182861-6425712;confOf_de#c-8182861-6425712;0.2169443434291467
cmt_en#c-4062369-5383392;confOf_de#c-4439571-8274936;confOf_de#c-4439571-8274936;0.3060899577573092
cmt_en#op-2852745-7435295;confOf_de#op-4508989-0566286;confOf_de#op-4508989-0566286;0.25440082026241734
cmt_en#c-9519178-7885109;confOf_de#c-2683474-6183904;confOf_de#c-2683474-6183904;0.23037600699780364
cmt_en#c-5409377-9286012;confOf_de#c-5598437-4596711;confOf_de#c-5598437-4596711;0.23174679313421345
cmt_en#ent-1648737-1451089;confOf_de#ent-7472904-1496645;confOf_de#ent-7472904-1496645;0.938149506578502
