;target;prediction_target_1;metric_1
cmt_de#op-2369093-6627419;cmt_en#op-2674759-3900303;cmt_en#op-2674759-3900303;0.4927488034258107
cmt_de#c-9804348-4921383;cmt_en#c-9519178-7885109;cmt_en#c-9519178-7885109;0.3234456931447559
cmt_de#op-1511461-8135444;cmt_en#op-0261939-6958814;cmt_en#op-1581958-6116705;0.550845292761478
cmt_de#ent-4152612-5306614;cmt_en#ent-1648737-1451089;cmt_en#ent-1648737-1451089;0.5659532091763279
cmt_de#c-6476451-2581059;cmt_en#c-1611583-0668331;cmt_en#c-1611583-0668331;0.63868019362831
cmt_de#op-1671215-9946432;cmt_en#op-4815057-3921498;cmt_en#op-3673731-3704063;0.44190351500692354
cmt_de#op-0136947-6585575;cmt_en#op-6283707-9260731;cmt_en#op-2674759-3900303;0.4994768340827947
cmt_de#op-1333090-2653926;cmt_en#op-0644404-7231162;cmt_en#op-8994929-8698791;0.8212354148644717
cmt_de#c-0277212-8406046;cmt_en#c-5409377-9286012;cmt_en#c-5409377-9286012;0.29639178266154187
cmt_de#op-6999775-8658617;cmt_en#op-2649033-9712859;cmt_en#op-2649033-9712859;0.4465223703952351
cmt_de#c-3386094-8929437;cmt_en#c-8693270-2767092;cmt_en#c-8693270-2767092;0.33180869225890935
cmt_de#op-4267478-9907556;cmt_en#op-5548425-1932115;cmt_en#op-5548425-1932115;0.4071048253184267
cmt_de#c-1253837-4887221;cmt_en#c-4413043-1523228;cmt_en#c-4413043-1523228;0.3904871676242574
cmt_de#op-4513167-2261392;cmt_en#op-4204612-8254155;cmt_en#op-4204612-8254155;0.6074556847761357
cmt_de#c-5062955-9564132;cmt_en#c-8707801-9291338;cmt_en#c-8707801-9291338;0.3552160780087881
cmt_de#c-7606498-1774261;cmt_en#c-6062733-3218604;cmt_en#c-3945313-3684065;0.5838987706093005
cmt_de#c-2310106-7377133;cmt_en#c-3959626-1362323;cmt_en#c-3959626-1362323;0.7109825742469611
cmt_de#c-1092336-2330592;cmt_en#c-8313706-4430806;cmt_en#c-8313706-4430806;0.43654406071802854
cmt_de#op-5317809-8410933;cmt_en#op-5714477-9488711;cmt_en#op-5714477-9488711;0.38469526580886787
cmt_de#op-6570223-6428235;cmt_en#op-1997920-3046898;cmt_en#op-4204612-8254155;0.6185281672968591
cmt_de#op-5588430-7223994;cmt_en#op-4706944-2787728;cmt_en#op-4706944-2787728;0.4297584435459354
