;target;prediction_target_1;metric_1
confOf_de#c-4973711-7358267;confOf_en#c-7155976-8510258;confOf_en#c-7155976-8510258;0.2735681135992479
confOf_de#c-8118103-3976495;confOf_en#c-0499297-8084322;confOf_en#c-0499297-8084322;0.3442299489237058
confOf_de#op-5548380-9195122;confOf_en#op-7718872-4722905;confOf_en#op-7718872-4722905;0.5150235565308029
confOf_de#c-4861385-1103485;confOf_en#c-3826751-4914269;confOf_en#c-9180975-7931356;0.4895673971391802
confOf_de#op-4302120-7233512;confOf_en#op-8030807-5984904;confOf_en#op-8030807-5984904;0.2593649583575984
confOf_de#op-0668174-3248392;confOf_en#op-6508666-4665772;confOf_en#op-6508666-4665772;0.33832667941389366
confOf_de#c-0652717-7598825;confOf_en#c-3748486-8385244;confOf_en#c-3748486-8385244;0.3835803016980722
confOf_de#c-4702748-1915950;confOf_en#c-3868234-1876752;confOf_en#c-3868234-1876752;0.2556926740532847
confOf_de#c-2022407-5202362;confOf_en#c-1546212-3884536;confOf_en#c-1546212-3884536;0.30073561239814406
confOf_de#ent-9176086-3549112;confOf_en#ent-0251198-5994761;owl#SymmetricProperty;0.8833881859225883
confOf_de#c-1001355-3418487;confOf_en#c-9180297-9494437;confOf_en#c-9180297-9494437;0.4172782870503344
confOf_de#ent-4079155-2412723;confOf_en#ent-5229701-3075709;confOf_en#ent-5229701-3075709;0.24598555131343414
confOf_de#c-2463275-9197848;confOf_en#c-9890668-1988204;confOf_en#c-9890668-1988204;0.47560969077293647
confOf_de#c-3286368-6722233;confOf_en#c-5904090-2937490;confOf_en#c-6603806-5996118;0.4133999420198224
confOf_de#c-7709681-8293969;confOf_en#c-5701075-1274855;confOf_en#c-5701075-1274855;0.4502468970429123
confOf_de#ent-2160031-2946829;confOf_en#ent-3180463-1145375;confOf_en#ent-3180463-1145375;0.35612495701911545
confOf_de#c-7620981-0130792;confOf_en#c-4855691-2375415;confOf_en#c-4855691-2375415;0.5234120643272897
confOf_de#c-1803256-3977939;confOf_en#c-5948332-3267518;confOf_en#c-5948332-3267518;0.4256725974447271
confOf_de#ent-4553206-2103816;confOf_en#ent-5063643-6711325;owl#SymmetricProperty;0.8582560080054924
confOf_de#c-5598437-4596711;confOf_en#c-1804480-3618243;confOf_en#c-1804480-3618243;0.46286244340982874
confOf_de#op-4508989-0566286;confOf_en#op-8176347-7547891;confOf_en#op-8176347-7547891;0.43899119202908354
confOf_de#c-6386839-2509220;confOf_en#c-3107403-2678849;confOf_en#c-3107403-2678849;0.3456077798658945
confOf_de#ent-0303881-5975791;confOf_en#ent-1716167-5904495;confOf_en#ent-1716167-5904495;0.3126324918234844
confOf_de#c-6723589-0344433;confOf_en#c-6603668-7634311;confOf_en#c-6603668-7634311;0.3803360305889377
confOf_de#ent-0835076-0487700;confOf_en#ent-5730464-5416292;confOf_en#ent-6734221-5873053;0.4846670154893174
confOf_de#c-8959319-1033837;confOf_en#c-4184138-3261067;confOf_en#c-4184138-3261067;0.30156937042900717
confOf_de#c-1165971-3665910;confOf_en#c-5851222-7607068;confOf_en#c-5851222-7607068;0.37883994163809875
confOf_de#op-6246394-5080283;confOf_en#op-5066813-3735504;confOf_en#op-5066813-3735504;0.30052632641425964
confOf_de#ent-3284867-9260202;confOf_en#ent-6734221-5873053;confOf_en#ent-6734221-5873053;0.45706866145004704
confOf_de#ent-8169889-1545004;confOf_en#ent-9275375-3973324;confOf_en#ent-9275375-3973324;0.42392789098880085
confOf_de#c-2472530-7442299;confOf_en#c-8729640-0951717;confOf_en#c-8729640-0951717;0.2067873511756396
confOf_de#c-2683474-6183904;confOf_en#c-6922761-6569068;confOf_en#c-6922761-6569068;0.5374519957530843
