;target;prediction_target_1;metric_1
conference_de#c-2225732-5117501;conference_en#c-2523530-3328853;conference_en#c-2523530-3328853;0.21117823906647576
conference_de#op-4321693-3900519;conference_en#op-2670908-3669119;conference_en#op-2670908-3669119;0.2784507402596705
conference_de#op-1945545-2946293;conference_en#op-8925105-7780939;conference_en#op-8925105-7780939;0.40895098906418903
conference_de#ent-6301306-0729008;conference_en#ent-6624455-0139130;conference_en#ent-6624455-0139130;0.43224777939084413
conference_de#c-3560304-9366401;conference_en#c-0918067-8070827;conference_en#c-0918067-8070827;0.20673790976714895
conference_de#c-8115832-0092831;conference_en#c-5732310-8306083;conference_en#c-5732310-8306083;0.3247745277259445
conference_de#c-6776566-6732274;conference_en#c-9472960-6540943;conference_en#c-9472960-6540943;0.39531877761428336
conference_de#ent-7681251-4727105;conference_en#ent-8751423-1633174;conference_en#ent-8751423-1633174;0.48813057449022945
conference_de#op-3103572-2221087;conference_en#op-9508659-7431073;conference_en#op-9508659-7431073;0.33433759165463395
conference_de#c-8195847-6754106;conference_en#c-7121259-3662514;conference_en#c-7121259-3662514;0.2180885627945207
conference_de#c-1308924-1537645;conference_en#c-5623276-9536395;conference_en#c-5623276-9536395;0.5437827815831945
conference_de#c-2773011-0249106;conference_en#c-9232089-8351274;conference_en#c-9232089-8351274;0.3764797952210997
conference_de#op-7531097-2137005;conference_en#op-8255260-5370742;conference_en#op-8255260-5370742;0.27330635892554545
conference_de#c-6828546-9901709;conference_en#c-3013589-3595599;conference_en#c-3013589-3595599;0.3290029661475821
conference_de#op-1922736-2120081;conference_en#op-1900730-6434780;conference_en#op-1900730-6434780;0.2729604498955353
conference_de#op-8125573-9330488;conference_en#op-0995537-7744010;conference_en#op-0995537-7744010;0.3334366406781201
conference_de#c-6598246-0855085;conference_en#c-9959587-2502467;conference_en#c-9959587-2502467;0.3947277782460657
conference_de#c-1450635-6067268;conference_en#c-9170184-4807203;conference_en#c-6270579-7841141;0.5040548017319029
conference_de#op-9561953-5139312;conference_en#op-9417986-2023425;conference_en#op-4319238-3673329;0.4319537928073407
conference_de#c-3096259-3019685;conference_en#c-8786752-3541167;conference_en#c-8786752-3541167;0.5148711345877702
conference_de#c-1859422-0439299;conference_en#c-8279198-9011918;conference_en#c-8279198-9011918;0.3109070411939338
conference_de#op-6576828-0504843;conference_en#op-2613736-3395689;conference_en#op-2613736-3395689;0.28483486200323177
conference_de#c-9365621-4628022;conference_en#c-9609595-3810460;conference_en#c-9609595-3810460;0.5298516995524084
conference_de#c-8573778-5851296;conference_en#c-7443688-6884776;conference_en#c-6031866-4091605;0.3531301380954465
conference_de#c-5694210-3113803;conference_en#c-4444483-2447834;conference_en#c-4444483-2447834;0.3695939602625146
conference_de#c-8071281-1290388;conference_en#c-3647168-6413616;conference_en#c-3647168-6413616;0.2934727852082932
conference_de#op-3660173-8702227;conference_en#op-5224922-0021686;conference_en#op-5224922-0021686;0.2625388794359101
conference_de#c-2807153-3693543;conference_en#c-6525918-2089133;conference_en#c-6525918-2089133;0.44559476210243937
conference_de#op-6068254-8048160;conference_en#op-4656648-2702541;conference_en#op-4656648-2702541;0.3098161567042351
conference_de#op-1806324-3972847;conference_en#op-5728539-7928456;conference_en#op-5728539-7928456;0.45824407331528216
conference_de#c-1810344-8487780;conference_en#c-1432286-4789153;conference_en#c-1432286-4789153;0.4376749455451813
conference_de#c-5562180-9263139;conference_en#c-0777086-7016755;conference_en#c-0777086-7016755;0.2092420530084529
conference_de#c-7096317-3412127;conference_en#c-9453090-9458986;owl#Ontology;0.2794781697924985
conference_de#c-4481836-1173835;conference_en#c-1233739-4358960;conference_en#c-1233739-4358960;0.2938167503024473
conference_de#op-2618351-5385365;conference_en#op-3874959-5523184;conference_en#op-3874959-5523184;0.42955862520879073
conference_de#op-4324524-0658713;conference_en#op-4287727-6636701;conference_en#op-4287727-6636701;0.328000594289251
conference_de#c-5236249-1093814;conference_en#c-8376732-6542959;conference_en#c-9209266-2324134;0.828871500702827
conference_de#ent-6918273-8967644;conference_en#ent-5876431-4161956;conference_en#ent-9670647-6904825;0.3382370565088577
conference_de#c-1025534-8292294;conference_en#c-9466907-2262688;conference_en#c-9466907-2262688;0.21039821449491317
conference_de#ent-3965541-6558239;conference_en#ent-8856556-5729357;conference_en#ent-8321268-9659544;0.36755673312556936
conference_de#c-2731220-6600456;conference_en#c-0845815-7069476;conference_en#c-0845815-7069476;0.18603440674777783
conference_de#c-6041715-6986615;conference_en#c-1481587-3387008;conference_en#c-1481587-3387008;0.3499020899267183
conference_de#c-7521012-9493261;conference_en#c-9312690-4124149;conference_en#c-9312690-4124149;0.2640296000950087
conference_de#ent-5299945-7988874;conference_en#ent-4516568-5595755;conference_en#ent-9670647-6904825;0.37399222660898007
conference_de#ent-4148970-9878776;conference_en#ent-3627793-6883861;conference_en#ent-9588809-0668690;0.36264668236721764
conference_de#c-2734491-0275940;conference_en#c-7255821-5359025;conference_en#c-7255821-5359025;0.38063960647878287
conference_de#op-5214051-3470114;conference_en#op-1628229-1605527;conference_en#op-1628229-1605527;0.3789600054401642
conference_de#op-5497197-2593751;conference_en#op-9065704-7114218;conference_en#op-9065704-7114218;0.35776091582054875
