;target;prediction_target_1;metric_1
conference_de#op-9513224-3178621;conference_en#op-6711156-0655978;conference_en#op-6711156-0655978;0.2729732277168153
conference_de#ent-6301306-0729008;conference_en#ent-6624455-0139130;conference_en#ent-6624455-0139130;0.4104116483709515
conference_de#c-3560304-9366401;conference_en#c-0918067-8070827;conference_en#c-0918067-8070827;0.1927292317905878
conference_de#op-4809969-8849082;conference_en#op-6756703-0827437;conference_en#op-6756703-0827437;0.28534467078014986
conference_de#c-3407738-8040996;conference_en#c-4109326-8594621;conference_en#c-4109326-8594621;0.2990927221166743
conference_de#c-2852856-4092117;conference_en#c-0975007-5643450;conference_en#c-0975007-5643450;0.4776798254048463
conference_de#ent-7681251-4727105;conference_en#ent-8751423-1633174;conference_en#ent-2881096-9762712;0.4400934476873245
conference_de#c-6508590-8109709;conference_en#c-2974852-3474918;conference_en#c-2974852-3474918;0.34539348672045367
conference_de#op-1669973-2810125;conference_en#op-9779586-7289440;conference_en#op-9779586-7289440;0.23277769008216095
conference_de#c-6828546-9901709;conference_en#c-3013589-3595599;conference_en#c-3013589-3595599;0.27414488374278756
conference_de#op-8125573-9330488;conference_en#op-0995537-7744010;conference_en#op-0995537-7744010;0.23927150666950642
conference_de#c-6598246-0855085;conference_en#c-9959587-2502467;conference_en#c-7443688-6884776;0.3329833227511397
conference_de#c-1450635-6067268;conference_en#c-9170184-4807203;conference_en#c-9170184-4807203;0.5143376671852653
conference_de#op-6312998-0325865;conference_en#op-3785683-5574395;conference_en#op-3785683-5574395;0.4922614261203743
conference_de#op-9561953-5139312;conference_en#op-9417986-2023425;conference_en#op-9417986-2023425;0.31482517538820315
conference_de#c-1859422-0439299;conference_en#c-8279198-9011918;conference_en#c-8279198-9011918;0.2739926899841086
conference_de#c-7349366-5598642;conference_en#c-4374045-8704772;conference_en#ent-6191643-0859158;0.6098980516178479
conference_de#c-4730732-9118818;conference_en#c-3267972-8884201;conference_en#ent-5876431-4161956;0.4975695493903112
conference_de#op-6576828-0504843;conference_en#op-2613736-3395689;conference_en#op-2613736-3395689;0.40239270120788667
conference_de#c-1521137-1761392;conference_en#c-5005169-5278256;conference_en#c-5005169-5278256;0.27975291428940485
conference_de#c-9365621-4628022;conference_en#c-9609595-3810460;conference_en#c-9609595-3810460;0.44329674504236183
conference_de#ent-4771576-9028029;conference_en#ent-9588809-0668690;conference_en#ent-6191643-0859158;0.3032852019919985
conference_de#ent-6593972-9853022;conference_en#ent-8795223-5286845;conference_en#ent-8795223-5286845;0.38203225984392836
