;target;prediction_target_1;metric_1
sigkdd_de#c-1975722-3062538;sigkdd_en#c-3705916-7930602;sigkdd_en#c-3705916-7930602;0.16432148443949124
sigkdd_de#c-2334066-8778202;sigkdd_en#c-2971568-4653657;sigkdd_en#c-2971568-4653657;0.28637768247668566
sigkdd_de#op-0496595-9432839;sigkdd_en#op-4467419-9190823;sigkdd_en#op-4467419-9190823;0.23403821450902473
sigkdd_de#c-2689271-9857625;sigkdd_en#c-4095132-8928036;sigkdd_en#c-4095132-8928036;0.14837802057042385
sigkdd_de#op-1005860-9935354;sigkdd_en#op-0358048-9340662;sigkdd_en#op-0358048-9340662;0.35520442171282945
sigkdd_de#c-3867058-2838516;sigkdd_en#c-6356419-4596819;sigkdd_en#c-6356419-4596819;0.17508552975625
sigkdd_de#op-1549992-0103030;sigkdd_en#op-1986890-7846167;sigkdd_en#op-1986890-7846167;0.1379332374196727
sigkdd_de#ent-1646067-6583158;sigkdd_en#ent-0035096-2402503;sigkdd_en#ent-4334834-0139494;0.5286295696251743
sigkdd_de#c-5850113-5122819;sigkdd_en#c-4402529-2023643;sigkdd_en#c-7092519-9239674;0.689460187565011
sigkdd_de#c-6894624-1804334;sigkdd_en#c-3063358-7931866;sigkdd_en#c-0092598-8150334;0.2596478443665013
sigkdd_de#c-1587059-6708917;sigkdd_en#c-8492343-3188887;sigkdd_en#c-8492343-3188887;0.18617646390713088
sigkdd_de#ent-3892449-0313636;sigkdd_en#ent-4408730-1320391;sigkdd_en#ent-6795922-7675825;0.2636415213081296
sigkdd_de#c-5524974-3116937;sigkdd_en#c-7201186-4592712;sigkdd_en#c-7201186-4592712;0.2581377433798884
sigkdd_de#op-6914055-1852287;sigkdd_en#op-0893463-6791984;sigkdd_en#op-0893463-6791984;0.1612672133992731
sigkdd_de#c-7379473-9781356;sigkdd_en#c-5988514-6350175;sigkdd_en#c-5988514-6350175;0.2028643680213087
sigkdd_de#c-6985541-3131901;sigkdd_en#c-7357680-6909888;sigkdd_en#c-7357680-6909888;0.5353206036526118
sigkdd_de#c-4711434-5769445;sigkdd_en#c-8570424-4038182;sigkdd_en#c-8570424-4038182;0.24184804732610302
sigkdd_de#op-7778495-5250855;sigkdd_en#op-4588680-8309474;sigkdd_en#op-4588680-8309474;0.14235858490106348
sigkdd_de#c-6801077-9660974;sigkdd_en#c-5243564-3002269;sigkdd_en#c-5268789-8381535;0.2607391040125809
sigkdd_de#op-9258168-1550244;sigkdd_en#op-4016118-2436545;sigkdd_en#op-4016118-2436545;0.20196313870627128
sigkdd_de#c-1463146-3958561;sigkdd_en#c-0410372-0876754;sigkdd_en#c-0410372-0876754;0.3679460432053552
sigkdd_de#c-4426271-6299311;sigkdd_en#c-7909190-7180764;sigkdd_en#c-0092598-8150334;0.22889582039388878
sigkdd_de#op-0836929-5233701;sigkdd_en#op-5101248-3088535;sigkdd_en#op-5101248-3088535;0.2487702513597057
sigkdd_de#c-9937182-0544372;sigkdd_en#c-7218530-9921151;sigkdd_en#c-4402529-2023643;0.6343239701239548
sigkdd_de#c-3777294-9496881;sigkdd_en#c-9656043-0451863;sigkdd_en#ent-5985310-3715518;0.43923665124244804
sigkdd_de#ent-3304226-6226138;sigkdd_en#ent-5258086-9094070;author;0.5901541357609066
sigkdd_de#c-3477390-2381487;sigkdd_en#c-1350325-0780321;sigkdd_en#c-1350325-0780321;0.07078240382207752
sigkdd_de#c-4126640-5313604;sigkdd_en#c-3869300-1065009;sigkdd_en#c-3869300-1065009;0.2321433998527105
sigkdd_de#op-3816868-2166376;sigkdd_en#op-3129961-5988302;sigkdd_en#op-3129961-5988302;0.2726141801892949
sigkdd_de#c-6140019-6453251;sigkdd_en#c-4448805-6156000;sigkdd_en#c-4448805-6156000;0.1963721908358442
sigkdd_de#c-6469555-3746715;sigkdd_en#c-3661201-8652994;sigkdd_en#c-5937062-8520809;0.47320948061922524
sigkdd_de#ent-1700090-3901005;sigkdd_en#ent-8043331-3659734;sigkdd_en#ent-6795922-7675825;0.25713906884228543
sigkdd_de#c-6537612-7287795;sigkdd_en#c-6558007-3948763;sigkdd_en#c-0092598-8150334;0.2481152357376796
sigkdd_de#op-2375848-3510341;sigkdd_en#op-4440329-9009612;sigkdd_en#op-4440329-9009612;0.2525320635936419
sigkdd_de#c-3760592-8292146;sigkdd_en#c-7287097-6354392;sigkdd_en#c-5268789-8381535;0.24505633058443027
sigkdd_de#c-1670757-7005751;sigkdd_en#c-1144746-3205183;sigkdd_en#c-1144746-3205183;0.16628425119348225
sigkdd_de#c-2769827-8195865;sigkdd_en#c-6792972-5439604;sigkdd_en#c-6792972-5439604;0.18476957425083196
sigkdd_de#c-5796626-5205866;sigkdd_en#c-3782386-9035854;sigkdd_en#c-1615562-8494578;0.36962203550757783
sigkdd_de#c-7099779-6421757;sigkdd_en#c-2636703-8787934;sigkdd_en#c-2636703-8787934;0.16381866544194948
sigkdd_de#c-6541109-1088286;sigkdd_en#c-7092519-9239674;sigkdd_en#c-3800373-8198658;0.6012300966274908
sigkdd_de#c-9282764-4133286;sigkdd_en#c-5031073-5159430;sigkdd_en#c-5031073-5159430;0.1921547681898971
sigkdd_de#ent-0138865-5902109;sigkdd_en#ent-6795922-7675825;sigkdd_en#ent-4408730-1320391;0.23101201517159736
sigkdd_de#c-3054994-1434064;sigkdd_en#c-6722062-3545965;sigkdd_en#c-6722062-3545965;0.6247673312272022
sigkdd_de#ent-0366388-0658866;sigkdd_en#ent-6945476-8980997;sigkdd_en#ent-1255069-8857146;0.4881487515181115
sigkdd_de#c-9038315-6127488;sigkdd_en#c-1214605-4064522;sigkdd_en#c-1214605-4064522;0.43092526053962643
sigkdd_de#c-7156294-5892481;sigkdd_en#c-8811480-5015529;sigkdd_en#c-8811480-5015529;0.13493167781824994
