;target;prediction_target_1;metric_1
conference_de#c-8237344-7989230;confOf_en#c-8729640-0951717;confOf_en#c-8729640-0951717;0.34232252064253316
conference_de#c-1859422-0439299;confOf_en#c-2124079-9413007;confOf_en#c-2124079-9413007;0.2604453013854928
conference_de#c-2734491-0275940;confOf_en#c-2402287-2880350;confOf_en#c-2402287-2880350;0.6372157242772899
conference_de#c-4756237-0913680;confOf_en#c-4888780-4443103;confOf_en#c-4888780-4443103;0.3645543563016979
conference_de#c-5236249-1093814;confOf_en#c-4855691-2375415;confOf_en#c-4855691-2375415;0.38080396053652754
conference_de#c-0369442-7501730;confOf_en#c-6834280-4912416;confOf_en#c-6834280-4912416;0.24288104820265788
conference_de#c-2807153-3693543;confOf_en#c-6922761-6569068;confOf_en#c-6922761-6569068;0.5291601006348566
conference_de#c-8115832-0092831;confOf_en#c-1804480-3618243;confOf_en#c-1804480-3618243;0.22468816528037366
conference_de#c-1479504-0321675;confOf_en#c-9890668-1988204;confOf_en#c-9890668-1988204;0.3777406434930852
conference_de#c-5694210-3113803;confOf_en#c-5307218-6000981;confOf_en#c-5307218-6000981;0.40010046071720634
conference_de#c-2852856-4092117;confOf_en#c-3734266-2898610;confOf_en#c-3734266-2898610;0.2597534271161044
conference_de#ent-4771576-9028029;confOf_en#ent-8227140-2506031;confOf_en#ent-8227140-2506031;0.8960676706822798
