;target;prediction_target_1;metric_1
cmt_de#op-2369093-6627419;cmt_en#op-2674759-3900303;cmt_en#op-2674759-3900303;0.30349479184277295
cmt_de#op-1511461-8135444;cmt_en#op-0261939-6958814;cmt_en#op-1581958-6116705;0.5219500537208572
cmt_de#op-1333090-2653926;cmt_en#op-0644404-7231162;cmt_en#op-0261939-6958814;0.9249064794468221
cmt_de#c-2636048-9047841;cmt_en#c-3017177-8896532;cmt_en#c-3017177-8896532;0.6052619718502398
cmt_de#c-1253837-4887221;cmt_en#c-4413043-1523228;cmt_en#c-4413043-1523228;0.3008887061004014
cmt_de#op-3382350-0510939;cmt_en#op-7452997-4133095;cmt_en#op-7452997-4133095;0.49434912167491546
cmt_de#op-4513167-2261392;cmt_en#op-4204612-8254155;cmt_en#op-4204612-8254155;0.393868935163877
cmt_de#c-5062955-9564132;cmt_en#c-8707801-9291338;cmt_en#c-8707801-9291338;0.2683641067443807
cmt_de#c-7606498-1774261;cmt_en#c-6062733-3218604;cmt_en#c-3945313-3684065;0.9018076284240012
cmt_de#c-2310106-7377133;cmt_en#c-3959626-1362323;cmt_en#c-5994448-5980560;0.4976721571021483
cmt_de#op-4369028-9162599;cmt_en#op-4850171-5907708;cmt_en#op-4850171-5907708;0.3671907540237383
cmt_de#ent-3493763-1822072;cmt_en#ent-1830157-2457934;cmt_en#ent-1830157-2457934;0.16872769686471553
cmt_de#c-2036030-6478102;cmt_en#c-6029021-0998116;cmt_en#c-6029021-0998116;0.31022378948239765
cmt_de#op-8860290-4901047;cmt_en#op-9779608-5108867;cmt_en#op-9779608-5108867;0.2904882771331842
cmt_de#op-8743766-4367043;cmt_en#op-6688605-5254034;cmt_en#op-6688605-5254034;0.4576279948407742
cmt_de#op-7391170-1595630;cmt_en#op-9305729-7081388;cmt_en#op-9305729-7081388;0.5346394430432307
cmt_de#c-1105419-5848060;cmt_en#c-5994448-5980560;cmt_en#c-5994448-5980560;0.593430534947703
cmt_de#op-9131907-0871491;cmt_en#op-8724798-7163354;cmt_en#op-8724798-7163354;0.45057045461580403
cmt_de#op-6806056-6808473;cmt_en#op-9145996-5514392;cmt_en#op-9145996-5514392;0.294154495446329
cmt_de#c-5336831-3519560;cmt_en#c-1998894-5296562;cmt_en#c-1998894-5296562;0.21699444053564923
cmt_de#ent-7027114-8569150;cmt_en#ent-0531196-9778108;22-rdf-syntax-ns#nil;0.9680140147426078
cmt_de#ent-7649389-3921230;cmt_en#ent-7669016-6331082;cmt_en#ent-7669016-6331082;0.3220104789343592
cmt_de#c-4575828-4677716;cmt_en#c-5343668-8121191;cmt_en#c-5343668-8121191;0.34663268861784613
cmt_de#c-2600954-3812137;cmt_en#c-3355504-9442806;cmt_en#c-3355504-9442806;0.3552459981035223
cmt_de#op-5367618-4635788;cmt_en#op-0491014-8723432;cmt_en#op-0491014-8723432;0.4362338985353581
cmt_de#op-3324750-0695052;cmt_en#op-4309011-4113368;cmt_en#op-7822155-2346526;0.6778260191690754
cmt_de#c-8330184-9824066;cmt_en#c-2282104-8815481;cmt_en#c-2282104-8815481;0.7733829683372802
cmt_de#op-7851598-8792255;cmt_en#op-0563197-2956391;cmt_en#op-0563197-2956391;0.3701093379194001
cmt_de#op-1123568-3504213;cmt_en#op-6143522-2877268;cmt_en#op-6143522-2877268;0.5377944001745542
cmt_de#op-9724235-4357611;cmt_en#op-5999633-4351656;cmt_en#op-5999633-4351656;0.3272551597944821
cmt_de#op-2707356-6407444;cmt_en#op-3715253-7341884;cmt_en#op-3715253-7341884;0.36930624125212036
cmt_de#ent-2502906-5126965;cmt_en#ent-4692979-9121254;cmt_en#ent-4692979-9121254;0.22601872098941392
cmt_de#op-9668399-9499203;cmt_en#op-3673731-3704063;cmt_en#op-3673731-3704063;0.4959588199378565
cmt_de#op-6688188-2661083;cmt_en#op-8994929-8698791;cmt_en#op-8994929-8698791;0.431993837381834
cmt_de#op-9262861-2168864;cmt_en#op-7848370-1577514;cmt_en#op-7848370-1577514;0.3177178639313957
cmt_de#op-7761501-2770581;cmt_en#op-2611597-4191733;cmt_en#op-2611597-4191733;0.42179993297061114
cmt_de#op-2406368-4587748;cmt_en#op-0455003-6077543;cmt_en#op-7822155-2346526;0.8380369124861554
cmt_de#c-8450582-0542304;cmt_en#c-0430420-0075813;cmt_en#c-0430420-0075813;0.3337648045779594
cmt_de#ent-7525433-8535515;cmt_en#ent-7592571-9671564;cmt_en#ent-6218326-5775008;0.3874416988878016
