;target;prediction_target_1;metric_1
cmt_en#c-3027646-3365825;sigkdd_de#c-9282764-4133286;sigkdd_de#c-9282764-4133286;0.16911478620872672
cmt_en#c-5409377-9286012;sigkdd_de#c-1975722-3062538;sigkdd_de#c-1975722-3062538;0.3073557382075646
cmt_en#c-4062369-5383392;sigkdd_de#c-5541011-4485740;sigkdd_de#c-5541011-4485740;0.35652508896217694
cmt_en#c-8693270-2767092;sigkdd_de#c-6140019-6453251;sigkdd_de#c-6140019-6453251;0.38019919206296404
cmt_en#c-2079829-2275666;sigkdd_de#c-7606899-8734332;sigkdd_de#c-7606899-8734332;0.7237998858466018
cmt_en#ent-1648737-1451089;sigkdd_de#ent-0138865-5902109;sigkdd_de#ent-3892449-0313636;0.9322781773778619
cmt_en#c-6029021-0998116;sigkdd_de#c-6469555-3746715;sigkdd_de#c-0419564-4277308;0.9372391365178263
cmt_en#c-6062733-3218604;sigkdd_de#c-3760592-8292146;sigkdd_de#c-3760592-8292146;0.4599017014958888
cmt_en#c-2074692-1147118;sigkdd_de#c-6217268-0289211;sigkdd_de#c-6217268-0289211;0.5287848418953099
cmt_en#op-4706944-2787728;sigkdd_de#op-7778495-5250855;sigkdd_de#op-7778495-5250855;0.46615243686846386
