;target;prediction_target_1;metric_1
conference_de#c-8237344-7989230;confOf_en#c-8729640-0951717;confOf_en#c-8729640-0951717;0.20693511797414035
conference_de#ent-5299945-7988874;confOf_en#ent-4532930-2199897;confOf_en#ent-4532930-2199897;0.829231724271993
conference_de#c-1859422-0439299;confOf_en#c-2124079-9413007;confOf_en#c-2124079-9413007;0.16049738199477362
conference_de#c-2734491-0275940;confOf_en#c-2402287-2880350;confOf_en#c-2402287-2880350;0.827606599846297
conference_de#c-5236249-1093814;confOf_en#c-4855691-2375415;confOf_en#c-4855691-2375415;0.40410075363534287
conference_de#c-2807153-3693543;confOf_en#c-6922761-6569068;confOf_en#c-6922761-6569068;0.44792732019055925
conference_de#c-8115832-0092831;confOf_en#c-1804480-3618243;confOf_en#c-1804480-3618243;0.18140305558569966
conference_de#c-1479504-0321675;confOf_en#c-9890668-1988204;confOf_en#c-9890668-1988204;0.2823914855315468
conference_de#c-5694210-3113803;confOf_en#c-5307218-6000981;confOf_en#c-5307218-6000981;0.3565297486429877
conference_de#ent-3965541-6558239;confOf_en#ent-1716167-5904495;confOf_en#ent-1716167-5904495;0.7651927055680546
