;target;prediction_target_1;metric_1
conference_de#c-9605590-3026126;conference_en#c-8407213-4753042;conference_en#c-8407213-4753042;0.22147789024563033
conference_de#op-3684524-3597938;conference_en#op-4179398-9105427;conference_en#op-4945044-7699013;0.5611984838088185
conference_de#op-3608848-8208296;conference_en#op-3512255-6444844;conference_en#op-3512255-6444844;0.13694101536824882
conference_de#op-2585333-8630311;conference_en#op-9761886-1014523;conference_en#op-9761886-1014523;0.3209532114372991
conference_de#c-6776566-6732274;conference_en#c-9472960-6540943;conference_en#c-9472960-6540943;0.2851969308222085
conference_de#op-3103572-2221087;conference_en#op-9508659-7431073;conference_en#op-9508659-7431073;0.30971846898483596
conference_de#op-1669973-2810125;conference_en#op-9779586-7289440;conference_en#op-9779586-7289440;0.3593854391704004
conference_de#c-6828546-9901709;conference_en#c-3013589-3595599;conference_en#c-3013589-3595599;0.22884820354138388
conference_de#c-3096259-3019685;conference_en#c-8786752-3541167;conference_en#c-8786752-3541167;0.31882916961498675
conference_de#c-7349366-5598642;conference_en#c-4374045-8704772;conference_en#c-4374045-8704772;0.5535758884742262
conference_de#c-7158328-5483937;conference_en#c-4401355-0431935;conference_en#c-4401355-0431935;0.20835757376977695
conference_de#c-3040625-6424461;conference_en#c-0153241-8442178;conference_en#c-0153241-8442178;0.4874883897007155
conference_de#op-1989814-5525228;conference_en#op-6070720-0445977;conference_en#op-6070720-0445977;0.3197635161691436
conference_de#op-6793370-1481860;conference_en#op-0671654-2571930;conference_en#op-0671654-2571930;0.28869990795407474
conference_de#ent-9741712-1074484;conference_en#ent-5398835-6557322;conference_en#ent-8321268-9659544;0.4476266023427876
conference_de#c-5562180-9263139;conference_en#c-0777086-7016755;conference_en#c-0777086-7016755;0.09374148713406114
conference_de#c-2731220-6600456;conference_en#c-0845815-7069476;conference_en#c-0845815-7069476;0.072215215358226
conference_de#c-7521012-9493261;conference_en#c-9312690-4124149;conference_en#c-9312690-4124149;0.16486837943050742
conference_de#op-4422038-8332792;conference_en#op-4286005-1404476;conference_en#op-4286005-1404476;0.2679060777349499
conference_de#c-2734491-0275940;conference_en#c-7255821-5359025;conference_en#c-7255821-5359025;0.2947427213474384
conference_de#op-1316026-1460819;conference_en#op-5381874-6112043;conference_en#op-5381874-6112043;0.15875866128751773
