;target;prediction_target_1;metric_1
cmt_de#op-2369093-6627419;cmt_en#op-2674759-3900303;cmt_en#op-2674759-3900303;0.5585817808255142
cmt_de#ent-3421629-9074086;cmt_en#ent-7385850-0767179;cmt_en#ent-7385850-0767179;0.2990059238227706
cmt_de#c-3386094-8929437;cmt_en#c-8693270-2767092;cmt_en#c-8693270-2767092;0.2642407617997867
cmt_de#c-1253837-4887221;cmt_en#c-4413043-1523228;cmt_en#c-4413043-1523228;0.37925566070773603
cmt_de#c-7914897-1988765;cmt_en#c-3027646-3365825;cmt_en#c-3027646-3365825;0.4412933465973968
cmt_de#op-4513167-2261392;cmt_en#op-4204612-8254155;cmt_en#op-4204612-8254155;0.39970828345474285
cmt_de#op-5585072-3196242;cmt_en#op-3741712-7753689;cmt_en#op-3741712-7753689;0.3491725737442355
cmt_de#op-7066350-8155982;cmt_en#op-7758730-0930874;cmt_en#op-7758730-0930874;0.2871447964205089
cmt_de#op-6662152-2690641;cmt_en#op-1415642-7736735;cmt_en#op-1415642-7736735;0.3594938140907116
cmt_de#ent-3493763-1822072;cmt_en#ent-1830157-2457934;cmt_en#ent-1830157-2457934;0.13008696350042925
cmt_de#op-7391170-1595630;cmt_en#op-9305729-7081388;cmt_en#op-1288474-9125864;0.47431669002465665
cmt_de#c-1105419-5848060;cmt_en#c-5994448-5980560;cmt_en#c-3959626-1362323;0.47362415175075745
cmt_de#op-9131907-0871491;cmt_en#op-8724798-7163354;cmt_en#op-8724798-7163354;0.31832561365158657
cmt_de#op-1108172-2047481;cmt_en#op-6746253-0545056;cmt_en#op-6746253-0545056;0.7358575141127358
cmt_de#c-5888543-5318130;cmt_en#c-7224102-6220619;cmt_en#c-7224102-6220619;0.3868024346552922
cmt_de#op-8350630-9441009;cmt_en#op-2798366-1946309;cmt_en#op-2798366-1946309;0.3751691230912017
cmt_de#op-4385319-7522274;cmt_en#op-1288474-9125864;cmt_en#op-1288474-9125864;0.5128627490000328
cmt_de#ent-7086815-3431611;cmt_en#ent-7312475-4843858;cmt_en#ent-7385850-0767179;0.42338707194664593
cmt_de#op-3324750-0695052;cmt_en#op-4309011-4113368;cmt_en#op-7822155-2346526;0.6058316990458327
cmt_de#c-9309131-3067692;cmt_en#c-3945313-3684065;cmt_en#c-2079829-2275666;0.4538652288299101
cmt_de#c-5356419-0853732;cmt_en#c-2079829-2275666;cmt_en#c-2079829-2275666;0.48352538023209285
cmt_de#op-1123568-3504213;cmt_en#op-6143522-2877268;cmt_en#op-6143522-2877268;0.4241667935891351
cmt_de#op-0995455-0619369;cmt_en#op-1536122-6298582;cmt_en#op-3715253-7341884;0.4308362410362894
cmt_de#op-2707356-6407444;cmt_en#op-3715253-7341884;cmt_en#op-3715253-7341884;0.35845629460336614
cmt_de#c-5325416-2794476;cmt_en#c-6817901-7377121;cmt_en#c-6817901-7377121;0.2605834655111541
cmt_de#op-9668399-9499203;cmt_en#op-3673731-3704063;cmt_en#op-3673731-3704063;0.4813684329855125
cmt_de#op-7761501-2770581;cmt_en#op-2611597-4191733;cmt_en#op-2611597-4191733;0.25266842521650174
cmt_de#ent-6414249-7356026;cmt_en#ent-6218326-5775008;cmt_en#ent-6218326-5775008;0.33235910365761506
cmt_de#c-3554876-1135672;cmt_en#c-5375467-1655905;cmt_en#c-5375467-1655905;0.5176873517631031
cmt_de#c-8450582-0542304;cmt_en#c-0430420-0075813;cmt_en#c-0430420-0075813;0.27226453102055526
cmt_de#ent-7525433-8535515;cmt_en#ent-7592571-9671564;cmt_en#ent-7592571-9671564;0.26035411721192725
