;target;prediction_target_1;metric_1
conference_en#c-5450625-9274279;confOf_de#c-2472530-7442299;confOf_de#c-2472530-7442299;0.20951810818888464
conference_en#ent-4516568-5595755;confOf_de#ent-7472904-1496645;confOf_de#ent-7472904-1496645;0.7789313062140214
conference_en#c-7255821-5359025;confOf_de#c-6031375-0881001;confOf_de#c-6031375-0881001;0.8880954877565618
conference_en#c-2446635-7449628;confOf_de#c-8403504-7828299;confOf_de#c-8403504-7828299;0.41433508246801776
conference_en#c-8376732-6542959;confOf_de#c-7620981-0130792;confOf_de#c-7620981-0130792;0.6061418478166445
conference_en#c-3746645-9598977;confOf_de#c-0553488-4726167;confOf_de#c-0553488-4726167;0.10966277955743357
conference_en#c-5732310-8306083;confOf_de#c-5598437-4596711;confOf_de#c-5598437-4596711;0.25581051863979043
conference_en#c-0949358-2763718;confOf_de#c-2463275-9197848;confOf_de#c-2463275-9197848;0.4557555030054056
conference_en#c-4444483-2447834;confOf_de#c-8182861-6425712;confOf_de#c-8182861-6425712;0.24596106866788925
conference_en#op-6979143-6235556;confOf_de#op-4302120-7233512;confOf_de#op-4302120-7233512;0.5263220885666383
conference_en#c-0975007-5643450;confOf_de#c-4345951-5264002;confOf_de#c-4345951-5264002;0.28157643114541003
conference_en#ent-9588809-0668690;confOf_de#ent-9875824-2357826;confOf_de#ent-9875824-2357826;0.7547569402342041
conference_en#ent-8856556-5729357;confOf_de#ent-0303881-5975791;confOf_de#ent-0303881-5975791;0.7973566803258844
