;target;prediction_target_1;metric_1
cmt_de#c-2036030-6478102;conference_en#c-2974852-3474918;conference_en#c-2974852-3474918;0.5302808984519997
cmt_de#c-2276280-7516043;conference_en#c-4401355-0431935;conference_en#c-4401355-0431935;0.729896538696671
cmt_de#c-3386094-8929437;conference_en#c-9312690-4124149;conference_en#c-9312690-4124149;0.3279046059468113
cmt_de#c-5403940-4193578;conference_en#c-8170886-3522509;conference_en#c-0975007-5643450;0.5968217833165963
cmt_de#c-6476451-2581059;conference_en#c-3013589-3595599;conference_en#c-3013589-3595599;0.3418764133911753
cmt_de#c-7221579-7498183;conference_en#c-2446635-7449628;conference_en#c-2446635-7449628;0.605306799456367
cmt_de#c-7511748-5827387;conference_en#c-0975007-5643450;conference_en#c-0975007-5643450;0.47967644788765285
cmt_de#c-7914897-1988765;conference_en#c-4444483-2447834;conference_en#c-4444483-2447834;0.48524798695526583
cmt_de#c-8450582-0542304;conference_en#c-0513615-7095489;conference_en#c-0513615-7095489;0.3375877313306791
cmt_de#c-8450582-0542304;conference_en#c-1432286-4789153;conference_en#c-0513615-7095489;0.3375877313306791
cmt_de#ent-4152612-5306614;conference_en#ent-4516568-5595755;conference_en#c-2446635-7449628;0.7974438654648888
cmt_de#op-7181260-5606687;conference_en#op-8925105-7780939;conference_en#op-3595853-4712760;0.7168537173023405
cmt_de#op-8350630-9441009;conference_en#op-3595853-4712760;conference_en#op-3595853-4712760;0.7230875142397157
