;target;prediction_target_1;metric_1
conference_de#c-9605590-3026126;conference_en#c-8407213-4753042;conference_en#c-8407213-4753042;0.3983548954271154
conference_de#ent-7411600-0492184;conference_en#ent-4155068-8609429;conference_en#ent-4155068-8609429;0.3649967170131975
conference_de#c-1479504-0321675;conference_en#c-0949358-2763718;conference_en#c-0949358-2763718;0.4797599452779814
conference_de#c-8237344-7989230;conference_en#c-5450625-9274279;conference_en#c-5450625-9274279;0.3129129395673562
conference_de#c-3560304-9366401;conference_en#c-0918067-8070827;conference_en#c-0918067-8070827;0.20624130579136363
conference_de#c-8115832-0092831;conference_en#c-5732310-8306083;conference_en#c-5732310-8306083;0.1002026044786812
conference_de#op-2585333-8630311;conference_en#op-9761886-1014523;conference_en#op-9761886-1014523;0.3339067316889621
conference_de#ent-3147113-3527757;conference_en#ent-6191643-0859158;conference_en#ent-9588809-0668690;0.44732909196825565
conference_de#c-6776566-6732274;conference_en#c-9472960-6540943;conference_en#c-9472960-6540943;0.4754656362608398
conference_de#c-8195847-6754106;conference_en#c-7121259-3662514;conference_en#c-7121259-3662514;0.3476218493762412
conference_de#c-2365620-6793184;conference_en#c-4101654-3843816;conference_en#c-4101654-3843816;0.3171339583100203
conference_de#op-7531097-2137005;conference_en#op-8255260-5370742;conference_en#op-8255260-5370742;0.3335288308014446
conference_de#op-8125573-9330488;conference_en#op-0995537-7744010;conference_en#op-0995537-7744010;0.29036165575338896
conference_de#c-2493179-8478854;conference_en#c-1969456-2437164;conference_en#c-1969456-2437164;0.27705728468067
conference_de#ent-4829687-0686812;conference_en#ent-9670647-6904825;organization;0.2689365592643497
conference_de#ent-6425295-0748069;conference_en#ent-2561708-2897004;conference_en#ent-9588809-0668690;0.3471767974877575
conference_de#c-7349366-5598642;conference_en#c-4374045-8704772;conference_en#c-4374045-8704772;0.5322440709862557
conference_de#c-4730732-9118818;conference_en#c-3267972-8884201;conference_en#c-3267972-8884201;0.4304946389819638
conference_de#op-6576828-0504843;conference_en#op-2613736-3395689;conference_en#op-2613736-3395689;0.3450662334986307
conference_de#ent-4771576-9028029;conference_en#ent-9588809-0668690;conference_en#ent-9588809-0668690;0.30844865832078083
conference_de#c-5548459-1019906;conference_en#c-8566080-5422297;participants;0.28970283196423624
conference_de#ent-6593972-9853022;conference_en#ent-8795223-5286845;conference_en#ent-8795223-5286845;0.24830607199757704
conference_de#op-3310517-8704360;conference_en#op-1260211-6263803;conference_en#op-9508659-7431073;0.38103701402976853
conference_de#c-2883309-0508630;conference_en#c-3417170-2349351;conference_en#c-3417170-2349351;0.2552270502882227
conference_de#c-5694210-3113803;conference_en#c-4444483-2447834;conference_en#c-4444483-2447834;0.28548474105944066
conference_de#c-8071281-1290388;conference_en#c-3647168-6413616;conference_en#c-3647168-6413616;0.2894811473311883
conference_de#op-3660173-8702227;conference_en#op-5224922-0021686;conference_en#op-5224922-0021686;0.30784183367228585
conference_de#ent-7582393-1837786;conference_en#ent-2738942-8176769;conference_en#ent-2738942-8176769;0.6781007563669225
conference_de#c-2807153-3693543;conference_en#c-6525918-2089133;conference_en#c-6525918-2089133;0.2619325541653918
conference_de#c-7357618-1642646;conference_en#c-8428656-6505560;conference_en#c-8428656-6505560;0.2727090788870775
conference_de#c-9185334-5782431;conference_en#c-0361407-5806327;conference_en#c-8170886-3522509;0.4359705695449372
conference_de#c-6600254-2450629;conference_en#c-0513615-7095489;conference_en#c-0513615-7095489;0.49455498480734694
conference_de#op-6793370-1481860;conference_en#op-0671654-2571930;conference_en#op-0671654-2571930;0.4961671378841863
conference_de#ent-9741712-1074484;conference_en#ent-5398835-6557322;conference_en#ent-6191643-0859158;0.35722488360464155
conference_de#op-6051861-5180291;conference_en#op-9590583-7660466;conference_en#op-9590583-7660466;0.41756733696155246
conference_de#c-5562180-9263139;conference_en#c-0777086-7016755;conference_en#c-0777086-7016755;0.2439529685428764
conference_de#ent-0456757-4338876;conference_en#ent-2881096-9762712;conference_en#ent-9588809-0668690;0.3703284547744398
conference_de#op-9868857-5526574;conference_en#op-6555195-4641585;conference_en#op-6555195-4641585;0.6015279566575344
conference_de#op-4229248-7694544;conference_en#op-2225814-4312264;conference_en#op-2225814-4312264;0.3525540771709875
conference_de#op-2618351-5385365;conference_en#op-3874959-5523184;conference_en#op-3874959-5523184;0.424690854969105
conference_de#c-1025534-8292294;conference_en#c-9466907-2262688;conference_en#c-9466907-2262688;0.2383101902128113
conference_de#c-2731220-6600456;conference_en#c-0845815-7069476;conference_en#c-0845815-7069476;0.2703329374152289
conference_de#c-4756237-0913680;conference_en#c-2446635-7449628;conference_en#c-2446635-7449628;0.3733265129670501
conference_de#c-6804730-6814876;conference_en#c-6031866-4091605;participants;0.2883980191737124
conference_de#op-5377559-5806030;conference_en#op-4477756-7333992;conference_en#op-4477756-7333992;0.2746757198146284
conference_de#op-4737759-4638811;conference_en#op-6979143-6235556;conference_en#op-6979143-6235556;0.4044214284608407
conference_de#c-5636031-1076429;conference_en#c-9209266-2324134;conference_en#c-9209266-2324134;0.43078465010455724
conference_de#op-5642484-4870984;conference_en#op-8498965-3154119;conference_en#op-8498965-3154119;0.6188223424372232
conference_de#op-0498445-3013448;conference_en#op-7576139-1459075;conference_en#op-9779586-7289440;0.3691190611209178
conference_de#c-2734491-0275940;conference_en#c-7255821-5359025;early;0.34716287314016847
conference_de#op-5497197-2593751;conference_en#op-9065704-7114218;conference_en#op-9065704-7114218;0.31491667590170147
