;target;prediction_target_1;metric_1
cmt_en#c-0430420-0075813;conference_de#c-1810344-8487780;conference_de#c-1810344-8487780;0.33897644482059125
cmt_en#c-1611583-0668331;conference_de#c-6828546-9901709;conference_de#c-6828546-9901709;0.29454119272714113
cmt_en#c-1819859-8467443;conference_de#c-1178842-2732173;conference_de#c-2852856-4092117;0.5790420715780649
cmt_en#c-2074692-1147118;conference_de#c-2852856-4092117;conference_de#c-2852856-4092117;0.42155431390647186
cmt_en#c-3027646-3365825;conference_de#c-5694210-3113803;conference_de#c-5694210-3113803;0.2995699475709099
cmt_en#c-3027646-3365825;conference_de#c-3560304-9366401;conference_de#c-5694210-3113803;0.2995699475709099
cmt_en#c-3387453-2881212;conference_de#c-7158328-5483937;conference_de#c-7158328-5483937;0.556209859028557
cmt_en#c-6029021-0998116;conference_de#c-6508590-8109709;conference_de#c-6508590-8109709;0.5748578203176116
cmt_en#c-9519178-7885109;conference_de#c-2807153-3693543;conference_de#c-2807153-3693543;0.4574649851015674
cmt_en#ent-1648737-1451089;conference_de#ent-5299945-7988874;isbn;0.7519865078889246
cmt_en#op-2798366-1946309;conference_de#op-4621167-8649272;conference_de#op-4621167-8649272;0.9815703832950122
cmt_en#op-8575895-0911006;conference_de#op-1945545-2946293;conference_de#op-4621167-8649272;0.9336172238815913
