;target;prediction_target_1;metric_1
conference_de#c-2731220-6600456;iasted_en#c-0887025-3124194;iasted_en#c-0887025-3124194;0.3046105221401062
conference_de#c-2807153-3693543;iasted_en#c-2396070-5020573;iasted_en#c-2396070-5020573;0.4586876848104978
conference_de#c-2852856-4092117;iasted_en#c-7587641-3301519;iasted_en#c-7587641-3301519;0.4096531529180772
conference_de#c-6041715-6986615;iasted_en#c-1873801-1221522;iasted_en#c-1873801-1221522;0.5117288631108519
conference_de#c-7096317-3412127;iasted_en#c-7464317-0926432;iasted_en#c-7464317-0926432;0.6960184330697103
conference_de#c-1479504-0321675;iasted_en#c-2297379-6540044;iasted_en#c-2297379-6540044;0.5340938715888994
conference_de#op-5642484-4870984;iasted_en#op-1301961-3228494;iasted_en#op-3952168-3896732;1.01199642714631
conference_de#c-1308924-1537645;iasted_en#c-3686523-4526492;iasted_en#c-3686523-4526492;0.4380426770698507
conference_de#c-2883309-0508630;iasted_en#c-4700670-6960019;iasted_en#c-4700670-6960019;0.36167055131052744
conference_de#c-6508590-8109709;iasted_en#c-4646685-6576496;iasted_en#c-4646685-6576496;0.7332894023676104
conference_de#c-9365621-4628022;iasted_en#c-2980826-1784096;iasted_en#c-2980826-1784096;0.6232089918384754
conference_de#c-7521012-9493261;iasted_en#c-0201298-3231355;iasted_en#c-0201298-3231355;0.38493578478184376
