;target;prediction_target_1;metric_1
conference_de#ent-7411600-0492184;conference_en#ent-4155068-8609429;conference_en#ent-4155068-8609429;0.2958817372764526
conference_de#op-4321693-3900519;conference_en#op-2670908-3669119;conference_en#op-2670908-3669119;0.3779380093295398
conference_de#ent-6301306-0729008;conference_en#ent-6624455-0139130;conference_en#ent-5398835-6557322;0.39974325069369293
conference_de#c-2773011-0249106;conference_en#c-9232089-8351274;conference_en#c-9232089-8351274;0.20416811667385784
conference_de#op-8125573-9330488;conference_en#op-0995537-7744010;conference_en#op-0995537-7744010;0.2799713739052865
conference_de#c-6598246-0855085;conference_en#c-9959587-2502467;conference_en#c-9959587-2502467;0.320423699168168
conference_de#ent-4829687-0686812;conference_en#ent-9670647-6904825;conference_en#ent-9670647-6904825;0.22800060391272908
conference_de#ent-6425295-0748069;conference_en#ent-2561708-2897004;conference_en#ent-5398835-6557322;0.2723859566100449
conference_de#ent-4771576-9028029;conference_en#ent-9588809-0668690;conference_en#ent-5398835-6557322;0.28603113122004126
conference_de#c-5548459-1019906;conference_en#c-8566080-5422297;conference_en#c-9959587-2502467;0.31334382073716804
conference_de#op-1069821-7365209;conference_en#op-2456802-7820267;conference_en#op-2456802-7820267;0.2642135842976671
conference_de#op-9251692-2958376;conference_en#op-4319238-3673329;conference_en#op-4319238-3673329;0.27449296220892244
conference_de#c-3040625-6424461;conference_en#c-0153241-8442178;conference_en#c-0153241-8442178;0.46247135823732877
conference_de#ent-7582393-1837786;conference_en#ent-2738942-8176769;conference_en#ent-2738942-8176769;0.666948554073406
conference_de#c-2807153-3693543;conference_en#c-6525918-2089133;conference_en#c-6525918-2089133;0.22210649061229384
conference_de#c-7357618-1642646;conference_en#c-8428656-6505560;conference_en#c-8428656-6505560;0.18173120424563854
conference_de#c-9185334-5782431;conference_en#c-0361407-5806327;conference_en#c-8170886-3522509;0.6594142423604612
conference_de#c-1810344-8487780;conference_en#c-1432286-4789153;conference_en#c-1432286-4789153;0.22068883778356424
conference_de#ent-9741712-1074484;conference_en#ent-5398835-6557322;conference_en#ent-4155068-8609429;0.34246504162896513
conference_de#c-7096317-3412127;conference_en#c-9453090-9458986;conference_en#c-9453090-9458986;0.31635952877834667
conference_de#c-4481836-1173835;conference_en#c-1233739-4358960;conference_en#c-1233739-4358960;0.33199559884605334
conference_de#op-4229248-7694544;conference_en#op-2225814-4312264;conference_en#op-2225814-4312264;0.37467628769488537
conference_de#op-2618351-5385365;conference_en#op-3874959-5523184;conference_en#op-3874959-5523184;0.26216323480044257
conference_de#c-1025534-8292294;conference_en#c-9466907-2262688;conference_en#c-9466907-2262688;0.16220542341152588
conference_de#c-6041715-6986615;conference_en#c-1481587-3387008;conference_en#c-1481587-3387008;0.4209810088487799
conference_de#op-5497197-2593751;conference_en#op-9065704-7114218;conference_en#op-9065704-7114218;0.15951712750410119
