;target;prediction_target_1;metric_1
conference_de#c-8237344-7989230;confOf_en#c-8729640-0951717;confOf_en#c-8729640-0951717;0.3636160108877374
conference_de#ent-5299945-7988874;confOf_en#ent-4532930-2199897;confOf_en#ent-4532930-2199897;0.8746140651434962
conference_de#c-1859422-0439299;confOf_en#c-2124079-9413007;confOf_en#c-2124079-9413007;0.30437999966271073
conference_de#c-2734491-0275940;confOf_en#c-2402287-2880350;confOf_en#c-2402287-2880350;0.8429122828539255
conference_de#c-4756237-0913680;confOf_en#c-4888780-4443103;confOf_en#c-4888780-4443103;0.5501144738960412
conference_de#c-5236249-1093814;confOf_en#c-4855691-2375415;confOf_en#c-4855691-2375415;0.41092251140989505
conference_de#c-0369442-7501730;confOf_en#c-6834280-4912416;confOf_en#c-6834280-4912416;0.24558759121671866
conference_de#c-8115832-0092831;confOf_en#c-1804480-3618243;confOf_en#c-1804480-3618243;0.28537725793889596
conference_de#c-1479504-0321675;confOf_en#c-9890668-1988204;confOf_en#c-9890668-1988204;0.4754495233879455
conference_de#c-5694210-3113803;confOf_en#c-5307218-6000981;confOf_en#c-5307218-6000981;0.3209754720036507
conference_de#op-4737759-4638811;confOf_en#op-8030807-5984904;confOf_en#op-8030807-5984904;0.6742999923079758
conference_de#c-2852856-4092117;confOf_en#c-3734266-2898610;confOf_en#c-3734266-2898610;0.4312171852156134
conference_de#ent-4771576-9028029;confOf_en#ent-8227140-2506031;confOf_en#ent-8227140-2506031;0.9863082865225011
conference_de#ent-3965541-6558239;confOf_en#ent-1716167-5904495;confOf_en#ent-1716167-5904495;0.8542147889151399
