;target;prediction_target_1;metric_1
iasted_en#c-3616860-0256541;sigkdd_de#c-1670757-7005751;sigkdd_de#c-1670757-7005751;0.6723241386420621
iasted_en#c-4646685-6576496;sigkdd_de#c-6469555-3746715;sigkdd_de#c-0094164-6634357;0.9904906265566801
iasted_en#c-8889798-1079873;sigkdd_de#c-7808089-4928984;sigkdd_de#c-6985541-3131901;0.8223341445418842
iasted_en#c-9595802-8962494;sigkdd_de#c-3867058-2838516;sigkdd_de#c-3867058-2838516;0.49464535976859075
iasted_en#c-9677685-8341994;sigkdd_de#c-3477390-2381487;sigkdd_de#c-3477390-2381487;0.20768397924357723
iasted_en#c-0409829-5411561;sigkdd_de#c-5524974-3116937;sigkdd_de#c-5524974-3116937;0.6691500352030272
iasted_en#c-7587641-3301519;sigkdd_de#c-6217268-0289211;sigkdd_de#c-6217268-0289211;0.17959897438015388
iasted_en#c-3686523-4526492;sigkdd_de#c-9038315-6127488;sigkdd_de#c-9038315-6127488;0.3696579722023128
iasted_en#c-2396070-5020573;sigkdd_de#c-2769827-8195865;sigkdd_de#c-2769827-8195865;0.3389953929901252
iasted_en#c-3110153-2691987;sigkdd_de#c-7203961-8308851;sigkdd_de#c-7203961-8308851;0.4651908099822437
iasted_en#c-4700670-6960019;sigkdd_de#c-4711434-5769445;sigkdd_de#c-4711434-5769445;0.20638776277869667
