;target;prediction_target_1;metric_1
conference_de#c-4650867-2477948;conference_en#c-8550632-1205594;conference_en#c-8550632-1205594;0.33377056687857426
conference_de#c-9605590-3026126;conference_en#c-8407213-4753042;conference_en#c-8407213-4753042;0.5549547262959477
conference_de#ent-7411600-0492184;conference_en#ent-4155068-8609429;conference_en#ent-4155068-8609429;0.36484928643223447
conference_de#c-4615338-8666561;conference_en#c-0685358-3873350;conference_en#c-0685358-3873350;0.3888815604981413
conference_de#c-2225732-5117501;conference_en#c-2523530-3328853;conference_en#c-2523530-3328853;0.23668679506928905
conference_de#op-4321693-3900519;conference_en#op-2670908-3669119;conference_en#op-2670908-3669119;0.2511864078010723
conference_de#op-1945545-2946293;conference_en#op-8925105-7780939;conference_en#op-8925105-7780939;0.36690137407475215
conference_de#c-1859458-4041433;conference_en#c-4658794-0941326;conference_en#c-4658794-0941326;0.8036859724040762
conference_de#c-8237344-7989230;conference_en#c-5450625-9274279;conference_en#c-5450625-9274279;0.3339849411662613
conference_de#op-9513224-3178621;conference_en#op-6711156-0655978;conference_en#op-4286005-1404476;0.25061524781286143
conference_de#op-2359998-9048620;conference_en#op-9582772-9300745;conference_en#op-5224922-0021686;0.3429661287047479
conference_de#ent-6301306-0729008;conference_en#ent-6624455-0139130;conference_en#ent-4155068-8609429;0.37152602622619146
conference_de#c-3560304-9366401;conference_en#c-0918067-8070827;conference_en#c-0918067-8070827;0.24047449564393397
conference_de#op-3684524-3597938;conference_en#op-4179398-9105427;conference_en#op-4656648-2702541;0.38432010419161355
conference_de#op-3608848-8208296;conference_en#op-3512255-6444844;conference_en#op-3512255-6444844;0.29252738740647477
conference_de#op-6034483-9201945;conference_en#op-0316178-5626069;conference_en#op-0316178-5626069;0.3373246195725553
conference_de#c-8115832-0092831;conference_en#c-5732310-8306083;conference_en#c-5732310-8306083;0.26827397426994787
conference_de#op-2585333-8630311;conference_en#op-9761886-1014523;conference_en#op-9582772-9300745;0.3994363589579968
conference_de#c-3407738-8040996;conference_en#c-4109326-8594621;conference_en#c-4109326-8594621;0.38159898620081817
conference_de#op-7940821-6078131;conference_en#op-4084032-4002742;conference_en#op-4287727-6636701;0.5117848352494159
conference_de#c-6776566-6732274;conference_en#c-9472960-6540943;conference_en#c-9472960-6540943;0.3180110290418528
conference_de#ent-4663562-1593340;conference_en#ent-0091160-7920486;conference_en#ent-5398835-6557322;0.4241683639360983
conference_de#ent-7681251-4727105;conference_en#ent-8751423-1633174;conference_en#ent-6191643-0859158;0.6034336618563887
conference_de#op-3103572-2221087;conference_en#op-9508659-7431073;conference_en#op-9508659-7431073;0.38037783973216244
conference_de#c-6508590-8109709;conference_en#c-2974852-3474918;conference_en#c-2974852-3474918;0.35819551338463557
conference_de#c-8195847-6754106;conference_en#c-7121259-3662514;conference_en#c-7121259-3662514;0.3462096580666128
