;target;prediction_target_1;metric_1
conference_de#c-9605590-3026126;conference_en#c-8407213-4753042;conference_en#c-8407213-4753042;0.36022753358201454
conference_de#ent-7411600-0492184;conference_en#ent-4155068-8609429;conference_en#ent-4155068-8609429;0.40345979349606165
conference_de#c-2225732-5117501;conference_en#c-2523530-3328853;conference_en#c-2523530-3328853;0.27635804722969254
conference_de#op-4321693-3900519;conference_en#op-2670908-3669119;conference_en#op-2670908-3669119;0.4119611123597515
conference_de#op-1945545-2946293;conference_en#op-8925105-7780939;conference_en#op-8925105-7780939;0.42073483565691094
conference_de#c-1859458-4041433;conference_en#c-4658794-0941326;conference_en#c-4658794-0941326;0.7297209986167017
conference_de#c-8237344-7989230;conference_en#c-5450625-9274279;_:Bbf4e51adX2Dfaf1X2D4b46X2Da469X2D5dfb6f6b14b4;0.47622470689388147
conference_de#op-9513224-3178621;conference_en#op-6711156-0655978;conference_en#op-2456802-7820267;0.2912111852971329
conference_de#ent-6301306-0729008;conference_en#ent-6624455-0139130;conference_en#ent-6191643-0859158;0.40321853480511316
conference_de#c-3560304-9366401;conference_en#c-0918067-8070827;conference_en#c-0918067-8070827;0.2599673914868603
conference_de#op-3684524-3597938;conference_en#op-4179398-9105427;conference_en#op-4945044-7699013;0.5113406691181781
conference_de#op-4809969-8849082;conference_en#op-6756703-0827437;conference_en#op-6756703-0827437;0.3154114966466693
conference_de#op-6034483-9201945;conference_en#op-0316178-5626069;conference_en#op-5728539-7928456;0.4152105475081107
conference_de#c-8115832-0092831;conference_en#c-5732310-8306083;conference_en#c-5732310-8306083;0.22760861894735956
conference_de#c-3407738-8040996;conference_en#c-4109326-8594621;conference_en#c-4109326-8594621;0.468610170547412
conference_de#ent-3147113-3527757;conference_en#ent-6191643-0859158;conference_en#ent-6624455-0139130;0.47809856836418546
conference_de#op-7940821-6078131;conference_en#op-4084032-4002742;conference_en#op-4287727-6636701;0.3715799863131101
conference_de#c-1178842-2732173;conference_en#c-8170886-3522509;conference_en#c-0361407-5806327;0.6350445094048552
conference_de#ent-7681251-4727105;conference_en#ent-8751423-1633174;conference_en#ent-8751423-1633174;0.5478568373953419
conference_de#op-3103572-2221087;conference_en#op-9508659-7431073;conference_en#op-9508659-7431073;0.45178448295617507
conference_de#c-6508590-8109709;conference_en#c-2974852-3474918;conference_en#c-2974852-3474918;0.34215973423249174
conference_de#c-8195847-6754106;conference_en#c-7121259-3662514;conference_en#c-1969456-2437164;0.4146148012519479
conference_de#c-1308924-1537645;conference_en#c-5623276-9536395;_:Bbf4e51adX2Dfaf1X2D4b46X2Da469X2D5dfb6f6b14b4;0.4199801525911541
conference_de#c-2365620-6793184;conference_en#c-4101654-3843816;conference_en#c-4101654-3843816;0.4440497633150733
conference_de#op-1669973-2810125;conference_en#op-9779586-7289440;conference_en#op-9779586-7289440;0.3077988722639549
conference_de#c-2773011-0249106;conference_en#c-9232089-8351274;conference_en#c-4401355-0431935;0.4020787725030313
conference_de#op-7531097-2137005;conference_en#op-8255260-5370742;conference_en#op-8255260-5370742;0.3666103298044182
conference_de#c-6828546-9901709;conference_en#c-3013589-3595599;conference_en#c-3013589-3595599;0.2197817726278773
conference_de#op-1922736-2120081;conference_en#op-1900730-6434780;conference_en#op-2884928-1098675;0.36350223408909593
conference_de#op-8125573-9330488;conference_en#op-0995537-7744010;conference_en#op-0995537-7744010;0.3120438073209419
conference_de#c-2493179-8478854;conference_en#c-1969456-2437164;conference_en#c-1969456-2437164;0.40486749362368396
conference_de#c-6598246-0855085;conference_en#c-9959587-2502467;conference_en#c-9453090-9458986;0.36421087776803357
conference_de#c-1450635-6067268;conference_en#c-9170184-4807203;conference_en#c-9170184-4807203;0.5071858721177047
conference_de#op-6312998-0325865;conference_en#op-3785683-5574395;conference_en#op-3785683-5574395;0.3128771828876457
conference_de#op-9561953-5139312;conference_en#op-9417986-2023425;conference_en#op-9417986-2023425;0.4629343110349548
conference_de#ent-4829687-0686812;conference_en#ent-9670647-6904825;conference_en#ent-9670647-6904825;0.3111763536161449
conference_de#op-2922778-5582937;conference_en#op-4028676-2638300;conference_en#op-4028676-2638300;0.3738325290376766
conference_de#ent-6425295-0748069;conference_en#ent-2561708-2897004;conference_en#ent-8856556-5729357;0.4097114483106842
conference_de#c-1859422-0439299;conference_en#c-8279198-9011918;conference_en#c-8279198-9011918;0.3454210357511788
conference_de#c-7349366-5598642;conference_en#c-4374045-8704772;conference_en#ent-4155068-8609429;0.4905985631171405
conference_de#c-4730732-9118818;conference_en#c-3267972-8884201;conference_en#c-3267972-8884201;0.5723993293334677
conference_de#op-6576828-0504843;conference_en#op-2613736-3395689;conference_en#op-2613736-3395689;0.30466338984527275
conference_de#c-1521137-1761392;conference_en#c-5005169-5278256;conference_en#c-5005169-5278256;0.4319629694280268
conference_de#c-9365621-4628022;conference_en#c-9609595-3810460;conference_en#c-9609595-3810460;0.35252087840608626
conference_de#c-5548459-1019906;conference_en#c-8566080-5422297;conference_en#c-7443688-6884776;0.3427841550856087
conference_de#ent-6593972-9853022;conference_en#ent-8795223-5286845;conference_en#ent-8795223-5286845;0.5607695448713107
conference_de#op-1069821-7365209;conference_en#op-2456802-7820267;conference_en#op-2456802-7820267;0.3983076114763649
