;target;prediction_target_1;metric_1
cmt_en#op-2611597-4191733;confOf_de#op-1722644-5121501;confOf_de#op-1722644-5121501;0.5294273412243404
cmt_en#c-2074692-1147118;confOf_de#c-4345951-5264002;confOf_de#c-4345951-5264002;0.554720390480629
cmt_en#c-8066557-3199962;confOf_de#c-4973711-7358267;confOf_de#c-4973711-7358267;0.34630198633146186
cmt_en#ent-7592571-9671564;confOf_de#ent-5742004-8000728;confOf_de#ent-5742004-8000728;0.36603826953663676
cmt_en#c-3969637-3563037;confOf_de#c-8403504-7828299;confOf_de#c-8403504-7828299;0.7686884481215283
cmt_en#c-4413043-1523228;confOf_de#c-0553488-4726167;confOf_de#c-0553488-4726167;0.4076250657829715
cmt_en#op-8724798-7163354;confOf_de#op-0668174-3248392;confOf_de#op-0668174-3248392;0.528438775790643
cmt_en#op-7452997-4133095;confOf_de#op-9873670-8357831;confOf_de#op-9873670-8357831;0.516027304536394
cmt_en#c-4062369-5383392;confOf_de#c-4439571-8274936;confOf_de#c-4439571-8274936;0.5157345535737867
cmt_en#op-2852745-7435295;confOf_de#op-4508989-0566286;confOf_de#op-4508989-0566286;0.4546609523191459
cmt_en#c-9519178-7885109;confOf_de#c-2683474-6183904;confOf_de#c-2683474-6183904;0.20229147545967058
cmt_en#c-5409377-9286012;confOf_de#c-5598437-4596711;confOf_de#c-5598437-4596711;0.18516961717242256
cmt_en#ent-1648737-1451089;confOf_de#ent-7472904-1496645;confOf_de#ent-7472904-1496645;1.0028936242292568
