;target;prediction_target_1;metric_1
conference_de#c-2365620-6793184;iasted_en#c-2174181-3520068;iasted_en#c-2174181-3520068;0.39865222547836926
conference_de#c-2731220-6600456;iasted_en#c-0887025-3124194;iasted_en#c-0887025-3124194;0.3741431277990995
conference_de#c-2807153-3693543;iasted_en#c-2396070-5020573;iasted_en#c-2396070-5020573;0.40208560358409534
conference_de#c-2852856-4092117;iasted_en#c-7587641-3301519;iasted_en#c-7587641-3301519;0.5793668696145458
conference_de#c-6041715-6986615;iasted_en#c-1873801-1221522;iasted_en#c-1873801-1221522;0.42099927478550014
conference_de#c-1479504-0321675;iasted_en#c-2297379-6540044;iasted_en#c-2297379-6540044;0.35367689441647704
conference_de#op-5642484-4870984;iasted_en#op-1301961-3228494;iasted_en#op-1877374-3703970;0.864725779079506
conference_de#c-1308924-1537645;iasted_en#c-3686523-4526492;iasted_en#c-3686523-4526492;0.4749588531605636
conference_de#c-2883309-0508630;iasted_en#c-4700670-6960019;iasted_en#c-4700670-6960019;0.33812663676083043
conference_de#c-6508590-8109709;iasted_en#c-4646685-6576496;iasted_en#c-4646685-6576496;0.5399626064310387
conference_de#c-9365621-4628022;iasted_en#c-2980826-1784096;iasted_en#c-2980826-1784096;0.6309167458644135
