;target;prediction_target_1;metric_1
cmt_en#c-0430420-0075813;conference_de#c-1810344-8487780;conference_de#c-1810344-8487780;0.5079393098066548
cmt_en#c-1819859-8467443;conference_de#c-1178842-2732173;conference_de#c-9185334-5782431;0.9689955069976544
cmt_en#c-3027646-3365825;conference_de#c-5694210-3113803;conference_de#c-5694210-3113803;0.2757124703496565
cmt_en#c-3027646-3365825;conference_de#c-3560304-9366401;conference_de#c-5694210-3113803;0.2757124703496565
cmt_en#c-3387453-2881212;conference_de#c-7158328-5483937;conference_de#c-7158328-5483937;0.4558438550820782
cmt_en#c-3969637-3563037;conference_de#c-4756237-0913680;conference_de#c-4756237-0913680;0.8780837163524164
cmt_en#c-5375467-1655905;conference_de#c-8195847-6754106;conference_de#c-8195847-6754106;0.47400608448824133
cmt_en#c-6029021-0998116;conference_de#c-6508590-8109709;conference_de#c-6508590-8109709;0.7495117634881034
cmt_en#c-8693270-2767092;conference_de#c-7521012-9493261;conference_de#c-7521012-9493261;0.41951573401638587
cmt_en#c-9519178-7885109;conference_de#c-2807153-3693543;conference_de#c-2807153-3693543;0.3559485672280724
cmt_en#ent-1648737-1451089;conference_de#ent-5299945-7988874;_:B2ad1566aX2D64f5X2D4249X2Db82fX2D95b07e665ffd;0.9377457116254859
cmt_en#op-2798366-1946309;conference_de#op-4621167-8649272;conference_de#op-9251692-2958376;0.843056786602647
cmt_en#op-8575895-0911006;conference_de#op-1945545-2946293;conference_de#op-9251692-2958376;0.8248232500771859
