;target;prediction_target_1;metric_1
cmt_de#c-2036030-6478102;conference_en#c-2974852-3474918;conference_en#c-2974852-3474918;0.5983865696170204
cmt_de#c-2276280-7516043;conference_en#c-4401355-0431935;conference_en#c-4401355-0431935;0.5939837312205929
cmt_de#c-3554876-1135672;conference_en#c-7121259-3662514;conference_en#c-7121259-3662514;0.5243089809102309
cmt_de#c-5403940-4193578;conference_en#c-8170886-3522509;conference_en#c-0975007-5643450;0.67778414337443
cmt_de#c-6476451-2581059;conference_en#c-3013589-3595599;conference_en#c-3013589-3595599;0.3095489475895686
cmt_de#c-7221579-7498183;conference_en#c-2446635-7449628;conference_en#c-2446635-7449628;0.5841793952469551
cmt_de#c-7511748-5827387;conference_en#c-0975007-5643450;conference_en#c-0975007-5643450;0.4984890482716477
cmt_de#c-8450582-0542304;conference_en#c-0513615-7095489;conference_en#c-0513615-7095489;0.3678667618482537
cmt_de#c-8450582-0542304;conference_en#c-1432286-4789153;conference_en#c-0513615-7095489;0.3678667618482537
cmt_de#c-9804348-4921383;conference_en#c-6525918-2089133;conference_en#c-6525918-2089133;0.2514802197733651
cmt_de#op-7181260-5606687;conference_en#op-8925105-7780939;conference_en#op-3595853-4712760;0.5793203607453941
cmt_de#op-8350630-9441009;conference_en#op-3595853-4712760;conference_en#op-6979143-6235556;0.5579128038720794
