;target;prediction_target_1;metric_1
cmt_en#c-2074692-1147118;confOf_de#c-4345951-5264002;confOf_de#c-4345951-5264002;0.3280204015374395
cmt_en#c-3355504-9442806;confOf_de#c-3286368-6722233;confOf_de#c-3286368-6722233;0.44821686937446165
cmt_en#ent-7592571-9671564;confOf_de#ent-5742004-8000728;confOf_de#ent-5742004-8000728;0.3191035737449932
cmt_en#c-3969637-3563037;confOf_de#c-8403504-7828299;confOf_de#c-8403504-7828299;0.7638866235828958
cmt_en#c-4413043-1523228;confOf_de#c-0553488-4726167;confOf_de#c-0553488-4726167;0.33083382032635383
cmt_en#op-8724798-7163354;confOf_de#op-0668174-3248392;confOf_de#op-0668174-3248392;0.47064235787914577
cmt_en#c-3027646-3365825;confOf_de#c-8182861-6425712;confOf_de#c-8182861-6425712;0.25664271636899383
cmt_en#c-4062369-5383392;confOf_de#c-4439571-8274936;confOf_de#c-4439571-8274936;0.34112059320902227
cmt_en#op-2852745-7435295;confOf_de#op-4508989-0566286;confOf_de#op-4508989-0566286;0.3121208374990199
cmt_en#c-9519178-7885109;confOf_de#c-2683474-6183904;confOf_de#c-2683474-6183904;0.19212746981214923
