;target;prediction_target_1;metric_1
iasted_de#op-9413835-6271383;iasted_en#op-3952168-3896732;iasted_en#op-3952168-3896732;0.47464865280966373
iasted_de#op-6084854-8177491;iasted_en#op-2551551-7258727;iasted_en#op-2551551-7258727;0.31288237975406125
iasted_de#c-8179403-0452179;iasted_en#c-5074238-7594931;iasted_en#c-5074238-7594931;0.786295831716599
iasted_de#c-9031594-4043807;iasted_en#c-2395432-1675191;iasted_en#c-7284235-3461811;0.6577871832547045
iasted_de#c-1251407-2550325;iasted_en#c-5688901-6766233;iasted_en#c-5688901-6766233;0.4198565856193559
iasted_de#c-8622413-8169447;iasted_en#c-6477155-7340247;iasted_en#c-6477155-7340247;0.39647248021509496
iasted_de#c-6860527-3090201;iasted_en#c-6845272-4951822;iasted_en#c-6845272-4951822;0.5827121816513294
iasted_de#c-5666659-9715348;iasted_en#c-0579327-2823478;iasted_en#c-0579327-2823478;0.43869236747975
iasted_de#op-9745870-2817977;iasted_en#op-1657852-5105987;iasted_en#op-1657852-5105987;0.34269442119322807
iasted_de#c-8149245-9898096;iasted_en#c-6928152-7381829;iasted_en#c-6928152-7381829;0.8298014008605513
iasted_de#c-4122268-3045249;iasted_en#c-1873801-1221522;iasted_en#c-1873801-1221522;0.4727229105693378
iasted_de#c-2379893-4624688;iasted_en#c-2396070-5020573;iasted_en#c-2396070-5020573;0.2702465459063222
iasted_de#c-7617819-9406298;iasted_en#c-4043564-4710049;iasted_en#c-4043564-4710049;0.37160742090864685
iasted_de#c-8276198-4462254;iasted_en#c-1915235-7447973;iasted_en#c-1915235-7447973;0.5758951184551173
iasted_de#op-1454375-2517846;iasted_en#op-7676471-2591482;iasted_en#op-7676471-2591482;0.298139937288304
iasted_de#c-5250081-8006537;iasted_en#c-8723910-5601078;iasted_en#c-5985478-2794400;0.4775821477019886
iasted_de#c-4015742-9338748;iasted_en#c-2174181-3520068;iasted_en#c-2174181-3520068;0.47502950735057325
iasted_de#ent-6399187-3902154;iasted_en#ent-6120875-2823827;iasted_en#ent-6120875-2823827;0.5837846684041057
iasted_de#c-8049164-4059381;iasted_en#c-4162004-2124556;_:B14e5b413X2DfadeX2D41e9X2Dad33X2D2e43761d6389;0.8261930981384646
iasted_de#op-5817020-0959926;iasted_en#op-1301961-3228494;iasted_en#op-1301961-3228494;0.3625675723718206
iasted_de#c-8274838-7479397;iasted_en#c-5985478-2794400;iasted_en#c-5985478-2794400;0.3270480260214627
iasted_de#c-4218528-6837752;iasted_en#c-3336428-2571907;iasted_en#c-3336428-2571907;0.36947670212255196
iasted_de#op-5330135-5051039;iasted_en#op-6395108-7018915;iasted_en#op-6395108-7018915;0.49990071158147503
iasted_de#c-1203716-4790361;iasted_en#c-1215775-9702989;iasted_en#c-2284339-2085594;0.6597987179112585
iasted_de#c-9753371-0023373;iasted_en#c-6174362-9247294;iasted_en#c-6174362-9247294;0.4708437665871015
iasted_de#c-9618449-6854324;iasted_en#c-9164726-0071093;iasted_en#c-9164726-0071093;0.3403523811341381
iasted_de#c-4998140-8722112;iasted_en#c-2611846-6023589;iasted_en#c-2611846-6023589;0.36602111544692384
iasted_de#c-5941456-0754106;iasted_en#c-7163848-4992275;iasted_en#c-7163848-4992275;0.2738064590268778
iasted_de#c-7796633-5689885;iasted_en#c-2390779-9889151;iasted_en#c-7284235-3461811;0.5593808464724498
iasted_de#c-7566504-2413752;iasted_en#c-0810403-3160253;iasted_en#c-0810403-3160253;0.4616734258876997
iasted_de#c-2728663-8403537;iasted_en#c-5071843-9957942;iasted_en#c-5071843-9957942;0.5874476578550745
iasted_de#op-3968071-1939489;iasted_en#op-2094694-9885925;iasted_en#op-2094694-9885925;0.3204675349497758
iasted_de#c-3890760-5660053;iasted_en#c-2737904-9363523;iasted_en#c-2737904-9363523;0.5045105460984799
iasted_de#op-7507979-4687368;iasted_en#op-5949915-0266078;iasted_en#op-5949915-0266078;0.6305977193155847
iasted_de#c-4008371-0412669;iasted_en#c-2201470-4672121;iasted_en#c-2201470-4672121;0.5001444015146491
