;target;prediction_target_1;metric_1
conference_de#c-9605590-3026126;conference_en#c-8407213-4753042;conference_en#c-8407213-4753042;0.4636544709875514
conference_de#ent-7411600-0492184;conference_en#ent-4155068-8609429;conference_en#ent-4155068-8609429;0.2728150704523318
conference_de#c-4615338-8666561;conference_en#c-0685358-3873350;conference_en#c-0685358-3873350;0.34084286862186836
conference_de#c-2225732-5117501;conference_en#c-2523530-3328853;conference_en#c-2523530-3328853;0.3131819502171368
conference_de#op-4321693-3900519;conference_en#op-2670908-3669119;conference_en#op-2670908-3669119;0.419185594740664
conference_de#c-1479504-0321675;conference_en#c-0949358-2763718;conference_en#c-0949358-2763718;0.29267471115775057
conference_de#op-9513224-3178621;conference_en#op-6711156-0655978;conference_en#op-6711156-0655978;0.22580023651903217
conference_de#op-2359998-9048620;conference_en#op-9582772-9300745;conference_en#op-9582772-9300745;0.3056551235910551
conference_de#ent-6301306-0729008;conference_en#ent-6624455-0139130;conference_en#ent-2881096-9762712;0.412473347302091
conference_de#op-3684524-3597938;conference_en#op-4179398-9105427;conference_en#op-4179398-9105427;0.35217238470862905
conference_de#op-3608848-8208296;conference_en#op-3512255-6444844;conference_en#op-3512255-6444844;0.19456529988485546
conference_de#op-6034483-9201945;conference_en#op-0316178-5626069;conference_en#op-5728539-7928456;0.43776066824489485
conference_de#op-2585333-8630311;conference_en#op-9761886-1014523;conference_en#op-9761886-1014523;0.3332855538467157
conference_de#ent-3147113-3527757;conference_en#ent-6191643-0859158;conference_en#ent-8321268-9659544;0.5192415609021023
conference_de#c-2852856-4092117;conference_en#c-0975007-5643450;conference_en#c-0975007-5643450;0.4452685229156144
conference_de#op-7940821-6078131;conference_en#op-4084032-4002742;conference_en#op-4287727-6636701;0.46355319822191365
conference_de#c-6776566-6732274;conference_en#c-9472960-6540943;conference_en#c-9472960-6540943;0.38921976404965436
conference_de#ent-4663562-1593340;conference_en#ent-0091160-7920486;conference_en#ent-6624455-0139130;0.5106028747725951
conference_de#op-3103572-2221087;conference_en#op-9508659-7431073;conference_en#op-6982521-4448617;0.34525805067203374
conference_de#c-6508590-8109709;conference_en#c-2974852-3474918;conference_en#c-2974852-3474918;0.3578603987671689
conference_de#c-8195847-6754106;conference_en#c-7121259-3662514;conference_en#c-7121259-3662514;0.3368277398790657
conference_de#c-1308924-1537645;conference_en#c-5623276-9536395;conference_en#c-5623276-9536395;0.5108473941198667
conference_de#c-2365620-6793184;conference_en#c-4101654-3843816;conference_en#c-4101654-3843816;0.26282529300727425
conference_de#op-1669973-2810125;conference_en#op-9779586-7289440;conference_en#op-9779586-7289440;0.2048369425710273
conference_de#c-2773011-0249106;conference_en#c-9232089-8351274;conference_en#c-9232089-8351274;0.24602948269013494
conference_de#c-6828546-9901709;conference_en#c-3013589-3595599;conference_en#c-3013589-3595599;0.25815177866539435
conference_de#op-8125573-9330488;conference_en#op-0995537-7744010;conference_en#op-0995537-7744010;0.2917255439407352
conference_de#c-2493179-8478854;conference_en#c-1969456-2437164;conference_en#c-1969456-2437164;0.35855596786706295
conference_de#c-6598246-0855085;conference_en#c-9959587-2502467;conference_en#c-8566080-5422297;0.2274790440597985
conference_de#c-1450635-6067268;conference_en#c-9170184-4807203;conference_en#c-6270579-7841141;0.5004835757044535
conference_de#op-9561953-5139312;conference_en#op-9417986-2023425;conference_en#op-4945044-7699013;0.31251729026221964
conference_de#ent-4829687-0686812;conference_en#ent-9670647-6904825;conference_en#ent-8856556-5729357;0.2619999800558962
conference_de#c-3096259-3019685;conference_en#c-8786752-3541167;conference_en#c-8786752-3541167;0.5492354657893449
conference_de#c-1859422-0439299;conference_en#c-8279198-9011918;conference_en#c-8279198-9011918;0.3230334440274585
conference_de#c-4730732-9118818;conference_en#c-3267972-8884201;conference_en#c-3267972-8884201;0.5145926707858847
conference_de#op-6576828-0504843;conference_en#op-2613736-3395689;conference_en#op-2613736-3395689;0.33958970687802315
conference_de#c-1521137-1761392;conference_en#c-5005169-5278256;conference_en#c-5005169-5278256;0.39580927776067865
conference_de#c-9365621-4628022;conference_en#c-9609595-3810460;conference_en#c-9609595-3810460;0.30374475153811187
conference_de#c-5548459-1019906;conference_en#c-8566080-5422297;serie;0.27211786808559013
conference_de#ent-6593972-9853022;conference_en#ent-8795223-5286845;conference_en#ent-8795223-5286845;0.39588527001958207
conference_de#op-1069821-7365209;conference_en#op-2456802-7820267;conference_en#op-2456802-7820267;0.3755614984076103
conference_de#op-3310517-8704360;conference_en#op-1260211-6263803;conference_en#op-6982521-4448617;0.36656347925648586
conference_de#c-2883309-0508630;conference_en#c-3417170-2349351;conference_en#c-3417170-2349351;0.3843230895531522
conference_de#c-8573778-5851296;conference_en#c-7443688-6884776;conference_en#c-9959587-2502467;0.316538524651728
conference_de#c-7158328-5483937;conference_en#c-4401355-0431935;conference_en#c-4401355-0431935;0.41640387350747493
conference_de#c-5694210-3113803;conference_en#c-4444483-2447834;conference_en#c-4444483-2447834;0.32707125337055803
conference_de#c-8071281-1290388;conference_en#c-3647168-6413616;conference_en#c-3647168-6413616;0.3522501024072626
conference_de#op-3660173-8702227;conference_en#op-5224922-0021686;conference_en#op-5224922-0021686;0.25585408256539427
conference_de#ent-7582393-1837786;conference_en#ent-2738942-8176769;conference_en#ent-2738942-8176769;0.6553462208594767
conference_de#c-2807153-3693543;conference_en#c-6525918-2089133;conference_en#c-6525918-2089133;0.32633415402533644
conference_de#c-7357618-1642646;conference_en#c-8428656-6505560;conference_en#c-8428656-6505560;0.3813442065125262
conference_de#c-0268486-3322572;conference_en#c-6270579-7841141;conference_en#c-6270579-7841141;0.3724776267513133
conference_de#op-1806324-3972847;conference_en#op-5728539-7928456;conference_en#op-5728539-7928456;0.3580360746806439
conference_de#c-2326730-6671120;conference_en#c-3445672-4630908;conference_en#c-0762292-1185067;0.46304156379853617
conference_de#c-6600254-2450629;conference_en#c-0513615-7095489;conference_en#c-0513615-7095489;0.32122008634756344
conference_de#op-6793370-1481860;conference_en#op-0671654-2571930;conference_en#op-0671654-2571930;0.283211679697919
conference_de#ent-9741712-1074484;conference_en#ent-5398835-6557322;conference_en#ent-6624455-0139130;0.3977393028885571
conference_de#ent-0456757-4338876;conference_en#ent-2881096-9762712;conference_en#ent-8321268-9659544;0.3629609681510502
conference_de#c-7096317-3412127;conference_en#c-9453090-9458986;announcement;0.17603695040566164
conference_de#c-4481836-1173835;conference_en#c-1233739-4358960;conference_en#c-3647168-6413616;0.44623887596835043
conference_de#op-4229248-7694544;conference_en#op-2225814-4312264;conference_en#op-2225814-4312264;0.44101118233092745
conference_de#op-2618351-5385365;conference_en#op-3874959-5523184;conference_en#op-2456802-7820267;0.39285489889502945
conference_de#op-4324524-0658713;conference_en#op-4287727-6636701;conference_en#op-4287727-6636701;0.3999458560203415
conference_de#c-5236249-1093814;conference_en#c-8376732-6542959;conference_en#c-8376732-6542959;0.4516387156834498
conference_de#c-1025534-8292294;conference_en#c-9466907-2262688;conference_en#c-9466907-2262688;0.2566345490469484
conference_de#op-8738966-6560487;conference_en#op-4945044-7699013;conference_en#op-9417986-2023425;0.43723317575306375
conference_de#ent-0234330-4162477;conference_en#ent-7990012-9833820;conference_en#ent-7990012-9833820;0.4992428574496153
conference_de#ent-3965541-6558239;conference_en#ent-8856556-5729357;conference_en#ent-8856556-5729357;0.27703980325006217
conference_de#c-6041715-6986615;conference_en#c-1481587-3387008;conference_en#c-1481587-3387008;0.5737222586712583
conference_de#ent-5299945-7988874;conference_en#ent-4516568-5595755;conference_en#ent-8856556-5729357;0.27284982971931154
conference_de#c-4756237-0913680;conference_en#c-2446635-7449628;conference_en#c-2446635-7449628;0.5427286054934153
conference_de#c-6804730-6814876;conference_en#c-6031866-4091605;conference_en#c-8566080-5422297;0.28095797734397665
conference_de#ent-4148970-9878776;conference_en#ent-3627793-6883861;conference_en#ent-2881096-9762712;0.3907900926236292
conference_de#op-5377559-5806030;conference_en#op-4477756-7333992;conference_en#op-4477756-7333992;0.3107349902764745
conference_de#op-4737759-4638811;conference_en#op-6979143-6235556;conference_en#op-9417986-2023425;0.3473925416233543
conference_de#op-5642484-4870984;conference_en#op-8498965-3154119;conference_en#op-8498965-3154119;0.5617417098803713
conference_de#op-2178632-6743715;conference_en#op-1004860-6532610;conference_en#op-3874959-5523184;0.30163906286942427
conference_de#c-9664517-5940464;conference_en#c-0762292-1185067;conference_en#c-0762292-1185067;0.3924905522607331
conference_de#c-2734491-0275940;conference_en#c-7255821-5359025;conference_en#c-8566080-5422297;0.3017736547603261
conference_de#op-1316026-1460819;conference_en#op-5381874-6112043;conference_en#op-5381874-6112043;0.27963948768101665
conference_de#op-5497197-2593751;conference_en#op-9065704-7114218;conference_en#op-9065704-7114218;0.2918215786416375
