;target;prediction_target_1;metric_1
cmt_de#op-7761501-2770581;confOf_en#op-6734207-8272486;confOf_en#op-6734207-8272486;0.48856626782825485
cmt_de#c-7511748-5827387;confOf_en#c-3734266-2898610;confOf_en#c-8897779-7605019;0.6657476127126443
cmt_de#c-7606498-1774261;confOf_en#c-8897779-7605019;confOf_en#c-8897779-7605019;0.41595785513461286
cmt_de#c-8082317-4346619;confOf_en#c-7155976-8510258;confOf_en#c-7155976-8510258;0.38382894422961156
cmt_de#c-2600954-3812137;confOf_en#c-5904090-2937490;confOf_en#c-5904090-2937490;0.35150244347856613
cmt_de#ent-7525433-8535515;confOf_en#ent-4646280-6521925;confOf_en#ent-4646280-6521925;0.23848905093612738
cmt_de#c-1253837-4887221;confOf_en#c-6834280-4912416;confOf_en#c-6834280-4912416;0.22879697811372668
cmt_de#op-3382350-0510939;confOf_en#op-1921350-5090826;confOf_en#op-1921350-5090826;0.321682764203146
cmt_de#c-7914897-1988765;confOf_en#c-5307218-6000981;confOf_en#c-5307218-6000981;0.2919350803118354
cmt_de#c-4872876-3932965;confOf_en#c-4940510-7116222;confOf_en#c-6603806-5996118;0.6568227398364749
cmt_de#c-9804348-4921383;confOf_en#c-6922761-6569068;confOf_en#c-6922761-6569068;0.16905253459443897
cmt_de#c-0277212-8406046;confOf_en#c-1804480-3618243;confOf_en#c-1804480-3618243;0.1628504575645585
