;target;prediction_target_1;metric_1
conference_en#c-0513615-7095489;sigkdd_de#c-6985541-3131901;sigkdd_de#c-6985541-3131901;0.5859481372225109
conference_en#c-0153241-8442178;sigkdd_de#c-0695531-5412063;sigkdd_de#c-0695531-5412063;0.5109632165358097
conference_en#op-5728539-7928456;sigkdd_de#op-2955099-2207630;sigkdd_de#op-2955099-2207630;0.28602446903572404
conference_en#c-2974852-3474918;sigkdd_de#c-6469555-3746715;_:Bef46cebeX2D3473X2D4ecdX2Db2efX2D228dd9294d8e;0.9043536420132992
conference_en#c-9453090-9458986;sigkdd_de#c-9302905-7296086;sigkdd_de#c-9302905-7296086;0.639542562027432
conference_en#ent-4516568-5595755;sigkdd_de#ent-0138865-5902109;sigkdd_de#c-9302905-7296086;0.8430294430811558
conference_en#c-3746645-9598977;sigkdd_de#c-1975722-3062538;sigkdd_de#c-1975722-3062538;0.19851455537639526
conference_en#c-5005169-5278256;sigkdd_de#c-4301546-5674434;preis;0.8302094466427116
conference_en#c-9312690-4124149;sigkdd_de#c-6140019-6453251;sigkdd_de#c-6140019-6453251;0.5062684991499113
conference_en#c-6525918-2089133;sigkdd_de#c-2769827-8195865;sigkdd_de#c-2769827-8195865;0.31485842004280523
conference_en#op-0316178-5626069;sigkdd_de#op-0836929-5233701;sigkdd_de#op-0836929-5233701;0.32674712315787113
