;target;prediction_target_1;metric_1
iasted_en#c-3616860-0256541;sigkdd_de#c-1670757-7005751;sigkdd_de#c-1670757-7005751;0.5685303247615919
iasted_en#c-4646685-6576496;sigkdd_de#c-6469555-3746715;_:B946427a3X2Dd2ffX2D4491X2Dbb50X2De1f07b06caf8;1.0876735167047495
iasted_en#c-8889798-1079873;sigkdd_de#c-7808089-4928984;sigkdd_de#c-6985541-3131901;0.9460470584794776
iasted_en#c-7464317-0926432;sigkdd_de#c-9302905-7296086;sigkdd_de#c-9302905-7296086;0.3442017958523756
iasted_en#c-9595802-8962494;sigkdd_de#c-3867058-2838516;sigkdd_de#c-3867058-2838516;0.40531210895841796
iasted_en#c-9677685-8341994;sigkdd_de#c-3477390-2381487;sigkdd_de#c-3477390-2381487;0.2505867213050742
iasted_en#c-7587641-3301519;sigkdd_de#c-6217268-0289211;sigkdd_de#c-6217268-0289211;0.2801084971056206
iasted_en#c-3686523-4526492;sigkdd_de#c-9038315-6127488;sigkdd_de#c-9038315-6127488;0.4789391812758573
iasted_en#c-0995110-2084431;sigkdd_de#c-7783492-1910067;sigkdd_de#c-7783492-1910067;1.0171138031578477
iasted_en#c-2396070-5020573;sigkdd_de#c-2769827-8195865;sigkdd_de#c-2769827-8195865;0.48930863060246976
iasted_en#c-3110153-2691987;sigkdd_de#c-7203961-8308851;sigkdd_de#c-7203961-8308851;0.4767183251278408
iasted_en#c-4700670-6960019;sigkdd_de#c-4711434-5769445;sigkdd_de#c-4711434-5769445;0.16852681377949033
