;target;prediction_target_1;metric_1
cmt_en#c-0430420-0075813;conference_de#c-6600254-2450629;conference_de#c-1810344-8487780;0.27975261633734144
cmt_en#c-0430420-0075813;conference_de#c-1810344-8487780;conference_de#c-1810344-8487780;0.27975261633734144
cmt_en#c-1611583-0668331;conference_de#c-6828546-9901709;conference_de#c-6828546-9901709;0.24252656271929904
cmt_en#c-1819859-8467443;conference_de#c-1178842-2732173;conference_de#c-1178842-2732173;0.5715459020993876
cmt_en#c-3027646-3365825;conference_de#c-5694210-3113803;conference_de#c-5694210-3113803;0.22871156519879962
cmt_en#c-3027646-3365825;conference_de#c-3560304-9366401;conference_de#c-5694210-3113803;0.22871156519879962
cmt_en#c-3387453-2881212;conference_de#c-7158328-5483937;conference_de#c-7158328-5483937;0.4818116670128267
cmt_en#c-9519178-7885109;conference_de#c-2807153-3693543;conference_de#c-2807153-3693543;0.42050593150613774
cmt_en#ent-1648737-1451089;conference_de#ent-5299945-7988874;druckfertigen;0.4635380206958352
cmt_en#op-8575895-0911006;conference_de#op-1945545-2946293;conference_de#op-4621167-8649272;0.8152812427403336
